asset_id,unit,slide_id,type,title,description,pedagogical_purpose,source_url,creator,organization,license,access_date,local_path,status,credit_text,notes
U03-DG001,03,U03-002;U03-015;U03-079,diagram,"Fuente, medio y receptor",Cadenas funcionales con movimiento local y propagación diferenciados.,Separar qué oscila de qué se propaga en contextos acústicos y fonoaudiológicos.,,Equipo docente,UCASAL,Elaboración propia,2026-07-30,units/unit_03/assets/generated/diagrams/u03_dg001_index.json,approved,Elaboración propia a partir del capítulo 3.,Formas nativas de PowerPoint; familia reutilizable. 3 variante(s); SVG y source.json editables; PPT nativo diferido al montaje.
U03-DG002,03,U03-006;U03-016;U03-047;U03-059;U03-069;U03-078;U03-081,diagram,Mapa progresivo de la unidad,Mapa de nueve etapas y variantes de recapitulación.,"Orientar, recuperar y cerrar la progresión sin repetir definiciones.",,Equipo docente,UCASAL,Elaboración propia,2026-07-30,units/unit_03/assets/generated/diagrams/u03_dg002_index.json,approved,Elaboración propia a partir del brief y mapas del curso.,Formas y conectores nativos; slide final completa. 7 variante(s); SVG y source.json editables; PPT nativo diferido al montaje.
U03-DG003,03,U03-008;U03-020;U03-021,diagram,Estados de una oscilación,"Equilibrio, elongación, ciclo y amplitud sobre un eje común.",Construir movimiento oscilatorio y magnitudes antes del gráfico.,,Equipo docente,UCASAL,Elaboración propia,2026-07-30,units/unit_03/assets/generated/diagrams/u03_dg003_index.json,approved,Elaboración propia a partir de TEX 3.3–3.4.,Reutilizar geometría y escalas. 3 variante(s); SVG y source.json editables; PPT nativo diferido al montaje.
U03-DG004,03,U03-009;U03-010;U03-014,diagram,Movimiento local y frente,"Secuencias de partículas, frente y transferencia de energía.","Distinguir materia, perturbación y energía.",,Equipo docente,UCASAL,Elaboración propia,2026-07-30,units/unit_03/assets/generated/diagrams/u03_dg004_index.json,approved,Elaboración propia a partir de TEX 3.3.,Dos códigos de flecha no dependientes solo del color. 3 variante(s); SVG y source.json editables; PPT nativo diferido al montaje.
U03-DG005,03,U03-011;U03-012,diagram,Medio e interacción; tipos de onda,Esquemas de regiones vecinas y comparación longitudinal/transversal.,Definir onda mecánica y clasificar dirección local.,,Equipo docente,UCASAL,Elaboración propia,2026-07-30,units/unit_03/assets/generated/diagrams/u03_dg005_index.json,approved,Elaboración propia a partir de TEX 3.3.2–3.3.3.,Evitar sugerir que el aire se mueve transversalmente. 2 variante(s); SVG y source.json editables; PPT nativo diferido al montaje.
U03-DG006,03,U03-004;U03-018;U03-019,mixed,Modelo del MAS y ecuación restauradora,"Masa–resorte, eje, hipótesis y ma=-k_sx anotada.",Conectar U2 con el modelo armónico y el signo restaurador.,,Equipo docente,UCASAL,Elaboración propia,2026-07-30,units/unit_03/assets/generated/diagrams/u03_dg006_index.json,approved,Elaboración propia a partir de TEX 3.4.1.,Usar k_s; ecuación editable. 3 variante(s); SVG y source.json editables; PPT nativo diferido al montaje.
U03-DG007,03,U03-026;U03-065;U03-084,diagram,"Ciclo, fase y sinusoide","Correspondencia entre círculo, fracciones de ciclo y señal.",Introducir y recuperar fase con una convención única.,,Equipo docente,UCASAL,Elaboración propia,2026-07-30,units/unit_03/assets/generated/diagrams/u03_dg007_index.json,approved,Elaboración propia a partir de TEX 3.4.2 y 3.8.1.,Mantener orientación angular constante. 3 variante(s); SVG y source.json editables; PPT nativo diferido al montaje.
U03-DG008,03,U03-027,diagram,Matriz de parámetros del MAS,"Matriz 2x2 de amplitud, período, frecuencia y fase.",Convertir definiciones en preguntas de lectura.,,Equipo docente,UCASAL,Elaboración propia,2026-07-30,units/unit_03/assets/generated/diagrams/u03_dg008_index.json,approved,Elaboración propia a partir de TEX 3.4.2.,Texto breve; tabla nativa como alternativa. 1 variante(s); SVG y source.json editables; PPT nativo diferido al montaje.
U03-DG009,03,U03-029,annotated_equation,Ecuación temporal del MAS,"x(t) anotada con símbolos, unidades y correspondencia gráfica.",Vincular fórmula y significado físico.,,Equipo docente,UCASAL,Elaboración propia,2026-07-30,units/unit_03/assets/generated/diagrams/u03_dg009_index.json,approved,Elaboración propia a partir de TEX 3.4.3.,Máximo cuatro callouts simultáneos; dividir si hace falta. 1 variante(s); SVG y source.json editables; PPT nativo diferido al montaje.
U03-DG010,03,U03-031;U03-032,diagram,"Estados de posición, velocidad y aceleración",Cuatro estados cualitativos con signos y flechas.,Razonar máximos y direcciones sin cálculo diferencial.,,Equipo docente,UCASAL,Elaboración propia,2026-07-30,units/unit_03/assets/generated/diagrams/u03_dg010_index.json,approved,Elaboración propia a partir de TEX 3.4.4.,Una versión por par de variables. 2 variante(s); SVG y source.json editables; PPT nativo diferido al montaje.
