t_ms,x_um
0.0,10.0
0.004,9.99921044203816
0.008,9.996841892833
0.012,9.992894726405892
0.016,9.987369566060174
0.02,9.980267284282716
0.024,9.97158900260614
0.028,9.961336091431725
0.032,9.949510169813001
0.036000000000000004,9.936113105200084
0.04,9.921147013144779
0.044,9.904614256966513
0.048,9.886517447379141
0.052000000000000005,9.866859442078681
0.056,9.845643345292054
0.06,9.822872507286887
0.064,9.798550523842469
0.068,9.772681235681935
0.07200000000000001,9.74526872786577
0.076,9.71631732914674
0.08,9.68583161128631
0.084,9.65381638833274
0.088,9.620276715860859
0.092,9.585217890173759
0.096,9.548645447466429
0.1,9.510565162951535
0.10400000000000001,9.470983049947442
0.108,9.429905358928645
0.112,9.38733857653874
0.116,9.34328942456612
0.12,9.297764858882514
0.124,9.250772068344581
0.128,9.202318473658703
0.132,9.152411726209175
0.136,9.101059706849956
0.14,9.048270524660197
0.14400000000000002,8.99405251566371
0.148,8.938414241512637
0.152,8.881364488135446
0.156,8.822912264349533
0.16,8.763066800438637
0.164,8.701837546695257
0.168,8.639234171928353
0.17200000000000001,8.575266561936521
0.176,8.50994481794692
0.18,8.443279255020151
0.184,8.375280400421417
0.188,8.305958991958127
0.192,8.235325976284274
0.196,8.163392507171839
0.2,8.090169943749475
0.20400000000000001,8.015669848708766
0.20800000000000002,7.9399039864783525
0.212,7.86288432136619
0.216,7.784623015670235
0.22,7.705132427757892
0.224,7.624425110114479
0.228,7.542513807361039
0.232,7.459411454241821
0.23600000000000002,7.375131173581739
0.24,7.289686274214116
0.244,7.20309024887907
0.248,7.115356772092854
0.252,7.026499697988493
0.256,6.936533058128049
0.26,6.845471059286887
0.264,6.753328081210244
0.268,6.660118674342516
0.272,6.565857557529564
0.276,6.470559615694444
0.28,6.3742398974868975
0.28400000000000003,6.276913612907005
0.28800000000000003,6.178596130903343
0.292,6.079302976946055
0.296,5.979049830575191
0.3,5.877852522924733
0.304,5.775727034222676
0.308,5.672689491267566
0.312,5.568756164881881
0.316,5.463943467342691
0.32,5.3582679497899655
0.324,5.251746299612957
0.328,5.144395337815066
0.332,5.036232016357607
0.336,4.927273415482915
0.34,4.817536741017153
0.34400000000000003,4.707039321653325
0.34800000000000003,4.5957986062148795
0.352,4.483832160900325
0.356,4.37115766650933
0.36,4.257792915650728
0.364,4.143755809932842
0.368,4.029064357136627
0.372,3.9137366683720254
0.376,3.797790955218013
0.38,3.6812455268467787
0.384,3.5641187871325073
0.388,3.4464292317451717
0.392,3.3281954452298668
0.396,3.2094360980720964
0.4,3.0901699437494745
0.404,2.9704158157703486
0.40800000000000003,2.8501926246997615
0.41200000000000003,2.7295193551732537
0.41600000000000004,2.6084150628989677
0.42,2.48689887164855
0.424,2.3649899702372497
0.428,2.2427076094938116
0.432,2.1200710992205476
0.436,1.9970998051440723
0.44,1.8738131458572473
0.444,1.7502305897527604
0.448,1.6263716519488371
0.452,1.5022558912075707
0.456,1.377902906846382
0.46,1.2533323356430448
0.464,1.128563848734816
0.468,1.003617148512149
0.47200000000000003,0.8785119655074332
0.47600000000000003,0.7532680552793275
0.48,0.6279051952931353
0.484,0.5024431817976982
0.488,0.3769018266993469
0.492,0.2513009544333753
0.496,0.12566039883352775
0.5,6.123233995736766e-16
0.504,-0.1256603988335243
0.508,-0.25130095443337186
0.512,-0.37690182669934574
0.516,-0.5024431817976948
0.52,-0.6279051952931318
0.524,-0.7532680552793263
0.528,-0.8785119655074319
0.532,-1.003617148512148
0.536,-1.1285638487348169
0.54,-1.2533323356430415
0.544,-1.3779029068463804
0.548,-1.5022558912075714
0.552,-1.6263716519488358
0.556,-1.7502305897527592
0.56,-1.873813145857246
0.5640000000000001,-1.9970998051440711
0.5680000000000001,-2.120071099220546
0.5720000000000001,-2.2427076094938125
0.5760000000000001,-2.3649899702372466
0.58,-2.486898871648544
0.584,-2.608415062898967
0.588,-2.7295193551732506
0.592,-2.8501926246997584
0.596,-2.9704158157703473
0.6,-3.090169943749471
0.604,-3.2094360980720933
0.608,-3.3281954452298654
0.612,-3.446429231745169
0.616,-3.564118787132504
0.62,-3.6812455268467774
0.624,-3.79779095521801
0.628,-3.913736668372022
0.632,-4.029064357136626
0.636,-4.1437558099328395
0.64,-4.257792915650727
0.644,-4.371157666509327
0.648,-4.483832160900321
0.652,-4.595798606214878
0.656,-4.707039321653323
0.66,-4.81753674101715
0.664,-4.927273415482919
0.668,-5.036232016357608
0.672,-5.144395337815065
0.676,-5.251746299612958
0.68,-5.358267949789965
0.684,-5.46394346734269
0.6880000000000001,-5.568756164881881
0.6920000000000001,-5.672689491267563
0.6960000000000001,-5.775727034222674
0.7000000000000001,-5.877852522924734
0.704,-5.979049830575185
0.708,-6.079302976946051
0.712,-6.178596130903342
0.716,-6.276913612907
0.72,-6.374239897486894
0.724,-6.47055961569444
0.728,-6.565857557529563
0.732,-6.660118674342516
0.736,-6.753328081210244
0.74,-6.845471059286884
0.744,-6.936533058128047
0.748,-7.026499697988491
0.752,-7.11535677209285
0.756,-7.203090248879066
0.76,-7.289686274214117
0.764,-7.375131173581738
0.768,-7.459411454241821
0.772,-7.542513807361039
0.776,-7.624425110114476
0.78,-7.705132427757891
0.784,-7.784623015670233
0.788,-7.862884321366187
0.792,-7.939903986478352
0.796,-8.015669848708768
0.8,-8.090169943749473
0.804,-8.163392507171839
0.808,-8.235325976284274
0.812,-8.305958991958125
0.8160000000000001,-8.375280400421417
0.8200000000000001,-8.443279255020151
0.8240000000000001,-8.509944817946916
0.8280000000000001,-8.575266561936523
0.8320000000000001,-8.639234171928354
0.836,-8.701837546695256
0.84,-8.763066800438635
0.844,-8.822912264349531
0.848,-8.881364488135443
0.852,-8.938414241512636
0.856,-8.99405251566371
0.86,-9.048270524660193
0.864,-9.101059706849956
0.868,-9.152411726209175
0.872,-9.202318473658702
0.876,-9.25077206834458
0.88,-9.297764858882513
0.884,-9.34328942456612
0.888,-9.38733857653874
0.892,-9.429905358928645
0.896,-9.470983049947442
0.9,-9.510565162951535
0.904,-9.548645447466429
0.908,-9.585217890173759
0.912,-9.620276715860857
0.916,-9.65381638833274
0.92,-9.685831611286309
0.924,-9.71631732914674
0.928,-9.745268727865772
0.932,-9.772681235681935
0.936,-9.798550523842469
0.9400000000000001,-9.822872507286887
0.9440000000000001,-9.845643345292054
0.9480000000000001,-9.866859442078681
0.9520000000000001,-9.88651744737914
0.9560000000000001,-9.904614256966513
0.96,-9.921147013144777
0.964,-9.936113105200084
0.968,-9.949510169813001
0.972,-9.961336091431724
0.976,-9.97158900260614
0.98,-9.980267284282716
0.984,-9.987369566060174
0.988,-9.992894726405892
0.992,-9.996841892833
0.996,-9.99921044203816
1.0,-10.0
1.004,-9.99921044203816
1.008,-9.996841892833
1.012,-9.992894726405892
1.016,-9.987369566060176
1.02,-9.980267284282716
1.024,-9.97158900260614
1.028,-9.961336091431725
1.032,-9.949510169813001
1.036,-9.936113105200084
1.04,-9.921147013144779
1.044,-9.904614256966513
1.048,-9.886517447379141
1.052,-9.866859442078681
1.056,-9.845643345292054
1.06,-9.822872507286887
1.064,-9.798550523842469
1.068,-9.772681235681935
1.072,-9.74526872786577
1.076,-9.71631732914674
1.08,-9.685831611286313
1.084,-9.65381638833274
1.088,-9.620276715860859
1.092,-9.585217890173759
1.096,-9.548645447466429
1.1,-9.510565162951536
1.104,-9.470983049947444
1.108,-9.429905358928645
1.112,-9.387338576538742
1.116,-9.343289424566121
1.12,-9.297764858882514
1.124,-9.250772068344581
1.1280000000000001,-9.202318473658703
1.1320000000000001,-9.152411726209174
1.1360000000000001,-9.101059706849956
1.1400000000000001,-9.048270524660195
1.1440000000000001,-8.994052515663709
1.1480000000000001,-8.938414241512639
1.1520000000000001,-8.881364488135446
1.156,-8.822912264349535
1.16,-8.76306680043864
1.164,-8.70183754669526
1.168,-8.639234171928356
1.172,-8.575266561936527
1.176,-8.50994481794692
1.18,-8.443279255020151
1.184,-8.37528040042142
1.188,-8.305958991958128
1.192,-8.235325976284276
1.196,-8.163392507171844
1.2,-8.090169943749478
1.204,-8.015669848708768
1.208,-7.939903986478356
1.212,-7.86288432136619
1.216,-7.784623015670236
1.22,-7.705132427757896
1.224,-7.6244251101144815
1.228,-7.54251380736104
1.232,-7.459411454241826
1.236,-7.375131173581742
1.24,-7.289686274214119
1.244,-7.203090248879071
1.248,-7.115356772092855
1.252,-7.026499697988493
1.256,-6.936533058128052
1.26,-6.84547105928689
1.264,-6.753328081210245
1.268,-6.66011867434252
1.272,-6.565857557529568
1.276,-6.470559615694443
1.28,-6.374239897486895
1.284,-6.276913612907009
1.288,-6.1785961309033475
1.292,-6.079302976946057
1.296,-5.979049830575191
1.3,-5.877852522924733
1.304,-5.775727034222676
1.308,-5.672689491267564
1.312,-5.568756164881886
1.316,-5.463943467342689
1.32,-5.358267949789971
1.324,-5.251746299612961
1.328,-5.14439533781506
1.332,-5.03623201635761
1.336,-4.927273415482916
1.34,-4.817536741017153
1.344,-4.707039321653324
1.348,-4.595798606214884
1.352,-4.483832160900319
1.356,-4.371157666509333
1.36,-4.25779291565073
1.364,-4.143755809932835
1.368,-4.029064357136628
1.372,-3.9137366683720245
1.3760000000000001,-3.7977909552180105
1.3800000000000001,-3.6812455268467783
1.3840000000000001,-3.5641187871325126
1.3880000000000001,-3.446429231745167
1.3920000000000001,-3.32819544522987
1.3960000000000001,-3.2094360980720977
1.4000000000000001,-3.0901699437494674
1.4040000000000001,-2.97041581577035
1.408,-2.8501926246997695
1.412,-2.7295193551732595
1.416,-2.6084150628989757
1.42,-2.486898871648553
1.424,-2.364989970237251
1.428,-2.242707609493815
1.432,-2.120071099220557
1.436,-1.9970998051440711
1.44,-1.873813145857255
1.444,-1.7502305897527681
1.448,-1.6263716519488427
1.452,-1.502255891207576
1.456,-1.3779029068463853
1.46,-1.253332335643046
1.464,-1.1285638487348193
1.468,-1.0036171485121592
1.472,-0.878511965507432
1.476,-0.7532680552793354
1.48,-0.6279051952931409
1.484,-0.5024431817976928
1.488,-0.3769018266993504
