t_ms,x_m,xi_over_A
0.0,0.0,1.0
0.0,0.005,0.9989329748023724
0.0,0.01,0.9957341762950345
0.0,0.015,0.9904104308752052
0.0,0.02,0.9829730996839018
0.0,0.025,0.9734380543606929
0.0,0.03,0.961825643172819
0.0,0.035,0.9481606475909659
0.0,0.04,0.9324722294043558
0.0,0.045,0.914793868488021
0.0,0.05,0.8951632913550623
0.0,0.055,0.8736223906463696
0.0,0.06,0.8502171357296142
0.0,0.065,0.8249974745983023
0.0,0.07,0.7980172272802395
0.0,0.075,0.7693339709828789
0.0,0.08,0.7390089172206591
0.0,0.085,0.7071067811865475
0.0,0.09,0.6736956436465572
0.0,0.095,0.6388468056519615
0.0,0.1,0.6026346363792565
0.0,0.105,0.5651364144225921
0.0,0.11,0.5264321628773561
0.0,0.115,0.4866044785668564
0.0,0.12,0.44573835577653853
0.0,0.125,0.40392100487189514
0.0,0.13,0.36124166618715303
0.0,0.135,0.31779141958190166
0.0,0.14,0.2736629900720828
0.0,0.145,0.22895054995013436
0.0,0.15,0.18374951781657053
0.0,0.155,0.1381563549518823
0.0,0.16,0.09226835946330202
0.0,0.165,0.04618345864573952
0.0,0.17,-1.6081226496766366e-16
0.0,0.17500000000000002,-0.046183458645739396
0.0,0.18,-0.09226835946330189
0.0,0.185,-0.1381563549518822
0.0,0.19,-0.18374951781656998
0.0,0.195,-0.2289505499501338
0.0,0.2,-0.27366299007208267
0.0,0.20500000000000002,-0.31779141958190155
0.0,0.21,-0.36124166618715253
0.0,0.215,-0.40392100487189464
0.0,0.22,-0.4457383557765378
0.0,0.225,-0.4866044785668561
0.0,0.23,-0.5264321628773555
0.0,0.23500000000000001,-0.5651364144225919
0.0,0.24,-0.602634636379256
0.0,0.245,-0.6388468056519612
0.0,0.25,-0.6736956436465569
0.0,0.255,-0.7071067811865475
0.0,0.26,-0.739008917220659
0.0,0.265,-0.7693339709828789
0.0,0.27,-0.7980172272802395
0.0,0.275,-0.8249974745983024
0.0,0.28,-0.8502171357296142
0.0,0.28500000000000003,-0.8736223906463696
0.0,0.29,-0.8951632913550621
0.0,0.295,-0.9147938684880209
0.0,0.3,-0.9324722294043557
0.0,0.305,-0.9481606475909659
0.0,0.31,-0.961825643172819
0.0,0.315,-0.9734380543606928
0.0,0.32,-0.9829730996839018
0.0,0.325,-0.9904104308752051
0.0,0.33,-0.9957341762950346
0.0,0.335,-0.9989329748023724
0.0,0.34,-1.0
0.0,0.34500000000000003,-0.9989329748023724
0.0,0.35000000000000003,-0.9957341762950346
0.0,0.355,-0.9904104308752052
0.0,0.36,-0.9829730996839018
0.0,0.365,-0.9734380543606929
0.0,0.37,-0.961825643172819
0.0,0.375,-0.9481606475909661
0.0,0.38,-0.932472229404356
0.0,0.385,-0.9147938684880211
0.0,0.39,-0.8951632913550626
0.0,0.395,-0.8736223906463697
0.0,0.4,-0.8502171357296143
0.0,0.405,-0.8249974745983024
0.0,0.41000000000000003,-0.7980172272802396
0.0,0.41500000000000004,-0.7693339709828788
0.0,0.42,-0.7390089172206598
0.0,0.425,-0.7071067811865479
0.0,0.43,-0.6736956436465578
0.0,0.435,-0.6388468056519616
0.0,0.44,-0.6026346363792572
0.0,0.445,-0.5651364144225917
0.0,0.45,-0.5264321628773561
0.0,0.455,-0.48660447856685635
0.0,0.46,-0.44573835577653886
0.0,0.465,-0.40392100487189525
0.0,0.47000000000000003,-0.361241666187153
0.0,0.47500000000000003,-0.31779141958190216
0.0,0.48,-0.273662990072084
0.0,0.485,-0.22895054995013403
0.0,0.49,-0.18374951781657087
0.0,0.495,-0.13815635495188242
0.0,0.5,-0.0922683594633028
0.0,0.505,-0.04618345864574009
0.0,0.51,-1.8369701987210297e-16
0.0,0.515,0.046183458645738834
0.0,0.52,0.09226835946330154
0.0,0.525,0.13815635495188205
0.0,0.53,0.1837495178165705
0.0,0.535,0.2289505499501337
0.0,0.54,0.2736629900720828
0.0,0.545,0.317791419581901
0.0,0.55,0.3612416661871534
0.0,0.555,0.4039210048718949
0.0,0.56,0.44573835577653853
0.0,0.5650000000000001,0.486604478566856
0.0,0.5700000000000001,0.5264321628773558
0.0,0.5750000000000001,0.5651364144225921
0.0,0.58,0.6026346363792555
0.0,0.585,0.6388468056519607
0.0,0.59,0.6736956436465568
0.0,0.595,0.7071067811865468
0.0,0.6,0.7390089172206586
0.0,0.605,0.7693339709828786
0.0,0.61,0.7980172272802394
0.0,0.615,0.8249974745983019
0.0,0.62,0.8502171357296139
0.0,0.625,0.873622390646369
0.0,0.63,0.895163291355062
0.0,0.635,0.9147938684880208
0.0,0.64,0.9324722294043558
0.0,0.645,0.9481606475909656
0.0,0.65,0.9618256431728189
0.0,0.655,0.9734380543606926
0.0,0.66,0.9829730996839018
0.0,0.665,0.9904104308752051
0.0,0.67,0.9957341762950345
0.0,0.675,0.9989329748023724
0.0,0.68,1.0
0.0,0.685,0.9989329748023724
0.0,0.6900000000000001,0.9957341762950346
0.0,0.6950000000000001,0.9904104308752052
0.0,0.7000000000000001,0.9829730996839019
0.0,0.705,0.9734380543606931
0.0,0.71,0.9618256431728194
0.0,0.715,0.9481606475909664
0.0,0.72,0.9324722294043559
0.0,0.725,0.9147938684880214
0.0,0.73,0.8951632913550627
0.0,0.735,0.8736223906463702
0.0,0.74,0.8502171357296142
0.0,0.745,0.8249974745983026
0.0,0.75,0.7980172272802403
0.0,0.755,0.7693339709828795
0.0,0.76,0.7390089172206601
0.0,0.765,0.7071067811865477
0.0,0.77,0.6736956436465579
0.0,0.775,0.6388468056519617
0.0,0.78,0.6026346363792573
0.0,0.785,0.5651364144225918
0.0,0.79,0.5264321628773562
0.0,0.795,0.48660447856685646
0.0,0.8,0.445738355776539
0.0,0.805,0.4039210048718946
0.0,0.81,0.3612416661871531
0.0,0.8150000000000001,0.3177914195819023
0.0,0.8200000000000001,0.2736629900720832
0.0,0.8250000000000001,0.22895054995013503
0.0,0.8300000000000001,0.18374951781657012
0.0,0.835,0.13815635495188341
0.0,0.84,0.0922683594633038
0.0,0.845,0.04618345864574021
0.0,0.85,1.1943401194869635e-15
0.0,0.855,-0.04618345864573871
0.0,0.86,-0.09226835946330054
0.0,0.865,-0.13815635495188194
0.0,0.87,-0.1837495178165695
0.0,0.875,-0.2289505499501327
0.0,0.88,-0.27366299007208095
0.0,0.885,-0.3177914195819009
0.0,0.89,-0.3612416661871533
0.0,0.895,-0.4039210048718948
0.0,0.9,-0.4457383557765376
0.0,0.905,-0.4866044785668551
0.0,0.91,-0.5264321628773557
0.0,0.915,-0.5651364144225913
0.0,0.92,-0.6026346363792554
0.0,0.925,-0.6388468056519613
0.0,0.93,-0.6736956436465568
0.0,0.935,-0.7071067811865479
0.0,0.9400000000000001,-0.7390089172206591
0.0,0.9450000000000001,-0.7693339709828785
0.0,0.9500000000000001,-0.7980172272802388
0.0,0.9550000000000001,-0.8249974745983023
0.0,0.96,-0.8502171357296129
0.0,0.965,-0.8736223906463689
0.0,0.97,-0.8951632913550623
0.0,0.975,-0.9147938684880208
0.0,0.98,-0.9324722294043554
0.0,0.985,-0.9481606475909653
0.0,0.99,-0.9618256431728189
0.0,0.995,-0.9734380543606926
0.0,1.0,-0.9829730996839015
0.0,1.0050000000000001,-0.9904104308752051
0.0,1.01,-0.9957341762950345
0.0,1.0150000000000001,-0.9989329748023724
0.0,1.02,-1.0
0.0,1.025,-0.9989329748023725
0.0,1.03,-0.9957341762950347
0.0,1.035,-0.9904104308752054
0.0,1.04,-0.9829730996839019
0.0,1.045,-0.9734380543606932
0.0,1.05,-0.9618256431728192
0.0,1.055,-0.9481606475909661
0.0,1.06,-0.9324722294043557
0.0,1.065,-0.9147938684880218
0.0,1.07,-0.8951632913550627
0.0,1.075,-0.8736223906463702
0.0,1.08,-0.8502171357296142
0.0,1.085,-0.8249974745983027
0.0,1.09,-0.7980172272802403
0.0,1.095,-0.769333970982879
0.0,1.1,-0.7390089172206584
0.0,1.105,-0.7071067811865485
0.0,1.11,-0.6736956436465573
0.0,1.115,-0.6388468056519618
