N,T_obs_s,delta_f_hz,frequency_hz,magnitude
2000,0.25,4.0,988.0,0.07315896636825105
2000,0.25,4.0,992.0,0.10226052939040713
2000,0.25,4.0,996.0,0.17016558728450326
2000,0.25,4.0,1000.0,1.1224032608775765
2000,0.25,4.0,1004.0,0.5088975937024772
2000,0.25,4.0,1008.0,0.16936808779190138
2000,0.25,4.0,1012.0,0.10146301420472495
2000,0.25,4.0,1016.0,0.07236142764198146
8000,1.0,1.0,985.0,3.3147914471813277e-14
8000,1.0,1.0,986.0,1.2629284813525833e-14
8000,1.0,1.0,987.0,1.8615270105889598e-14
8000,1.0,1.0,988.0,1.160565053132421e-14
8000,1.0,1.0,989.0,1.3174338695106084e-14
8000,1.0,1.0,990.0,1.2906785750073552e-14
8000,1.0,1.0,991.0,1.6072267066041412e-14
8000,1.0,1.0,992.0,1.5030948276253986e-14
8000,1.0,1.0,993.0,1.8547046300797664e-14
8000,1.0,1.0,994.0,2.094710828084697e-14
8000,1.0,1.0,995.0,2.6073119855625103e-14
8000,1.0,1.0,996.0,2.9833893249271826e-14
8000,1.0,1.0,997.0,3.94554110779443e-14
8000,1.0,1.0,998.0,5.823678465155302e-14
8000,1.0,1.0,999.0,1.1255567829882645e-13
8000,1.0,1.0,1000.0,0.9999999999999859
8000,1.0,1.0,1001.0,7.317771634355534e-14
8000,1.0,1.0,1002.0,0.80000000000005
8000,1.0,1.0,1003.0,6.245834892346101e-14
8000,1.0,1.0,1004.0,3.915389270426981e-14
8000,1.0,1.0,1005.0,3.137095434956255e-14
8000,1.0,1.0,1006.0,2.4904811772452616e-14
8000,1.0,1.0,1007.0,2.148529151915916e-14
8000,1.0,1.0,1008.0,1.749452837333565e-14
8000,1.0,1.0,1009.0,1.6186132737074522e-14
8000,1.0,1.0,1010.0,1.395474875701476e-14
8000,1.0,1.0,1011.0,1.222952810068967e-14
8000,1.0,1.0,1012.0,1.232849477941847e-14
8000,1.0,1.0,1013.0,1.0907311943763965e-14
8000,1.0,1.0,1014.0,8.490125094806607e-15
8000,1.0,1.0,1015.0,8.686091435691293e-15
8000,1.0,1.0,1016.0,8.620887443248559e-15
8000,1.0,1.0,1017.0,8.540670842794003e-15
