tone_hz,frequency_hz,peak_magnitude
100.0,0.0,3.3764385836843483e-16
100.0,10.0,2.652797295911405e-16
100.0,20.0,4.5252817597258735e-17
100.0,30.0,5.592468153576034e-16
100.0,40.0,4.474051486695698e-16
100.0,50.0,2.1059740068705753e-16
100.0,60.0,1.628518111152841e-16
100.0,70.0,4.017606792483563e-17
100.0,80.0,8.914608184202673e-17
100.0,90.0,1.677468350367791e-16
100.0,100.0,1.0
100.0,110.0,1.3483023481848537e-16
100.0,120.0,4.4782063086635145e-17
100.0,130.0,1.5578344364280732e-16
100.0,140.0,3.898163826410569e-17
100.0,150.0,3.47823085452792e-16
100.0,160.0,6.94860018337449e-16
100.0,170.0,5.019284161826023e-16
100.0,180.0,4.251611335442765e-16
100.0,190.0,1.3550935195666527e-16
100.0,200.0,2.6559037371350155e-16
100.0,210.0,3.5212937347218797e-16
100.0,220.0,3.4345151517172887e-16
100.0,230.0,1.821259890900179e-16
100.0,240.0,5.83339215204134e-16
100.0,250.0,2.2439210933854107e-16
100.0,260.0,2.5857147713377464e-16
100.0,270.0,3.786760938239511e-16
100.0,280.0,2.3766369854071897e-16
100.0,290.0,1.4157269508869095e-16
100.0,300.0,1.4793089751255704e-16
100.0,310.0,2.563836422418198e-16
100.0,320.0,3.459234226566553e-16
100.0,330.0,2.728423219655549e-16
100.0,340.0,3.299212941365379e-16
100.0,350.0,2.4107885068300546e-16
100.0,360.0,2.0197135105629393e-16
100.0,370.0,1.679455580672359e-16
100.0,380.0,2.2860676981985934e-16
100.0,390.0,1.985379714335325e-16
100.0,400.0,9.386186575546985e-17
100.0,410.0,2.0203815291453343e-16
100.0,420.0,8.746213321899618e-17
100.0,430.0,2.301744417460808e-16
100.0,440.0,2.89965702544143e-16
100.0,450.0,2.3421406254441255e-16
100.0,460.0,1.9002388465716134e-16
100.0,470.0,2.805123781015503e-16
100.0,480.0,1.9437112786828468e-16
100.0,490.0,1.3363187774112039e-16
100.0,500.0,1.9647760216199763e-16
100.0,510.0,2.1884417146751985e-16
100.0,520.0,3.989429878861176e-16
100.0,530.0,3.139637636249923e-16
100.0,540.0,2.285313850342879e-16
100.0,550.0,2.2795590567438083e-16
100.0,560.0,1.820995331842237e-16
100.0,570.0,1.0650561284737241e-16
100.0,580.0,4.363261090742231e-17
100.0,590.0,1.5466175821388622e-16
100.0,600.0,2.0100956953572102e-17
100.0,610.0,1.50033929111722e-16
100.0,620.0,8.388766403930634e-17
100.0,630.0,1.460267697341978e-16
100.0,640.0,7.287951363928207e-17
100.0,650.0,1.2451053870754787e-16
100.0,660.0,2.230098875357181e-16
100.0,670.0,2.5671404978478134e-16
100.0,680.0,9.700172361466266e-17
100.0,690.0,1.504998945710999e-16
100.0,700.0,1.1895203016379754e-16
100.0,710.0,1.986768401335182e-16
100.0,720.0,1.0852404438345669e-16
100.0,730.0,2.1493562459049143e-16
100.0,740.0,6.720576083729001e-17
100.0,750.0,2.1551602368486812e-16
100.0,760.0,1.2121327643198067e-16
100.0,770.0,1.677326139882418e-16
100.0,780.0,1.7544343345418347e-16
100.0,790.0,1.0671837882174588e-16
100.0,800.0,1.476060887016318e-16
100.0,810.0,1.075942379316902e-16
100.0,820.0,2.241144694023651e-17
100.0,830.0,7.194281940030931e-17
100.0,840.0,5.0894853729712736e-17
100.0,850.0,1.2748138914971907e-16
100.0,860.0,2.9422478915732813e-16
100.0,870.0,3.4631683775211926e-16
100.0,880.0,1.6426401238376531e-16
100.0,890.0,1.2985173921666606e-16
100.0,900.0,7.532842781370226e-17
100.0,910.0,2.1975744226307597e-16
100.0,920.0,1.4677969381295987e-16
100.0,930.0,1.5186677497737446e-16
100.0,940.0,8.022792870938775e-17
100.0,950.0,2.876760303270654e-16
100.0,960.0,1.811193419917385e-16
100.0,970.0,1.5898153846268307e-16
100.0,980.0,1.0250498043028576e-16
100.0,990.0,2.1081123014690308e-16
100.0,1000.0,5.342676406439475e-17
105.0,0.0,0.06007967616107237
105.0,10.0,0.06063461862919854
105.0,20.0,0.062362124966689574
105.0,30.0,0.06546880351245137
105.0,40.0,0.07037194117863142
105.0,50.0,0.07785918326903923
105.0,60.0,0.08947527358036184
105.0,70.0,0.1085826962247426
105.0,80.0,0.14397736003863615
105.0,90.0,0.22797717256334019
105.0,100.0,0.6515935580572022
105.0,110.0,0.6223687669582553
105.0,120.0,0.19861422638085335
105.0,130.0,0.11433428727619548
105.0,140.0,0.07850962551875582
105.0,150.0,0.0588097806208392
105.0,160.0,0.046420686640158075
105.0,170.0,0.03795462530894202
105.0,180.0,0.031832310192210556
105.0,190.0,0.027218856738817215
105.0,200.0,0.0236318146416762
105.0,210.0,0.02077321224308064
105.0,220.0,0.018449251822121274
105.0,230.0,0.01652856706485603
105.0,240.0,0.014919044520444512
105.0,250.0,0.013554244961853637
105.0,260.0,0.012385087634710796
105.0,270.0,0.01137456348948154
105.0,280.0,0.010494264933924762
105.0,290.0,0.009722044117741701
105.0,300.0,0.009040394135814955
105.0,310.0,0.008435305916270312
105.0,320.0,0.007895445622378873
105.0,330.0,0.007411552621401915
105.0,340.0,0.006975992137805734
105.0,350.0,0.006582418251604204
105.0,360.0,0.006225516836703633
105.0,370.0,0.005900807231551678
105.0,380.0,0.005604487618457462
105.0,390.0,0.005333313316579964
105.0,400.0,0.005084500130162158
105.0,410.0,0.0048556469620932245
105.0,420.0,0.004644673379164346
