filter,frequency_hz,gain_db,model
Pasa bajos,100.0,-4.342944803495759e-08,Butterworth analog order 4
Pasa bajos,100.28841826605607,-4.444169100978918e-08,Butterworth analog order 4
Pasa bajos,100.5776683830742,-4.5477523363349026e-08,Butterworth analog order 4
Pasa bajos,100.86775275026429,-4.6537503441251716e-08,Butterworth analog order 4
Pasa bajos,101.15867377375632,-4.7622183803147446e-08,Butterworth analog order 4
Pasa bajos,101.4504338666199,-4.8732149795820945e-08,Butterworth analog order 4
Pasa bajos,101.74303544888447,-4.9867987730384956e-08,Butterworth analog order 4
Pasa bajos,102.03648094755896,-5.1030296454209853e-08,Butterworth analog order 4
Pasa bajos,102.33077279665254,-5.221969410121605e-08,Butterworth analog order 4
Pasa bajos,102.62591343719443,-5.3436819056201466e-08,Butterworth analog order 4
Pasa bajos,102.92190531725429,-5.468230873963715e-08,Butterworth analog order 4
Pasa bajos,103.21875089196219,-5.595682853749152e-08,Butterworth analog order 4
Pasa bajos,103.51645262352952,-5.726105733631829e-08,Butterworth analog order 4
Pasa bajos,103.81501298126906,-5.8595679808636697e-08,Butterworth analog order 4
Pasa bajos,104.11443444161563,-5.996141437842831e-08,Butterworth analog order 4
Pasa bajos,104.41471948814622,-6.135897850534798e-08,Butterworth analog order 4
Pasa bajos,104.71587061160125,-6.278911665022065e-08,Butterworth analog order 4
Pasa bajos,105.01789030990474,-6.425258773878417e-08,Butterworth analog order 4
Pasa bajos,105.32078108818534,-6.57501699833268e-08,Butterworth analog order 4
Pasa bajos,105.62454545879659,-6.728265702537733e-08,Butterworth analog order 4
Pasa bajos,105.92918594133846,-6.885086275734242e-08,Butterworth analog order 4
Pasa bajos,106.23470506267779,-7.04556203581793e-08,Butterworth analog order 4
Pasa bajos,106.54110535696945,-7.209778132906825e-08,Butterworth analog order 4
Pasa bajos,106.848389365677,-7.37782154934127e-08,Butterworth analog order 4
Pasa bajos,107.15655963759431,-7.549781871145911e-08,Butterworth analog order 4
Pasa bajos,107.4656187288664,-7.725750034403977e-08,Butterworth analog order 4
Pasa bajos,107.77556920301075,-7.905819964614001e-08,Butterworth analog order 4
