s_over_L,condition,response_normalized
0.000000,altas,0.23884209
0.002000,altas,0.24511311
0.004000,altas,0.25148925
0.006000,altas,0.25797019
0.008000,altas,0.26455552
0.010000,altas,0.27124475
0.012000,altas,0.27803730
0.014000,altas,0.28493250
0.016000,altas,0.29192960
0.018000,altas,0.29902774
0.020000,altas,0.30622598
0.022000,altas,0.31352328
0.024000,altas,0.32091851
0.026000,altas,0.32841044
0.028000,altas,0.33599773
0.030000,altas,0.34367895
0.032000,altas,0.35145258
0.034000,altas,0.35931699
0.036000,altas,0.36727044
0.038000,altas,0.37531110
0.040000,altas,0.38343703
0.042000,altas,0.39164618
0.044000,altas,0.39993642
0.046000,altas,0.40830549
0.048000,altas,0.41675104
0.050000,altas,0.42527061
0.052000,altas,0.43386165
0.054000,altas,0.44252148
0.056000,altas,0.45124735
0.058000,altas,0.46003638
0.060000,altas,0.46888561
0.062000,altas,0.47779196
0.064000,altas,0.48675226
0.066000,altas,0.49576324
0.068000,altas,0.50482154
0.070000,altas,0.51392370
0.072000,altas,0.52306615
0.074000,altas,0.53224526
0.076000,altas,0.54145727
0.078000,altas,0.55069837
0.080000,altas,0.55996463
0.082000,altas,0.56925206
0.084000,altas,0.57855658
0.086000,altas,0.58787402
0.088000,altas,0.59720015
0.090000,altas,0.60653066
0.092000,altas,0.61586116
0.094000,altas,0.62518721
0.096000,altas,0.63450428
0.098000,altas,0.64380781
0.100000,altas,0.65309315
0.102000,altas,0.66235563
0.104000,altas,0.67159049
0.106000,altas,0.68079296
0.108000,altas,0.68995820
0.110000,altas,0.69908135
0.112000,altas,0.70815750
0.114000,altas,0.71718171
0.116000,altas,0.72614904
0.118000,altas,0.73505449
0.120000,altas,0.74389306
0.122000,altas,0.75265975
0.124000,altas,0.76134953
0.126000,altas,0.76995738
0.128000,altas,0.77847827
0.130000,altas,0.78690719
0.132000,altas,0.79523912
0.134000,altas,0.80346909
0.136000,altas,0.81159211
0.138000,altas,0.81960324
0.140000,altas,0.82749757
0.142000,altas,0.83527021
0.144000,altas,0.84291633
0.146000,altas,0.85043114
0.148000,altas,0.85780989
0.150000,altas,0.86504789
0.152000,altas,0.87214051
0.154000,altas,0.87908319
0.156000,altas,0.88587145
0.158000,altas,0.89250085
0.160000,altas,0.89896707
0.162000,altas,0.90526584
0.164000,altas,0.91139301
0.166000,altas,0.91734451
0.168000,altas,0.92311635
0.170000,altas,0.92870467
0.172000,altas,0.93410570
0.174000,altas,0.93931579
0.176000,altas,0.94433141
0.178000,altas,0.94914913
0.180000,altas,0.95376566
0.182000,altas,0.95817783
0.184000,altas,0.96238260
0.186000,altas,0.96637707
0.188000,altas,0.97015846
0.190000,altas,0.97372416
0.192000,altas,0.97707168
0.194000,altas,0.98019867
0.196000,altas,0.98310296
0.198000,altas,0.98578251
0.200000,altas,0.98823543
0.202000,altas,0.99046000
0.204000,altas,0.99245465
0.206000,altas,0.99421796
0.208000,altas,0.99574871
0.210000,altas,0.99704579
0.212000,altas,0.99810830
0.214000,altas,0.99893548
0.216000,altas,0.99952674
0.218000,altas,0.99988166
0.220000,altas,1.00000000
0.222000,altas,0.99901283
0.224000,altas,0.99605718
0.226000,altas,0.99115050
0.228000,altas,0.98432173
0.230000,altas,0.97561098
0.232000,altas,0.96506912
0.234000,altas,0.95275731
