s_over_L,condition,response_normalized_common_scale
0.000000,nivel_debil,0.00000048
0.002000,nivel_debil,0.00000053
0.004000,nivel_debil,0.00000059
0.006000,nivel_debil,0.00000065
0.008000,nivel_debil,0.00000072
0.010000,nivel_debil,0.00000079
0.012000,nivel_debil,0.00000088
0.014000,nivel_debil,0.00000097
0.016000,nivel_debil,0.00000107
0.018000,nivel_debil,0.00000118
0.020000,nivel_debil,0.00000130
0.022000,nivel_debil,0.00000143
0.024000,nivel_debil,0.00000158
0.026000,nivel_debil,0.00000174
0.028000,nivel_debil,0.00000192
0.030000,nivel_debil,0.00000211
0.032000,nivel_debil,0.00000233
0.034000,nivel_debil,0.00000256
0.036000,nivel_debil,0.00000281
0.038000,nivel_debil,0.00000309
0.040000,nivel_debil,0.00000340
0.042000,nivel_debil,0.00000374
0.044000,nivel_debil,0.00000410
0.046000,nivel_debil,0.00000451
0.048000,nivel_debil,0.00000495
0.050000,nivel_debil,0.00000543
0.052000,nivel_debil,0.00000595
0.054000,nivel_debil,0.00000652
0.056000,nivel_debil,0.00000715
0.058000,nivel_debil,0.00000783
0.060000,nivel_debil,0.00000858
0.062000,nivel_debil,0.00000939
0.064000,nivel_debil,0.00001028
0.066000,nivel_debil,0.00001124
0.068000,nivel_debil,0.00001229
0.070000,nivel_debil,0.00001344
0.072000,nivel_debil,0.00001468
0.074000,nivel_debil,0.00001604
0.076000,nivel_debil,0.00001752
0.078000,nivel_debil,0.00001912
0.080000,nivel_debil,0.00002086
0.082000,nivel_debil,0.00002276
0.084000,nivel_debil,0.00002482
0.086000,nivel_debil,0.00002705
0.088000,nivel_debil,0.00002947
0.090000,nivel_debil,0.00003210
0.092000,nivel_debil,0.00003495
0.094000,nivel_debil,0.00003804
0.096000,nivel_debil,0.00004139
0.098000,nivel_debil,0.00004502
0.100000,nivel_debil,0.00004894
0.102000,nivel_debil,0.00005319
0.104000,nivel_debil,0.00005779
0.106000,nivel_debil,0.00006276
0.108000,nivel_debil,0.00006814
0.110000,nivel_debil,0.00007395
0.112000,nivel_debil,0.00008022
0.114000,nivel_debil,0.00008700
0.116000,nivel_debil,0.00009431
0.118000,nivel_debil,0.00010220
0.120000,nivel_debil,0.00011072
0.122000,nivel_debil,0.00011989
0.124000,nivel_debil,0.00012978
0.126000,nivel_debil,0.00014044
0.128000,nivel_debil,0.00015192
0.130000,nivel_debil,0.00016427
0.132000,nivel_debil,0.00017757
0.134000,nivel_debil,0.00019187
0.136000,nivel_debil,0.00020724
0.138000,nivel_debil,0.00022377
0.140000,nivel_debil,0.00024153
0.142000,nivel_debil,0.00026061
0.144000,nivel_debil,0.00028109
0.146000,nivel_debil,0.00030306
0.148000,nivel_debil,0.00032664
0.150000,nivel_debil,0.00035193
0.152000,nivel_debil,0.00037903
0.154000,nivel_debil,0.00040807
0.156000,nivel_debil,0.00043918
0.158000,nivel_debil,0.00047249
0.160000,nivel_debil,0.00050815
0.162000,nivel_debil,0.00054629
0.164000,nivel_debil,0.00058709
0.166000,nivel_debil,0.00063070
0.168000,nivel_debil,0.00067730
0.170000,nivel_debil,0.00072709
0.172000,nivel_debil,0.00078025
0.174000,nivel_debil,0.00083700
0.176000,nivel_debil,0.00089754
0.178000,nivel_debil,0.00096212
0.180000,nivel_debil,0.00103097
0.182000,nivel_debil,0.00110434
0.184000,nivel_debil,0.00118251
0.186000,nivel_debil,0.00126575
0.188000,nivel_debil,0.00135437
0.190000,nivel_debil,0.00144865
0.192000,nivel_debil,0.00154894
0.194000,nivel_debil,0.00165558
0.196000,nivel_debil,0.00176891
0.198000,nivel_debil,0.00188931
0.200000,nivel_debil,0.00201718
0.202000,nivel_debil,0.00215292
