s_over_L,weak_response,higher_level_response
0.000000,0.00000048,0.02252819
0.002000,0.00000053,0.02313556
0.004000,0.00000059,0.02375703
0.006000,0.00000065,0.02439289
0.008000,0.00000072,0.02504337
0.010000,0.00000079,0.02570876
0.012000,0.00000088,0.02638931
0.014000,0.00000097,0.02708530
0.016000,0.00000107,0.02779700
0.018000,0.00000118,0.02852468
0.020000,0.00000130,0.02926863
0.022000,0.00000143,0.03002913
0.024000,0.00000158,0.03080645
0.026000,0.00000174,0.03160088
0.028000,0.00000192,0.03241272
0.030000,0.00000211,0.03324225
0.032000,0.00000233,0.03408976
0.034000,0.00000256,0.03495555
0.036000,0.00000281,0.03583993
0.038000,0.00000309,0.03674317
0.040000,0.00000340,0.03766560
0.042000,0.00000374,0.03860751
0.044000,0.00000410,0.03956921
0.046000,0.00000451,0.04055100
0.048000,0.00000495,0.04155320
0.050000,0.00000543,0.04257611
0.052000,0.00000595,0.04362005
0.054000,0.00000652,0.04468534
0.056000,0.00000715,0.04577229
0.058000,0.00000783,0.04688121
0.060000,0.00000858,0.04801243
0.062000,0.00000939,0.04916626
0.064000,0.00001028,0.05034303
0.066000,0.00001124,0.05154306
0.068000,0.00001229,0.05276668
0.070000,0.00001344,0.05401420
0.072000,0.00001468,0.05528595
0.074000,0.00001604,0.05658226
0.076000,0.00001752,0.05790345
0.078000,0.00001912,0.05924985
0.080000,0.00002086,0.06062179
0.082000,0.00002276,0.06201959
0.084000,0.00002482,0.06344359
0.086000,0.00002705,0.06489410
0.088000,0.00002947,0.06637146
0.090000,0.00003210,0.06787599
0.092000,0.00003495,0.06940802
0.094000,0.00003804,0.07096787
0.096000,0.00004139,0.07255588
0.098000,0.00004502,0.07417235
0.100000,0.00004894,0.07581763
0.102000,0.00005319,0.07749202
0.104000,0.00005779,0.07919585
0.106000,0.00006276,0.08092944
0.108000,0.00006814,0.08269311
0.110000,0.00007395,0.08448717
0.112000,0.00008022,0.08631194
0.114000,0.00008700,0.08816773
0.116000,0.00009431,0.09005484
0.118000,0.00010220,0.09197360
0.120000,0.00011072,0.09392429
0.122000,0.00011989,0.09590723
0.124000,0.00012978,0.09792271
0.126000,0.00014044,0.09997103
0.128000,0.00015192,0.10205249
0.130000,0.00016427,0.10416736
0.132000,0.00017757,0.10631594
0.134000,0.00019187,0.10849852
0.136000,0.00020724,0.11071536
