input_relative_dB,proportional_reference_dB,active_model_response_dB,local_slope
0.0000,0.000000,34.873839,0.981975
0.2000,0.200000,35.070234,0.981722
0.4000,0.400000,35.266528,0.981207
0.6000,0.600000,35.462717,0.980679
0.8000,0.800000,35.658799,0.980136
1.0000,1.000000,35.854771,0.979578
1.2000,1.200000,36.050630,0.979005
1.4000,1.400000,36.246373,0.978417
1.6000,1.600000,36.441997,0.977813
1.8000,1.800000,36.637499,0.977192
2.0000,2.000000,36.832874,0.976555
2.2000,2.200000,37.028121,0.975901
2.4000,2.400000,37.223235,0.975229
2.6000,2.600000,37.418212,0.974539
2.8000,2.800000,37.613050,0.973831
3.0000,3.000000,37.807745,0.973104
3.2000,3.200000,38.002292,0.972358
3.4000,3.400000,38.196688,0.971591
3.6000,3.600000,38.390928,0.970805
3.8000,3.800000,38.585010,0.969998
4.0000,4.000000,38.778928,0.969170
4.2000,4.200000,38.972678,0.968320
4.4000,4.400000,39.166255,0.967447
4.6000,4.600000,39.359656,0.966552
4.8000,4.800000,39.552876,0.965634
5.0000,5.000000,39.745910,0.964692
5.2000,5.200000,39.938753,0.963726
5.4000,5.400000,40.131401,0.962735
5.6000,5.600000,40.323847,0.961719
5.8000,5.800000,40.516088,0.960676
6.0000,6.000000,40.708118,0.959607
6.2000,6.200000,40.899931,0.958511
6.4000,6.400000,41.091522,0.957388
6.6000,6.600000,41.282886,0.956236
6.8000,6.800000,41.474017,0.955055
7.0000,7.000000,41.664908,0.953845
7.2000,7.200000,41.855555,0.952605
7.4000,7.400000,42.045950,0.951334
7.6000,7.600000,42.236088,0.950032
7.8000,7.800000,42.425963,0.948698
8.0000,8.000000,42.615567,0.947332
8.2000,8.200000,42.804896,0.945932
8.4000,8.400000,42.993940,0.944499
8.6000,8.600000,43.182695,0.943031
8.8000,8.800000,43.371153,0.941529
9.0000,9.000000,43.559307,0.939990
9.2000,9.200000,43.747149,0.938416
9.4000,9.400000,43.934673,0.936805
9.6000,9.600000,44.121871,0.935156
9.8000,9.800000,44.308735,0.933469
10.0000,10.000000,44.495258,0.931743
10.2000,10.200000,44.681433,0.929978
10.4000,10.400000,44.867250,0.928173
10.6000,10.600000,45.052702,0.926327
10.8000,10.800000,45.237780,0.924440
11.0000,11.000000,45.422478,0.922511
11.2000,11.200000,45.606785,0.920540
11.4000,11.400000,45.790693,0.918525
11.6000,11.600000,45.974195,0.916468
11.8000,11.800000,46.157280,0.914366
12.0000,12.000000,46.339941,0.912219
12.2000,12.200000,46.522168,0.910027
12.4000,12.400000,46.703952,0.907789
12.6000,12.600000,46.885284,0.905505
12.8000,12.800000,47.066154,0.903174
13.0000,13.000000,47.246553,0.900796
13.2000,13.200000,47.426472,0.898371
13.4000,13.400000,47.605902,0.895897
13.6000,13.600000,47.784831,0.893375
13.8000,13.800000,47.963252,0.890804
14.0000,14.000000,48.141153,0.888183
14.2000,14.200000,48.318525,0.885513
14.4000,14.400000,48.495358,0.882794
14.6000,14.600000,48.671642,0.880024
14.8000,14.800000,48.847368,0.877204
15.0000,15.000000,49.022524,0.874333
15.2000,15.200000,49.197101,0.871411
15.4000,15.400000,49.371088,0.868439
15.6000,15.600000,49.544476,0.865415
15.8000,15.800000,49.717254,0.862341
16.0000,16.000000,49.889412,0.859215
16.2000,16.200000,50.060940,0.856039
16.4000,16.400000,50.231828,0.852811
16.6000,16.600000,50.402065,0.849533
16.8000,16.800000,50.571641,0.846204
17.0000,17.000000,50.740546,0.842824
17.2000,17.200000,50.908771,0.839394
17.4000,17.400000,51.076304,0.835915
17.6000,17.600000,51.243136,0.832386
17.8000,17.800000,51.409258,0.828807
18.0000,18.000000,51.574659,0.825180
18.2000,18.200000,51.739330,0.821505
18.4000,18.400000,51.903261,0.817782
18.6000,18.600000,52.066443,0.814012
18.8000,18.800000,52.228866,0.810196
19.0000,19.000000,52.390521,0.806334
19.2000,19.200000,52.551399,0.802427
19.4000,19.400000,52.711492,0.798476
19.6000,19.600000,52.870790,0.794482
19.8000,19.800000,53.029285,0.790446
20.0000,20.000000,53.186968,0.786369
20.2000,20.200000,53.343833,0.782252
20.4000,20.400000,53.499869,0.778096
20.6000,20.600000,53.655071,0.773901
20.8000,20.800000,53.809430,0.769671
21.0000,21.000000,53.962939,0.765405
21.2000,21.200000,54.115592,0.761104
21.4000,21.400000,54.267381,0.756772
21.6000,21.600000,54.418300,0.752408
21.8000,21.800000,54.568344,0.748014
22.0000,22.000000,54.717506,0.743592
22.2000,22.200000,54.865781,0.739143
22.4000,22.400000,55.013163,0.734669
22.6000,22.600000,55.159648,0.730171
22.8000,22.800000,55.305231,0.725652
23.0000,23.000000,55.449909,0.721112
23.2000,23.200000,55.593676,0.716554
23.4000,23.400000,55.736531,0.711980
23.6000,23.600000,55.878468,0.707390
23.8000,23.800000,56.019486,0.702787
24.0000,24.000000,56.159583,0.698173
24.2000,24.200000,56.298756,0.693550
24.4000,24.400000,56.437003,0.688919
24.6000,24.600000,56.574323,0.684283
24.8000,24.800000,56.710716,0.679642
25.0000,25.000000,56.846180,0.675000
25.2000,25.200000,56.980716,0.670358
25.4000,25.400000,57.114323,0.665717
25.6000,25.600000,57.247003,0.661081
25.8000,25.800000,57.378756,0.656450
26.0000,26.000000,57.509583,0.651827
26.2000,26.200000,57.639486,0.647213
26.4000,26.400000,57.768468,0.642610
26.6000,26.600000,57.896531,0.638020
26.8000,26.800000,58.023676,0.633446
27.0000,27.000000,58.149909,0.628888
27.2000,27.200000,58.275231,0.624348
27.4000,27.400000,58.399648,0.619829
27.6000,27.600000,58.523163,0.615331
27.8000,27.800000,58.645781,0.610857
28.0000,28.000000,58.767506,0.606408
28.2000,28.200000,58.888344,0.601986
28.4000,28.400000,59.008300,0.597592
28.6000,28.600000,59.127381,0.593228
28.8000,28.800000,59.245592,0.588896
29.0000,29.000000,59.362939,0.584595
29.2000,29.200000,59.479430,0.580329
29.4000,29.400000,59.595071,0.576099
29.6000,29.600000,59.709869,0.571904
29.8000,29.800000,59.823833,0.567748
30.0000,30.000000,59.936968,0.563631
30.2000,30.200000,60.049285,0.559554
30.4000,30.400000,60.160790,0.555518
30.6000,30.600000,60.271492,0.551524
30.8000,30.800000,60.381399,0.547573
31.0000,31.000000,60.490521,0.543666
31.2000,31.200000,60.598866,0.539804
31.4000,31.400000,60.706443,0.535988
31.6000,31.600000,60.813261,0.532218
31.8000,31.800000,60.919330,0.528495
32.0000,32.000000,61.024659,0.524820
32.2000,32.200000,61.129258,0.521193
32.4000,32.400000,61.233136,0.517614
32.6000,32.600000,61.336304,0.514085
32.8000,32.800000,61.438771,0.510606
33.0000,33.000000,61.540546,0.507176
33.2000,33.200000,61.641641,0.503796
33.4000,33.400000,61.742065,0.500467
33.6000,33.600000,61.841828,0.497189
33.8000,33.800000,61.940940,0.493961
34.0000,34.000000,62.039412,0.490785
34.2000,34.200000,62.137254,0.487659
34.4000,34.400000,62.234476,0.484585
34.6000,34.600000,62.331088,0.481561
34.8000,34.800000,62.427101,0.478589
35.0000,35.000000,62.522524,0.475667
35.2000,35.200000,62.617368,0.472796
35.4000,35.400000,62.711642,0.469976
35.6000,35.600000,62.805358,0.467206
35.8000,35.800000,62.898525,0.464487
36.0000,36.000000,62.991153,0.461817
36.2000,36.200000,63.083252,0.459196
36.4000,36.400000,63.174831,0.456625
36.6000,36.600000,63.265902,0.454103
36.8000,36.800000,63.356472,0.451629
37.0000,37.000000,63.446553,0.449204
37.2000,37.200000,63.536154,0.446826
37.4000,37.400000,63.625284,0.444495
37.6000,37.600000,63.713952,0.442211
37.8000,37.800000,63.802168,0.439973
38.0000,38.000000,63.889941,0.437781
38.2000,38.200000,63.977280,0.435634
38.4000,38.400000,64.064195,0.433532
38.6000,38.600000,64.150693,0.431475
38.8000,38.800000,64.236785,0.429460
39.0000,39.000000,64.322478,0.427489
39.2000,39.200000,64.407780,0.425560
39.4000,39.400000,64.492702,0.423673
39.6000,39.600000,64.577250,0.421827
39.8000,39.800000,64.661433,0.420022
40.0000,40.000000,64.745258,0.418257
40.2000,40.200000,64.828735,0.416531
40.4000,40.400000,64.911871,0.414844
40.6000,40.600000,64.994673,0.413195
40.8000,40.800000,65.077149,0.411584
41.0000,41.000000,65.159307,0.410010
41.2000,41.200000,65.241153,0.408471
41.4000,41.400000,65.322695,0.406969
41.6000,41.600000,65.403940,0.405501
41.8000,41.800000,65.484896,0.404068
42.0000,42.000000,65.565567,0.402668
42.2000,42.200000,65.645963,0.401302
42.4000,42.400000,65.726088,0.399968
42.6000,42.600000,65.805950,0.398666
42.8000,42.800000,65.885555,0.397395
43.0000,43.000000,65.964908,0.396155
43.2000,43.200000,66.044017,0.394945
43.4000,43.400000,66.122886,0.393764
43.6000,43.600000,66.201522,0.392612
43.8000,43.800000,66.279931,0.391489
44.0000,44.000000,66.358118,0.390393
44.2000,44.200000,66.436088,0.389324
44.4000,44.400000,66.513847,0.388281
44.6000,44.600000,66.591401,0.387265
44.8000,44.800000,66.668753,0.386274
45.0000,45.000000,66.745910,0.385308
45.2000,45.200000,66.822876,0.384366
45.4000,45.400000,66.899656,0.383448
45.6000,45.600000,66.976255,0.382553
45.8000,45.800000,67.052678,0.381680
46.0000,46.000000,67.128928,0.380830
46.2000,46.200000,67.205010,0.380002
46.4000,46.400000,67.280928,0.379195
46.6000,46.600000,67.356688,0.378409
46.8000,46.800000,67.432292,0.377642
47.0000,47.000000,67.507745,0.376896
47.2000,47.200000,67.583050,0.376169
47.4000,47.400000,67.658212,0.375461
47.6000,47.600000,67.733235,0.374771
47.8000,47.800000,67.808121,0.374099
48.0000,48.000000,67.882874,0.373445
48.2000,48.200000,67.957499,0.372808
48.4000,48.400000,68.031997,0.372187
48.6000,48.600000,68.106373,0.371583
48.8000,48.800000,68.180630,0.370995
49.0000,49.000000,68.254771,0.370422
49.2000,49.200000,68.328799,0.369864
49.4000,49.400000,68.402717,0.369321
49.6000,49.600000,68.476528,0.368793
49.8000,49.800000,68.550234,0.368278
50.0000,50.000000,68.623839,0.367778
50.2000,50.200000,68.697345,0.367290
50.4000,50.400000,68.770755,0.366816
50.6000,50.600000,68.844072,0.366354
50.8000,50.800000,68.917297,0.365905
51.0000,51.000000,68.990433,0.365467
51.2000,51.200000,69.063484,0.365042
51.4000,51.400000,69.136450,0.364628
51.6000,51.600000,69.209335,0.364225
51.8000,51.800000,69.282140,0.363832
52.0000,52.000000,69.354868,0.363451
52.2000,52.200000,69.427520,0.363080
52.4000,52.400000,69.500100,0.362718
52.6000,52.600000,69.572608,0.362367
52.8000,52.800000,69.645047,0.362025
53.0000,53.000000,69.717418,0.361693
53.2000,53.200000,69.789724,0.361369
53.4000,53.400000,69.861965,0.361054
53.6000,53.600000,69.934145,0.360748
53.8000,53.800000,70.006265,0.360450
54.0000,54.000000,70.078325,0.360160
54.2000,54.200000,70.150329,0.359879
54.4000,54.400000,70.222277,0.359604
54.6000,54.600000,70.294170,0.359338
54.8000,54.800000,70.366012,0.359078
55.0000,55.000000,70.437802,0.358826
55.2000,55.200000,70.509542,0.358581
55.4000,55.400000,70.581234,0.358342
55.6000,55.600000,70.652879,0.358110
55.8000,55.800000,70.724478,0.357885
56.0000,56.000000,70.796033,0.357665
56.2000,56.200000,70.867544,0.357452
56.4000,56.400000,70.939014,0.357244
56.6000,56.600000,71.010442,0.357042
56.8000,56.800000,71.081830,0.356846
57.0000,57.000000,71.153180,0.356655
57.2000,57.200000,71.224492,0.356470
57.4000,57.400000,71.295768,0.356289
57.6000,57.600000,71.367008,0.356114
57.8000,57.800000,71.438214,0.355943
58.0000,58.000000,71.509385,0.355777
58.2000,58.200000,71.580524,0.355616
58.4000,58.400000,71.651632,0.355459
58.6000,58.600000,71.722708,0.355306
58.8000,58.800000,71.793754,0.355158
59.0000,59.000000,71.864771,0.355014
59.2000,59.200000,71.935760,0.354874
59.4000,59.400000,72.006721,0.354737
59.6000,59.600000,72.077655,0.354605
59.8000,59.800000,72.148563,0.354476
60.0000,60.000000,72.219445,0.354351
60.2000,60.200000,72.290303,0.354229
60.4000,60.400000,72.361137,0.354111
60.6000,60.600000,72.431947,0.353996
60.8000,60.800000,72.502735,0.353884
61.0000,61.000000,72.573501,0.353775
61.2000,61.200000,72.644245,0.353669
61.4000,61.400000,72.714969,0.353567
61.6000,61.600000,72.785672,0.353467
61.8000,61.800000,72.856355,0.353370
62.0000,62.000000,72.927020,0.353275
62.2000,62.200000,72.997665,0.353183
62.4000,62.400000,73.068293,0.353094
62.6000,62.600000,73.138903,0.353007
62.8000,62.800000,73.209496,0.352923
63.0000,63.000000,73.280072,0.352841
63.2000,63.200000,73.350632,0.352761
63.4000,63.400000,73.421177,0.352684
63.6000,63.600000,73.491706,0.352609
63.8000,63.800000,73.562220,0.352535
64.0000,64.000000,73.632720,0.352464
64.2000,64.200000,73.703206,0.352395
64.4000,64.400000,73.773678,0.352328
64.6000,64.600000,73.844137,0.352263
64.8000,64.800000,73.914583,0.352199
65.0000,65.000000,73.985016,0.352137
65.2000,65.200000,74.055438,0.352077
65.4000,65.400000,74.125847,0.352019
65.6000,65.600000,74.196245,0.351962
65.8000,65.800000,74.266632,0.351907
66.0000,66.000000,74.337008,0.351854
66.2000,66.200000,74.407374,0.351801
66.4000,66.400000,74.477729,0.351751
66.6000,66.600000,74.548074,0.351702
66.8000,66.800000,74.618410,0.351654
67.0000,67.000000,74.688736,0.351607
67.2000,67.200000,74.759053,0.351562
67.4000,67.400000,74.829361,0.351518
67.6000,67.600000,74.899660,0.351476
67.8000,67.800000,74.969951,0.351434
68.0000,68.000000,75.040234,0.351394
68.2000,68.200000,75.110508,0.351355
68.4000,68.400000,75.180775,0.351317
68.6000,68.600000,75.251035,0.351280
68.8000,68.800000,75.321287,0.351244
69.0000,69.000000,75.391532,0.351209
69.2000,69.200000,75.461771,0.351175
69.4000,69.400000,75.532002,0.351142
69.6000,69.600000,75.602227,0.351110
69.8000,69.800000,75.672446,0.351078
70.0000,70.000000,75.742659,0.351048
70.2000,70.200000,75.812865,0.351019
70.4000,70.400000,75.883066,0.350990
70.6000,70.600000,75.953261,0.350962
70.8000,70.800000,76.023451,0.350935
71.0000,71.000000,76.093635,0.350909
71.2000,71.200000,76.163815,0.350883
71.4000,71.400000,76.233989,0.350858
71.6000,71.600000,76.304158,0.350834
71.8000,71.800000,76.374322,0.350811
72.0000,72.000000,76.444482,0.350788
72.2000,72.200000,76.514637,0.350766
72.4000,72.400000,76.584788,0.350744
72.6000,72.600000,76.654935,0.350723
72.8000,72.800000,76.725078,0.350703
73.0000,73.000000,76.795216,0.350683
73.2000,73.200000,76.865351,0.350664
73.4000,73.400000,76.935482,0.350645
73.6000,73.600000,77.005609,0.350627
73.8000,73.800000,77.075733,0.350609
74.0000,74.000000,77.145853,0.350592
74.2000,74.200000,77.215970,0.350576
74.4000,74.400000,77.286083,0.350559
74.6000,74.600000,77.356193,0.350544
74.8000,74.800000,77.426301,0.350528
75.0000,75.000000,77.496405,0.350513
75.2000,75.200000,77.566506,0.350499
75.4000,75.400000,77.636604,0.350485
75.6000,75.600000,77.706700,0.350471
75.8000,75.800000,77.776793,0.350458
76.0000,76.000000,77.846883,0.350445
76.2000,76.200000,77.916971,0.350433
76.4000,76.400000,77.987056,0.350420
76.6000,76.600000,78.057139,0.350409
76.8000,76.800000,78.127220,0.350397
77.0000,77.000000,78.197298,0.350386
77.2000,77.200000,78.267374,0.350375
77.4000,77.400000,78.337448,0.350365
77.6000,77.600000,78.407520,0.350354
77.8000,77.800000,78.477590,0.350344
78.0000,78.000000,78.547658,0.350335
78.2000,78.200000,78.617724,0.350325
78.4000,78.400000,78.687788,0.350316
78.6000,78.600000,78.757850,0.350307
78.8000,78.800000,78.827910,0.350298
79.0000,79.000000,78.897969,0.350290
79.2000,79.200000,78.968027,0.350282
79.4000,79.400000,79.038082,0.350274
79.6000,79.600000,79.108136,0.350266
79.8000,79.800000,79.178189,0.350259
80.0000,80.000000,79.248240,0.350255
