record_type,s_over_L,response
mechanical_curve,0.000000,0.00929572
mechanical_curve,0.002000,0.00963567
mechanical_curve,0.004000,0.00998666
mechanical_curve,0.006000,0.01034900
mechanical_curve,0.008000,0.01072301
mechanical_curve,0.010000,0.01110900
mechanical_curve,0.012000,0.01150728
mechanical_curve,0.014000,0.01191820
mechanical_curve,0.016000,0.01234208
mechanical_curve,0.018000,0.01277927
mechanical_curve,0.020000,0.01323012
mechanical_curve,0.022000,0.01369497
mechanical_curve,0.024000,0.01417420
mechanical_curve,0.026000,0.01466816
mechanical_curve,0.028000,0.01517724
mechanical_curve,0.030000,0.01570181
mechanical_curve,0.032000,0.01624227
mechanical_curve,0.034000,0.01679900
mechanical_curve,0.036000,0.01737241
mechanical_curve,0.038000,0.01796291
mechanical_curve,0.040000,0.01857091
mechanical_curve,0.042000,0.01919682
mechanical_curve,0.044000,0.01984109
mechanical_curve,0.046000,0.02050415
mechanical_curve,0.048000,0.02118643
mechanical_curve,0.050000,0.02188838
mechanical_curve,0.052000,0.02261046
mechanical_curve,0.054000,0.02335313
mechanical_curve,0.056000,0.02411686
mechanical_curve,0.058000,0.02490211
mechanical_curve,0.060000,0.02570937
mechanical_curve,0.062000,0.02653913
mechanical_curve,0.064000,0.02739188
mechanical_curve,0.066000,0.02826812
mechanical_curve,0.068000,0.02916834
mechanical_curve,0.070000,0.03009307
mechanical_curve,0.072000,0.03104283
mechanical_curve,0.074000,0.03201812
mechanical_curve,0.076000,0.03301948
mechanical_curve,0.078000,0.03404745
mechanical_curve,0.080000,0.03510257
mechanical_curve,0.082000,0.03618537
mechanical_curve,0.084000,0.03729641
mechanical_curve,0.086000,0.03843625
mechanical_curve,0.088000,0.03960543
mechanical_curve,0.090000,0.04080454
mechanical_curve,0.092000,0.04203413
mechanical_curve,0.094000,0.04329478
mechanical_curve,0.096000,0.04458707
mechanical_curve,0.098000,0.04591157
mechanical_curve,0.100000,0.04726888
mechanical_curve,0.102000,0.04865958
mechanical_curve,0.104000,0.05008426
mechanical_curve,0.106000,0.05154352
mechanical_curve,0.108000,0.05303796
mechanical_curve,0.110000,0.05456817
mechanical_curve,0.112000,0.05613476
mechanical_curve,0.114000,0.05773834
mechanical_curve,0.116000,0.05937950
mechanical_curve,0.118000,0.06105886
mechanical_curve,0.120000,0.06277703
mechanical_curve,0.122000,0.06453461
mechanical_curve,0.124000,0.06633222
mechanical_curve,0.126000,0.06817046
mechanical_curve,0.128000,0.07004995
mechanical_curve,0.130000,0.07197130
mechanical_curve,0.132000,0.07393511
mechanical_curve,0.134000,0.07594199
mechanical_curve,0.136000,0.07799256
mechanical_curve,0.138000,0.08008741
mechanical_curve,0.140000,0.08222714
mechanical_curve,0.142000,0.08441235
mechanical_curve,0.144000,0.08664365
mechanical_curve,0.146000,0.08892162
mechanical_curve,0.148000,0.09124685
mechanical_curve,0.150000,0.09361992
mechanical_curve,0.152000,0.09604141
mechanical_curve,0.154000,0.09851191
mechanical_curve,0.156000,0.10103196
mechanical_curve,0.158000,0.10360215
mechanical_curve,0.160000,0.10622301
mechanical_curve,0.162000,0.10889510
mechanical_curve,0.164000,0.11161896
mechanical_curve,0.166000,0.11439512
mechanical_curve,0.168000,0.11722410
mechanical_curve,0.170000,0.12010641
mechanical_curve,0.172000,0.12304257
mechanical_curve,0.174000,0.12603305
mechanical_curve,0.176000,0.12907836
mechanical_curve,0.178000,0.13217895
mechanical_curve,0.180000,0.13533528
mechanical_curve,0.182000,0.13854781
mechanical_curve,0.184000,0.14181697
mechanical_curve,0.186000,0.14514318
mechanical_curve,0.188000,0.14852684
mechanical_curve,0.190000,0.15196834
mechanical_curve,0.192000,0.15546807
mechanical_curve,0.194000,0.15902639
mechanical_curve,0.196000,0.16264363
mechanical_curve,0.198000,0.16632013
mechanical_curve,0.200000,0.17005620
mechanical_curve,0.202000,0.17385213
mechanical_curve,0.204000,0.17770819
mechanical_curve,0.206000,0.18162464
mechanical_curve,0.208000,0.18560171
mechanical_curve,0.210000,0.18963962
mechanical_curve,0.212000,0.19373856
mechanical_curve,0.214000,0.19789870
mechanical_curve,0.216000,0.20212020
mechanical_curve,0.218000,0.20640317
mechanical_curve,0.220000,0.21074774
mechanical_curve,0.222000,0.21515397
mechanical_curve,0.224000,0.21962192
mechanical_curve,0.226000,0.22415163
mechanical_curve,0.228000,0.22874311
mechanical_curve,0.230000,0.23339633
mechanical_curve,0.232000,0.23811124
mechanical_curve,0.234000,0.24288779
mechanical_curve,0.236000,0.24772587
mechanical_curve,0.238000,0.25262534
mechanical_curve,0.240000,0.25758606
mechanical_curve,0.242000,0.26260785
mechanical_curve,0.244000,0.26769048
mechanical_curve,0.246000,0.27283373
mechanical_curve,0.248000,0.27803730
mechanical_curve,0.250000,0.28330091
mechanical_curve,0.252000,0.28862421
mechanical_curve,0.254000,0.29400684
mechanical_curve,0.256000,0.29944840
mechanical_curve,0.258000,0.30494847
mechanical_curve,0.260000,0.31050658
mechanical_curve,0.262000,0.31612224
mechanical_curve,0.264000,0.32179492
mechanical_curve,0.266000,0.32752406
mechanical_curve,0.268000,0.33330906
mechanical_curve,0.270000,0.33914929
mechanical_curve,0.272000,0.34504410
mechanical_curve,0.274000,0.35099278
mechanical_curve,0.276000,0.35699461
mechanical_curve,0.278000,0.36304881
mechanical_curve,0.280000,0.36915459
mechanical_curve,0.282000,0.37531110
mechanical_curve,0.284000,0.38151748
mechanical_curve,0.286000,0.38777281
mechanical_curve,0.288000,0.39407617
mechanical_curve,0.290000,0.40042655
mechanical_curve,0.292000,0.40682297
mechanical_curve,0.294000,0.41326435
mechanical_curve,0.296000,0.41974962
mechanical_curve,0.298000,0.42627766
mechanical_curve,0.300000,0.43284731
mechanical_curve,0.302000,0.43945738
mechanical_curve,0.304000,0.44610665
mechanical_curve,0.306000,0.45279385
mechanical_curve,0.308000,0.45951768
mechanical_curve,0.310000,0.46627682
mechanical_curve,0.312000,0.47306990
mechanical_curve,0.314000,0.47989553
mechanical_curve,0.316000,0.48675226
mechanical_curve,0.318000,0.49363863
mechanical_curve,0.320000,0.50055313
mechanical_curve,0.322000,0.50749425
mechanical_curve,0.324000,0.51446041
mechanical_curve,0.326000,0.52145001
mechanical_curve,0.328000,0.52846142
mechanical_curve,0.330000,0.53549299
mechanical_curve,0.332000,0.54254302
mechanical_curve,0.334000,0.54960980
mechanical_curve,0.336000,0.55669156
mechanical_curve,0.338000,0.56378653
mechanical_curve,0.340000,0.57089291
mechanical_curve,0.342000,0.57800886
mechanical_curve,0.344000,0.58513250
mechanical_curve,0.346000,0.59226197
mechanical_curve,0.348000,0.59939533
mechanical_curve,0.350000,0.60653066
mechanical_curve,0.352000,0.61366598
mechanical_curve,0.354000,0.62079932
mechanical_curve,0.356000,0.62792866
mechanical_curve,0.358000,0.63505197
mechanical_curve,0.360000,0.64216720
mechanical_curve,0.362000,0.64927228
mechanical_curve,0.364000,0.65636512
mechanical_curve,0.366000,0.66344361
mechanical_curve,0.368000,0.67050563
mechanical_curve,0.370000,0.67754903
mechanical_curve,0.372000,0.68457167
mechanical_curve,0.374000,0.69157137
mechanical_curve,0.376000,0.69854595
mechanical_curve,0.378000,0.70549321
mechanical_curve,0.380000,0.71241096
mechanical_curve,0.382000,0.71929697
mechanical_curve,0.384000,0.72614904
mechanical_curve,0.386000,0.73296492
mechanical_curve,0.388000,0.73974238
mechanical_curve,0.390000,0.74647919
mechanical_curve,0.392000,0.75317309
mechanical_curve,0.394000,0.75982185
mechanical_curve,0.396000,0.76642322
mechanical_curve,0.398000,0.77297494
mechanical_curve,0.400000,0.77947478
mechanical_curve,0.402000,0.78592049
mechanical_curve,0.404000,0.79230983
mechanical_curve,0.406000,0.79864056
mechanical_curve,0.408000,0.80491047
mechanical_curve,0.410000,0.81111733
mechanical_curve,0.412000,0.81725893
mechanical_curve,0.414000,0.82333307
mechanical_curve,0.416000,0.82933755
mechanical_curve,0.418000,0.83527021
mechanical_curve,0.420000,0.84112888
mechanical_curve,0.422000,0.84691142
mechanical_curve,0.424000,0.85261569
mechanical_curve,0.426000,0.85823959
mechanical_curve,0.428000,0.86378102
mechanical_curve,0.430000,0.86923792
