s_over_L,lower_level_activity,higher_level_activity
0.030000,0.00000057,0.02365154
0.045161,0.00000126,0.02910225
0.060323,0.00000272,0.03559075
0.075484,0.00000572,0.04326668
0.090645,0.00001177,0.05228216
0.105806,0.00002365,0.06279511
0.120968,0.00004650,0.07497408
0.136129,0.00008924,0.08897233
0.151290,0.00016760,0.10495729
0.166452,0.00030740,0.12306696
0.181613,0.00055110,0.14343660
0.196774,0.00096583,0.16617689
0.211935,0.00165327,0.19136171
0.227097,0.00276817,0.21905064
0.242258,0.00452689,0.24923411
0.257419,0.00723787,0.28188048
0.272581,0.01130835,0.31688856
0.287742,0.01726549,0.35410622
0.302903,0.02576983,0.39332482
0.318065,0.03757825,0.43426210
0.333226,0.05357475,0.47658831
0.348387,0.07463223,0.51990008
0.363548,0.10161608,0.56374648
0.378710,0.13522074,0.60762339
0.393871,0.17584542,0.65098896
0.409032,0.22351423,0.69326127
0.424194,0.27764237,0.73385599
0.439355,0.33707399,0.77216151
0.454516,0.39994223,0.80759679
0.469677,0.46378011,0.83959282
0.484839,0.52560845,0.86761444
0.500000,0.58219705,0.89120771
0.515161,0.63021661,0.90993008
0.530323,0.66676541,0.92348877
0.545484,0.68942049,0.93161963
0.560645,0.69648793,0.93410992
0.575806,0.65096612,0.91657811
0.590968,0.53688761,0.86837432
0.606129,0.39090362,0.79448573
0.621290,0.25121943,0.70183362
0.636452,0.14248965,0.59869124
0.651613,0.07133434,0.49313938
0.666774,0.03153487,0.39223408
0.681935,0.01228437,0.30122644
0.697097,0.00423624,0.22341071
0.712258,0.00128551,0.15997358
0.727419,0.00034523,0.11062648
0.742581,0.00008173,0.07386604
0.757742,0.00001705,0.04761897
0.772903,0.00000315,0.02965206
0.788065,0.00000051,0.01781875
0.803226,0.00000007,0.01034782
0.818387,0.00000001,0.00579913
0.833548,0.00000000,0.00313896
0.848710,0.00000000,0.00164081
0.863871,0.00000000,0.00082758
0.879032,0.00000000,0.00040358
0.894194,0.00000000,0.00018977
0.909355,0.00000000,0.00008628
0.924516,0.00000000,0.00003785
0.939677,0.00000000,0.00001603
0.954839,0.00000000,0.00000656
0.970000,0.00000000,0.00000259
