level_relative_dB,detection_probability
-15.00,0.00669285
-14.90,0.00691814
-14.80,0.00715095
-14.70,0.00739154
-14.60,0.00764016
-14.50,0.00789708
-14.40,0.00816257
-14.30,0.00843691
-14.20,0.00872038
-14.10,0.00901330
-14.00,0.00931596
-13.90,0.00962868
-13.80,0.00995180
-13.70,0.01028565
-13.60,0.01063058
-13.50,0.01098694
-13.40,0.01135512
-13.30,0.01173548
-13.20,0.01212843
-13.10,0.01253438
-13.00,0.01295373
-12.90,0.01338692
-12.80,0.01383439
-12.70,0.01429661
-12.60,0.01477403
-12.50,0.01526715
-12.40,0.01577647
-12.30,0.01630250
-12.20,0.01684577
-12.10,0.01740682
-12.00,0.01798621
-11.90,0.01858452
-11.80,0.01920235
-11.70,0.01984031
-11.60,0.02049901
-11.50,0.02117911
-11.40,0.02188127
-11.30,0.02260617
-11.20,0.02335452
-11.10,0.02412702
-11.00,0.02492443
-10.90,0.02574749
-10.80,0.02659699
-10.70,0.02747373
-10.60,0.02837853
-10.50,0.02931223
-10.40,0.03027569
-10.30,0.03126980
-10.20,0.03229546
-10.10,0.03335361
-10.00,0.03444520
-9.90,0.03557119
-9.80,0.03673259
-9.70,0.03793042
-9.60,0.03916572
-9.50,0.04043956
-9.40,0.04175304
-9.30,0.04310725
-9.20,0.04450336
-9.10,0.04594250
-9.00,0.04742587
-8.90,0.04895468
-8.80,0.05053016
-8.70,0.05215356
-8.60,0.05382616
-8.50,0.05554926
-8.40,0.05732418
-8.30,0.05915225
-8.20,0.06103485
-8.10,0.06297336
-8.00,0.06496917
-7.90,0.06702371
-7.80,0.06913842
-7.70,0.07131475
-7.60,0.07355418
-7.50,0.07585818
-7.40,0.07822826
-7.30,0.08066592
-7.20,0.08317270
-7.10,0.08575010
-7.00,0.08839968
-6.90,0.09112296
-6.80,0.09392150
-6.70,0.09679683
-6.60,0.09975049
-6.50,0.10278402
-6.40,0.10589896
-6.30,0.10909682
-6.20,0.11237911
-6.10,0.11574732
-6.00,0.11920292
-5.90,0.12274737
-5.80,0.12638209
-5.70,0.13010847
-5.60,0.13392789
-5.50,0.13784166
-5.40,0.14185106
-5.30,0.14595735
-5.20,0.15016171
-5.10,0.15446527
-5.00,0.15886910
-4.90,0.16337424
-4.80,0.16798161
-4.70,0.17269210
-4.60,0.17750650
-4.50,0.18242552
-4.40,0.18744979
-4.30,0.19257984
-4.20,0.19781611
-4.10,0.20315893
-4.00,0.20860853
-3.90,0.21416502
-3.80,0.21982840
-3.70,0.22559855
-3.60,0.23147522
-3.50,0.23745803
-3.40,0.24354647
-3.30,0.24973989
-3.20,0.25603751
-3.10,0.26243838
-3.00,0.26894142
-2.90,0.27554540
-2.80,0.28224894
-2.70,0.28905050
-2.60,0.29594837
-2.50,0.30294072
-2.40,0.31002552
-2.30,0.31720061
-2.20,0.32446368
-2.10,0.33181223
-2.00,0.33924363
-1.90,0.34675510
-1.80,0.35434369
-1.70,0.36200633
-1.60,0.36973978
-1.50,0.37754067
-1.40,0.38540550
-1.30,0.39333064
-1.20,0.40131234
-1.10,0.40934672
-1.00,0.41742979
-0.90,0.42555748
-0.80,0.43372561
-0.70,0.44192989
-0.60,0.45016600
-0.50,0.45842952
-0.40,0.46671596
-0.30,0.47502081
-0.20,0.48333950
-0.10,0.49166744
0.00,0.50000000
0.10,0.50833256
0.20,0.51666050
0.30,0.52497919
0.40,0.53328404
0.50,0.54157048
0.60,0.54983400
0.70,0.55807011
0.80,0.56627439
0.90,0.57444252
1.00,0.58257021
1.10,0.59065328
1.20,0.59868766
1.30,0.60666936
1.40,0.61459450
1.50,0.62245933
1.60,0.63026022
1.70,0.63799367
1.80,0.64565631
1.90,0.65324490
2.00,0.66075637
2.10,0.66818777
2.20,0.67553632
2.30,0.68279939
2.40,0.68997448
2.50,0.69705928
2.60,0.70405163
2.70,0.71094950
2.80,0.71775106
2.90,0.72445460
3.00,0.73105858
3.10,0.73756162
3.20,0.74396249
3.30,0.75026011
3.40,0.75645353
3.50,0.76254197
3.60,0.76852478
3.70,0.77440145
3.80,0.78017160
3.90,0.78583498
4.00,0.79139147
4.10,0.79684107
4.20,0.80218389
4.30,0.80742016
4.40,0.81255021
4.50,0.81757448
4.60,0.82249350
4.70,0.82730790
4.80,0.83201839
4.90,0.83662576
5.00,0.84113090
