frequency_Hz,threshold_shape_normalized
20.0000,1.66208475
20.3245,1.65518699
20.6542,1.64829922
20.9894,1.64142146
21.3299,1.63455374
21.6760,1.62769606
22.0277,1.62084845
22.3850,1.61401093
22.7482,1.60718350
23.1173,1.60036620
23.4924,1.59355904
23.8735,1.58676204
24.2609,1.57997521
24.6545,1.57319858
25.0545,1.56643217
25.4610,1.55967598
25.8741,1.55293005
26.2939,1.54619439
26.7205,1.53946902
27.1540,1.53275396
27.5946,1.52604923
28.0423,1.51935485
28.4973,1.51267083
28.9596,1.50599720
29.4295,1.49933398
29.9070,1.49268119
30.3922,1.48603885
30.8853,1.47940697
31.3864,1.47278558
31.8956,1.46617470
32.4131,1.45957435
32.9390,1.45298454
33.4734,1.44640531
34.0165,1.43983667
34.5684,1.43327864
35.1293,1.42673124
35.6993,1.42019449
36.2785,1.41366843
36.8671,1.40715305
37.4652,1.40064840
38.0731,1.39415448
38.6908,1.38767133
39.3185,1.38119896
39.9565,1.37473739
40.6047,1.36828665
41.2635,1.36184676
41.9330,1.35541774
42.6134,1.34899962
43.3048,1.34259242
44.0074,1.33619615
44.7214,1.32981085
45.4469,1.32343653
46.1843,1.31707322
46.9336,1.31072095
47.6951,1.30437973
48.4689,1.29804959
49.2553,1.29173055
50.0545,1.28542264
50.8666,1.27912588
51.6919,1.27284030
52.5306,1.26656592
53.3828,1.26030276
54.2490,1.25405085
55.1291,1.24781021
56.0236,1.24158087
56.9325,1.23536285
57.8562,1.22915619
58.7949,1.22296090
59.7489,1.21677701
60.7183,1.21060454
61.7034,1.20444352
62.7045,1.19829399
63.7219,1.19215596
64.7557,1.18602945
65.8063,1.17991451
66.8740,1.17381114
67.9590,1.16771939
69.0616,1.16163928
70.1821,1.15557083
71.3208,1.14951407
72.4780,1.14346904
73.6539,1.13743575
74.8489,1.13141424
76.0633,1.12540453
77.2974,1.11940665
78.5515,1.11342064
79.8260,1.10744651
81.1211,1.10148431
82.4373,1.09553405
83.7748,1.08959577
85.1340,1.08366950
86.5153,1.07775526
87.9189,1.07185309
89.3454,1.06596302
90.7950,1.06008508
92.2681,1.05421929
93.7651,1.04836570
95.2864,1.04252432
96.8324,1.03669519
98.4034,1.03087835
100.0000,1.02507383
101.6225,1.01928165
103.2712,1.01350185
104.9468,1.00773446
106.6495,1.00197951
108.3798,0.99623705
110.1383,0.99050709
111.9252,0.98478968
113.7411,0.97908485
115.5865,0.97339262
117.4619,0.96771305
119.3677,0.96204615
121.3044,0.95639197
123.2725,0.95075054
125.2725,0.94512190
127.3050,0.93950608
129.3705,0.93390311
131.4695,0.92831304
133.6025,0.92273590
135.7702,0.91717172
137.9730,0.91162055
140.2115,0.90608242
142.4864,0.90055737
144.7982,0.89504543
147.1475,0.88954665
149.5349,0.88406106
151.9610,0.87858871
154.4265,0.87312962
156.9320,0.86768385
159.4782,0.86225143
162.0657,0.85683240
164.6951,0.85142680
167.3672,0.84603467
170.0827,0.84065606
172.8422,0.83529100
175.6465,0.82993954
178.4963,0.82460172
181.3923,0.81927759
184.3353,0.81396717
187.3261,0.80867053
190.3654,0.80338770
193.4540,0.79811873
196.5927,0.79286366
199.7823,0.78762254
203.0237,0.78239541
206.3177,0.77718232
209.6651,0.77198331
213.0669,0.76679844
216.5238,0.76162774
220.0368,0.75647127
223.6068,0.75132908
227.2347,0.74620121
230.9215,0.74108771
234.6681,0.73598864
238.4755,0.73090403
242.3447,0.72583395
246.2766,0.72077844
250.2724,0.71573756
254.3329,0.71071136
258.4594,0.70569988
262.6528,0.70070319
266.9142,0.69572133
271.2448,0.69075437
275.6456,0.68580235
280.1179,0.68086533
284.6627,0.67594337
289.2812,0.67103652
293.9747,0.66614484
298.7443,0.66126839
303.5913,0.65640722
308.5169,0.65156141
313.5225,0.64673099
318.6093,0.64191604
323.7786,0.63711662
329.0317,0.63233279
334.3702,0.62756460
339.7952,0.62281213
345.3082,0.61807544
350.9107,0.61335459
356.6041,0.60864964
362.3898,0.60396067
368.2695,0.59928773
374.2445,0.59463091
380.3164,0.58999026
386.4869,0.58536585
392.7575,0.58075776
399.1298,0.57616605
405.6056,0.57159081
412.1863,0.56703209
418.8739,0.56248997
425.6700,0.55796454
432.5763,0.55345585
439.5947,0.54896400
446.7269,0.54448906
453.9749,0.54003110
461.3404,0.53559020
468.8255,0.53116646
476.4320,0.52675994
484.1619,0.52237073
492.0172,0.51799891
500.0000,0.51364457
508.1123,0.50930780
516.3562,0.50498868
524.7339,0.50068731
533.2475,0.49640376
541.8992,0.49213814
550.6913,0.48789053
559.6260,0.48366103
568.7057,0.47944973
577.9327,0.47525674
587.3095,0.47108214
596.8383,0.46692604
606.5218,0.46278855
616.3624,0.45866975
626.3626,0.45456976
636.5251,0.45048869
646.8524,0.44642663
657.3473,0.44238371
668.0125,0.43836002
678.8508,0.43435570
689.8648,0.43037084
701.0576,0.42640556
712.4320,0.42246000
723.9909,0.41853426
735.7374,0.41462847
747.6744,0.41074275
759.8051,0.40687724
772.1326,0.40303206
784.6602,0.39920734
797.3910,0.39540322
810.3283,0.39161984
823.4755,0.38785734
836.8361,0.38411586
850.4134,0.38039554
864.2110,0.37669653
878.2325,0.37301899
892.4815,0.36936307
906.9616,0.36572892
921.6767,0.36211671
936.6305,0.35852660
951.8270,0.35495876
967.2700,0.35141335
982.9635,0.34789057
998.9117,0.34439058
1015.1186,0.34091356
1031.5885,0.33745972
1048.3256,0.33402923
1065.3343,0.33062229
1082.6189,0.32723911
1100.1840,0.32387990
1118.0340,0.32054486
1136.1736,0.31723422
1154.6076,0.31394819
1173.3406,0.31068701
1192.3776,0.30745092
1211.7234,0.30424016
1231.3832,0.30105497
1251.3618,0.29789563
1271.6647,0.29476239
1292.2969,0.29165554
1313.2639,0.28857535
1334.5711,0.28552213
1356.2239,0.28249618
1378.2281,0.27949783
1400.5893,0.27652739
1423.3133,0.27358523
1446.4060,0.27067169
1469.8733,0.26778715
1493.7214,0.26493201
1517.9564,0.26210668
1542.5847,0.25931158
1567.6125,0.25654718
1593.0463,0.25381395
1618.8929,0.25111240
1645.1587,0.24844305
1671.8508,0.24580647
1698.9759,0.24320327
1726.5410,0.24063407
1754.5535,0.23809955
1783.0204,0.23560043
1811.9492,0.23313748
1841.3473,0.23071152
1871.2224,0.22832342
1901.5822,0.22597415
1932.4346,0.22366469
1963.7876,0.22139614
1995.6492,0.21916967
2028.0278,0.21698653
2060.9317,0.21484808
2094.3695,0.21275578
2128.3498,0.21071121
2162.8814,0.20871608
2197.9733,0.20677223
2233.6345,0.20488166
2269.8743,0.20304656
2306.7021,0.20126926
2344.1274,0.19955235
2382.1599,0.19789863
2420.8095,0.19631116
2460.0861,0.19479332
2500.0000,0.19334882
2540.5615,0.19198179
2581.7810,0.19069686
2623.6694,0.18949923
2666.2374,0.18839490
2709.4960,0.18739081
2753.4564,0.18649529
2798.1301,0.18571856
2843.5287,0.18507389
2889.6637,0.18457979
2936.5474,0.18426564
2984.1916,0.18419454
3032.6089,0.18456174
3081.8118,0.18505505
3131.8129,0.18560588
3182.6253,0.18621605
3234.2621,0.18688728
3286.7367,0.18762126
3340.0626,0.18841955
3394.2538,0.18928359
3449.3242,0.19021470
3505.2880,0.19121401
3562.1599,0.19228246
3619.9545,0.19342079
3678.6868,0.19462949
3738.3720,0.19590880
3799.0255,0.19725865
3860.6631,0.19867869
3923.3008,0.20016823
3986.9548,0.20172624
4051.6415,0.20335131
4117.3777,0.20504167
4184.1805,0.20679516
4252.0671,0.20860921
4321.0552,0.21048086
4391.1625,0.21240673
4462.4073,0.21438307
4534.8081,0.21640569
4608.3835,0.21847004
4683.1526,0.22057120
4759.1348,0.22270389
4836.3499,0.22486250
4914.8177,0.22704114
4994.5586,0.22923363
5075.5932,0.23143357
5157.9427,0.23363437
5241.6282,0.23582929
5326.6715,0.23801148
5413.0945,0.24017406
5500.9198,0.24231014
5590.1699,0.24441288
5680.8682,0.24647555
5773.0379,0.24849159
5866.7031,0.25045465
5961.8880,0.25235867
6058.6172,0.25419790
6156.9158,0.25596696
6256.8092,0.25766092
6358.3234,0.25927529
6461.4846,0.26080612
6566.3195,0.26224998
6672.8554,0.26360404
6781.1197,0.26486607
6891.1406,0.26603446
7002.9465,0.26710825
7116.5665,0.26808714
7232.0299,0.26897146
7349.3666,0.26976221
7468.6071,0.27046103
7589.7822,0.27107018
7712.9233,0.27159253
7838.0623,0.27203153
7965.2317,0.27239117
8094.4643,0.27267595
8225.7937,0.27289084
8359.2538,0.27304122
8494.8793,0.27313287
8632.7052,0.27317187
8772.7673,0.27316458
8915.1019,0.27311757
9059.7458,0.27303757
9206.7365,0.27293143
9356.1120,0.27280604
9507.9111,0.27266829
9662.1731,0.27252501
9818.9379,0.27238293
9978.2461,0.27224864
10140.1391,0.27212854
10304.6587,0.27202877
10471.8476,0.27195523
10641.7490,0.27191351
10814.4071,0.27190886
10989.8664,0.27194619
11168.1725,0.27203003
11349.3715,0.27216454
11533.5104,0.27235346
11720.6369,0.27260015
11910.7995,0.27290754
12104.0473,0.27327818
12300.4305,0.27371421
12500.0000,0.27421739
