frequency_Hz,conceptual_difference_normalized
100.0000,-0.03264127
101.2041,-0.03393853
102.4226,-0.03521287
103.6559,-0.03646343
104.9039,-0.03768936
106.1671,-0.03888984
107.4454,-0.04006404
108.7391,-0.04121119
110.0484,-0.04233050
111.3734,-0.04342122
112.7144,-0.04448261
114.0716,-0.04551396
115.4451,-0.04651456
116.8351,-0.04748375
118.2419,-0.04842086
119.6656,-0.04932527
121.1064,-0.05019637
122.5646,-0.05103356
124.0404,-0.05183628
125.5339,-0.05260399
127.0454,-0.05333616
128.5751,-0.05403232
130.1233,-0.05469198
131.6900,-0.05531469
133.2757,-0.05590005
134.8804,-0.05644765
136.5044,-0.05695712
138.1480,-0.05742812
139.8114,-0.05786033
141.4949,-0.05825346
143.1985,-0.05860724
144.9227,-0.05892144
146.6677,-0.05919583
148.4337,-0.05943025
150.2209,-0.05962452
152.0297,-0.05977852
153.8602,-0.05989213
155.7128,-0.05996530
157.5877,-0.05999796
159.4851,-0.05999008
161.4054,-0.05994169
163.3488,-0.05985281
165.3157,-0.05972349
167.3062,-0.05955383
169.3207,-0.05934393
171.3594,-0.05909395
173.4227,-0.05880404
175.5108,-0.05847440
177.6240,-0.05810526
179.7627,-0.05769685
181.9272,-0.05724946
184.1177,-0.05676338
186.3346,-0.05623894
188.5782,-0.05567649
190.8488,-0.05507640
193.1468,-0.05443908
195.4724,-0.05376495
197.8260,-0.05305447
200.2079,-0.05230810
202.6186,-0.05152634
205.0582,-0.05070972
207.5273,-0.04985878
210.0260,-0.04897408
212.5549,-0.04805620
215.1142,-0.04710577
217.7043,-0.04612340
220.3256,-0.04510974
222.9784,-0.04406546
225.6632,-0.04299124
228.3804,-0.04188780
231.1302,-0.04075585
233.9132,-0.03959612
236.7296,-0.03840937
239.5800,-0.03719637
242.4647,-0.03595790
245.3841,-0.03469475
248.3387,-0.03340773
251.3289,-0.03209765
254.3550,-0.03076535
257.4176,-0.02941165
260.5171,-0.02803741
263.6539,-0.02664346
266.8285,-0.02523067
270.0412,-0.02379990
273.2927,-0.02235199
276.5833,-0.02088782
279.9136,-0.01940824
283.2839,-0.01791411
286.6948,-0.01640628
290.1468,-0.01488561
293.6404,-0.01335292
297.1760,-0.01180906
300.7542,-0.01025483
304.3755,-0.00869104
308.0403,-0.00711849
311.7493,-0.00553793
315.5030,-0.00395012
319.3019,-0.00235579
323.1465,-0.00075563
327.0374,0.00084969
330.9751,0.00245953
334.9602,0.00407327
338.9934,0.00569036
343.0751,0.00731026
347.2059,0.00893249
351.3865,0.01055661
355.6174,0.01218223
359.8993,0.01380901
364.2327,0.01543668
368.6183,0.01706501
373.0567,0.01869385
377.5485,0.02032311
382.0945,0.02195278
386.6951,0.02358290
391.3512,0.02521361
396.0633,0.02684513
400.8322,0.02847776
405.6584,0.03011189
410.5428,0.03174799
415.4860,0.03338666
420.4887,0.03502856
425.5517,0.03667447
430.6756,0.03832528
435.8612,0.03998199
441.1093,0.04164569
446.4205,0.04331759
451.7957,0.04499905
457.2356,0.04669149
462.7410,0.04839649
468.3127,0.05011574
473.9515,0.05185105
479.6582,0.05360434
485.4336,0.05537767
491.2785,0.05717320
497.1938,0.05899323
503.1803,0.06084016
509.2390,0.06271652
515.3705,0.06462493
521.5759,0.06656813
527.8560,0.06854898
534.2118,0.07057041
540.6440,0.07263547
547.1537,0.07474727
553.7418,0.07690901
560.4092,0.07912396
567.1569,0.08139545
573.9858,0.08372687
580.8970,0.08612163
587.8913,0.08858318
594.9699,0.09111499
602.1337,0.09372052
609.3838,0.09640323
616.7212,0.09916653
624.1469,0.10201381
631.6620,0.10494839
639.2677,0.10797351
646.9649,0.11109231
654.7547,0.11430782
662.6384,0.11762294
670.6170,0.12104040
678.6916,0.12456276
686.8635,0.12819240
695.1338,0.13193147
703.5037,0.13578187
711.9743,0.13974525
720.5469,0.14382299
729.2228,0.14801616
738.0031,0.15232550
746.8891,0.15675142
755.8821,0.16129394
764.9834,0.16595274
774.1943,0.17072706
783.5161,0.17561574
792.9502,0.18061717
802.4978,0.18572932
812.1604,0.19094965
821.9393,0.19627518
831.8360,0.20170241
841.8518,0.20722737
851.9883,0.21284557
862.2467,0.21855199
872.6287,0.22434113
883.1358,0.23020694
893.7693,0.23614287
904.5308,0.24214184
915.4220,0.24819629
926.4442,0.25429813
937.5992,0.26043879
948.8885,0.26660922
960.3137,0.27279991
971.8765,0.27900091
983.5785,0.28520183
995.4215,0.29139189
1007.4070,0.29755994
1019.5368,0.30369447
1031.8127,0.30978365
1044.2364,0.31581538
1056.8096,0.32177731
1069.5343,0.32765686
1082.4122,0.33344130
1095.4451,0.33911773
1108.6350,0.34467320
1121.9837,0.35009469
1135.4931,0.35536918
1149.1651,0.36048369
1163.0018,0.36542534
1177.0051,0.37018138
1191.1770,0.37473923
1205.5195,0.37908658
1220.0348,0.38321137
1234.7248,0.38710187
1249.5916,0.39074673
1264.6375,0.39413502
1279.8646,0.39725627
1295.2750,0.40010051
1310.8709,0.40265833
1326.6546,0.40492091
1342.6284,0.40688003
1358.7945,0.40852815
1375.1553,0.40985843
1391.7130,0.41086472
1408.4701,0.41154163
1425.4290,0.41188456
1442.5921,0.41188966
1459.9618,0.41155392
1477.5407,0.41087513
1495.3312,0.40985190
1513.3360,0.40848369
1531.5575,0.40677077
1549.9984,0.40471425
1568.6614,0.40231606
1587.5491,0.39957892
1606.6642,0.39650637
1626.0095,0.39310270
1645.5877,0.38937296
1665.4016,0.38532292
1685.4541,0.38095904
1705.7481,0.37628843
1726.2864,0.37131883
1747.0720,0.36605855
1768.1078,0.36051643
1789.3970,0.35470180
1810.9425,0.34862442
1832.7474,0.34229444
1854.8148,0.33572235
1877.1480,0.32891890
1899.7501,0.32189506
1922.6243,0.31466200
1945.7739,0.30723096
1969.2023,0.29961325
1992.9127,0.29182018
