loudness_level_phon,loudness_sone
40.00,1.00000000
40.25,1.01747969
40.50,1.03526492
40.75,1.05336104
41.00,1.07177346
41.25,1.09050773
41.50,1.10956947
41.75,1.12896440
42.00,1.14869835
42.25,1.16877725
42.50,1.18920712
42.75,1.20999409
43.00,1.23114441
43.25,1.25266444
43.50,1.27456063
43.75,1.29683955
44.00,1.31950791
44.25,1.34257250
44.50,1.36604026
44.75,1.38991822
45.00,1.41421356
45.25,1.43893358
45.50,1.46408570
45.75,1.48967746
46.00,1.51571657
46.25,1.54221083
46.50,1.56916820
46.75,1.59659677
47.00,1.62450479
47.25,1.65290064
47.50,1.68179283
47.75,1.71119005
48.00,1.74110113
48.25,1.77153504
48.50,1.80250093
48.75,1.83400809
49.00,1.86606598
49.25,1.89868424
49.50,1.93187266
49.75,1.96564120
50.00,2.00000000
50.25,2.03495938
50.50,2.07052985
50.75,2.10672207
51.00,2.14354693
51.25,2.18101547
51.50,2.21913894
51.75,2.25792881
52.00,2.29739671
52.25,2.33755450
52.50,2.37841423
52.75,2.41998818
53.00,2.46228883
53.25,2.50532888
53.50,2.54912125
53.75,2.59367911
54.00,2.63901582
54.25,2.68514501
54.50,2.73208051
54.75,2.77983644
55.00,2.82842712
55.25,2.87786716
55.50,2.92817139
55.75,2.97935493
56.00,3.03143313
56.25,3.08442165
56.50,3.13833639
56.75,3.19319355
57.00,3.24900959
57.25,3.30580127
57.50,3.36358566
57.75,3.42238010
58.00,3.48220225
58.25,3.54307008
58.50,3.60500185
58.75,3.66801617
59.00,3.73213197
59.25,3.79736848
59.50,3.86374532
59.75,3.93128239
60.00,4.00000000
60.25,4.06991877
60.50,4.14105970
60.75,4.21344414
61.00,4.28709385
61.25,4.36203093
61.50,4.43827789
61.75,4.51585762
62.00,4.59479342
62.25,4.67510899
62.50,4.75682846
62.75,4.83997636
63.00,4.92457765
63.25,5.01065775
63.50,5.09824251
63.75,5.18735822
64.00,5.27803164
64.25,5.37029001
64.50,5.46416103
64.75,5.55967288
65.00,5.65685425
65.25,5.75573432
65.50,5.85634278
65.75,5.95870985
66.00,6.06286627
66.25,6.16884330
66.50,6.27667278
66.75,6.38638709
67.00,6.49801917
67.25,6.61160255
67.50,6.72717132
67.75,6.84476021
68.00,6.96440451
68.25,7.08614015
68.50,7.21000370
68.75,7.33603235
69.00,7.46426393
69.25,7.59473697
69.50,7.72749063
69.75,7.86256479
70.00,8.00000000
70.25,8.13983754
70.50,8.28211939
70.75,8.42688829
71.00,8.57418770
71.25,8.72406186
71.50,8.87655578
71.75,9.03171524
72.00,9.18958684
72.25,9.35021799
72.50,9.51365692
72.75,9.67995271
73.00,9.84915531
73.25,10.02131551
73.50,10.19648502
73.75,10.37471644
74.00,10.55606329
74.25,10.74058002
74.50,10.92832205
74.75,11.11934576
75.00,11.31370850
75.25,11.51146864
75.50,11.71268557
75.75,11.91741970
76.00,12.12573253
76.25,12.33768660
76.50,12.55334557
76.75,12.77277418
77.00,12.99603834
77.25,13.22320509
77.50,13.45434264
77.75,13.68952041
78.00,13.92880901
78.25,14.17228031
78.50,14.42000740
78.75,14.67206469
79.00,14.92852786
79.25,15.18947394
79.50,15.45498126
79.75,15.72512958
80.00,16.00000000
