octaves_relative_to_masker,threshold_elevation_dB
-2.0000,0.73774346
-1.9900,0.75127966
-1.9800,0.76506423
-1.9700,0.77910171
-1.9600,0.79339676
-1.9500,0.80795409
-1.9400,0.82277853
-1.9300,0.83787496
-1.9200,0.85324839
-1.9100,0.86890389
-1.9000,0.88484663
-1.8900,0.90108190
-1.8800,0.91761505
-1.8700,0.93445156
-1.8600,0.95159698
-1.8500,0.96905699
-1.8400,0.98683736
-1.8300,1.00494396
-1.8200,1.02338279
-1.8100,1.04215993
-1.8000,1.06128160
-1.7900,1.08075412
-1.7800,1.10058392
-1.7700,1.12077756
-1.7600,1.14134171
-1.7500,1.16228318
-1.7400,1.18360888
-1.7300,1.20532587
-1.7200,1.22744133
-1.7100,1.24996256
-1.7000,1.27289702
-1.6900,1.29625228
-1.6800,1.32003606
-1.6700,1.34425623
-1.6600,1.36892080
-1.6500,1.39403791
-1.6400,1.41961588
-1.6300,1.44566315
-1.6200,1.47218835
-1.6100,1.49920023
-1.6000,1.52670772
-1.5900,1.55471993
-1.5800,1.58324611
-1.5700,1.61229569
-1.5600,1.64187827
-1.5500,1.67200364
-1.5400,1.70268175
-1.5300,1.73392275
-1.5200,1.76573696
-1.5100,1.79813491
-1.5000,1.83112729
-1.4900,1.86472502
-1.4800,1.89893921
-1.4700,1.93378116
-1.4600,1.96926240
-1.4500,2.00539465
-1.4400,2.04218986
-1.4300,2.07966019
-1.4200,2.11781803
-1.4100,2.15667600
-1.4000,2.19624693
-1.3900,2.23654392
-1.3800,2.27758029
-1.3700,2.31936959
-1.3600,2.36192564
-1.3500,2.40526253
-1.3400,2.44939456
-1.3300,2.49433633
-1.3200,2.54010269
-1.3100,2.58670879
-1.3000,2.63417001
-1.2900,2.68250206
-1.2800,2.73172092
-1.2700,2.78184284
-1.2600,2.83288441
-1.2500,2.88486250
-1.2400,2.93779428
-1.2300,2.99169727
-1.2200,3.04658927
-1.2100,3.10248843
-1.2000,3.15941324
-1.1900,3.21738252
-1.1800,3.27641542
-1.1700,3.33653146
-1.1600,3.39775052
-1.1500,3.46009283
-1.1400,3.52357901
-1.1300,3.58823004
-1.1200,3.65406729
-1.1100,3.72111253
-1.1000,3.78938793
-1.0900,3.85891605
-1.0800,3.92971988
-1.0700,4.00182283
-1.0600,4.07524873
-1.0500,4.15002186
-1.0400,4.22616693
-1.0300,4.30370912
-1.0200,4.38267407
-1.0100,4.46308787
-1.0000,4.54497711
-0.9900,4.62836887
-0.9800,4.71329071
-0.9700,4.79977070
-0.9600,4.88783744
-0.9500,4.97752004
-0.9400,5.06884814
-0.9300,5.16185195
-0.9200,5.25656219
-0.9100,5.35301019
-0.9000,5.45122783
-0.8900,5.55124758
-0.8800,5.65310250
-0.8700,5.75682627
-0.8600,5.86245318
-0.8500,5.97001813
-0.8400,6.07955670
-0.8300,6.19110510
-0.8200,6.30470020
-0.8100,6.42037956
-0.8000,6.53818141
-0.7900,6.65814471
-0.7800,6.78030911
-0.7700,6.90471499
-0.7600,7.03140349
-0.7500,7.16041648
-0.7400,7.29179661
-0.7300,7.42558733
-0.7200,7.56183285
-0.7100,7.70057822
-0.7000,7.84186930
-0.6900,7.98575281
-0.6800,8.13227631
-0.6700,8.28148825
-0.6600,8.43343793
-0.6500,8.58817561
-0.6400,8.74575244
