relative_frequency,normalized_response,equivalent_rectangle
-4.00000,0.00033546,0.0
-3.99500,0.00034224,0.0
-3.99000,0.00034914,0.0
-3.98500,0.00035617,0.0
-3.98000,0.00036333,0.0
-3.97500,0.00037063,0.0
-3.97000,0.00037806,0.0
-3.96500,0.00038564,0.0
-3.96000,0.00039335,0.0
-3.95500,0.00040122,0.0
-3.95000,0.00040922,0.0
-3.94500,0.00041738,0.0
-3.94000,0.00042569,0.0
-3.93500,0.00043415,0.0
-3.93000,0.00044277,0.0
-3.92500,0.00045156,0.0
-3.92000,0.00046050,0.0
-3.91500,0.00046961,0.0
-3.91000,0.00047889,0.0
-3.90500,0.00048833,0.0
-3.90000,0.00049796,0.0
-3.89500,0.00050775,0.0
-3.89000,0.00051773,0.0
-3.88500,0.00052790,0.0
-3.88000,0.00053824,0.0
-3.87500,0.00054878,0.0
-3.87000,0.00055951,0.0
-3.86500,0.00057043,0.0
-3.86000,0.00058156,0.0
-3.85500,0.00059288,0.0
-3.85000,0.00060441,0.0
-3.84500,0.00061615,0.0
-3.84000,0.00062811,0.0
-3.83500,0.00064028,0.0
-3.83000,0.00065266,0.0
-3.82500,0.00066527,0.0
-3.82000,0.00067811,0.0
-3.81500,0.00069118,0.0
-3.81000,0.00070448,0.0
-3.80500,0.00071802,0.0
-3.80000,0.00073180,0.0
-3.79500,0.00074583,0.0
-3.79000,0.00076011,0.0
-3.78500,0.00077464,0.0
-3.78000,0.00078943,0.0
-3.77500,0.00080448,0.0
-3.77000,0.00081980,0.0
-3.76500,0.00083539,0.0
-3.76000,0.00085125,0.0
-3.75500,0.00086740,0.0
-3.75000,0.00088383,0.0
-3.74500,0.00090054,0.0
-3.74000,0.00091755,0.0
-3.73500,0.00093486,0.0
-3.73000,0.00095247,0.0
-3.72500,0.00097039,0.0
-3.72000,0.00098862,0.0
-3.71500,0.00100717,0.0
-3.71000,0.00102604,0.0
-3.70500,0.00104524,0.0
-3.70000,0.00106477,0.0
-3.69500,0.00108463,0.0
-3.69000,0.00110485,0.0
-3.68500,0.00112540,0.0
-3.68000,0.00114632,0.0
-3.67500,0.00116759,0.0
-3.67000,0.00118923,0.0
-3.66500,0.00121124,0.0
-3.66000,0.00123362,0.0
-3.65500,0.00125639,0.0
-3.65000,0.00127955,0.0
-3.64500,0.00130310,0.0
-3.64000,0.00132705,0.0
-3.63500,0.00135140,0.0
-3.63000,0.00137617,0.0
-3.62500,0.00140136,0.0
-3.62000,0.00142697,0.0
-3.61500,0.00145302,0.0
-3.61000,0.00147950,0.0
