time_s,ideal_level_dB,with_noise_floor_dB
0.00000,-0.00000000,-0.00000000
0.00250,-0.12500000,-0.12500000
0.00500,-0.25000000,-0.25000000
0.00750,-0.37500000,-0.37500000
0.01000,-0.50000000,-0.50000000
0.01250,-0.62500000,-0.62500000
0.01500,-0.75000000,-0.75000000
0.01750,-0.87500000,-0.87500000
0.02000,-1.00000000,-1.00000000
0.02250,-1.12500000,-1.12500000
0.02500,-1.25000000,-1.25000000
0.02750,-1.37500000,-1.37500000
0.03000,-1.50000000,-1.50000000
0.03250,-1.62500000,-1.62500000
0.03500,-1.75000000,-1.75000000
0.03750,-1.87500000,-1.87500000
0.04000,-2.00000000,-2.00000000
0.04250,-2.12500000,-2.12500000
0.04500,-2.25000000,-2.25000000
0.04750,-2.37500000,-2.37500000
0.05000,-2.50000000,-2.50000000
0.05250,-2.62500000,-2.62500000
0.05500,-2.75000000,-2.75000000
0.05750,-2.87500000,-2.87500000
0.06000,-3.00000000,-3.00000000
0.06250,-3.12500000,-3.12500000
0.06500,-3.25000000,-3.25000000
0.06750,-3.37500000,-3.37500000
0.07000,-3.50000000,-3.50000000
0.07250,-3.62500000,-3.62500000
0.07500,-3.75000000,-3.75000000
0.07750,-3.87500000,-3.87500000
0.08000,-4.00000000,-4.00000000
0.08250,-4.12500000,-4.12500000
0.08500,-4.25000000,-4.25000000
0.08750,-4.37500000,-4.37500000
0.09000,-4.50000000,-4.50000000
0.09250,-4.62500000,-4.62500000
0.09500,-4.75000000,-4.75000000
0.09750,-4.87500000,-4.87500000
0.10000,-5.00000000,-5.00000000
0.10250,-5.12500000,-5.12500000
0.10500,-5.25000000,-5.25000000
0.10750,-5.37500000,-5.37500000
0.11000,-5.50000000,-5.50000000
0.11250,-5.62500000,-5.62500000
0.11500,-5.75000000,-5.75000000
0.11750,-5.87500000,-5.87500000
0.12000,-6.00000000,-6.00000000
0.12250,-6.12500000,-6.12500000
0.12500,-6.25000000,-6.25000000
0.12750,-6.37500000,-6.37500000
0.13000,-6.50000000,-6.50000000
0.13250,-6.62500000,-6.62500000
0.13500,-6.75000000,-6.75000000
0.13750,-6.87500000,-6.87500000
0.14000,-7.00000000,-7.00000000
0.14250,-7.12500000,-7.12500000
0.14500,-7.25000000,-7.25000000
0.14750,-7.37500000,-7.37500000
0.15000,-7.50000000,-7.50000000
0.15250,-7.62500000,-7.62500000
0.15500,-7.75000000,-7.75000000
0.15750,-7.87500000,-7.87500000
0.16000,-8.00000000,-8.00000000
0.16250,-8.12500000,-8.12500000
0.16500,-8.25000000,-8.25000000
0.16750,-8.37500000,-8.37500000
0.17000,-8.50000000,-8.50000000
0.17250,-8.62500000,-8.62500000
0.17500,-8.75000000,-8.75000000
0.17750,-8.87500000,-8.87500000
0.18000,-9.00000000,-9.00000000
0.18250,-9.12500000,-9.12500000
0.18500,-9.25000000,-9.25000000
0.18750,-9.37500000,-9.37500000
0.19000,-9.50000000,-9.50000000
0.19250,-9.62500000,-9.62500000
0.19500,-9.75000000,-9.75000000
0.19750,-9.87500000,-9.87500000
0.20000,-10.00000000,-10.00000000
0.20250,-10.12500000,-10.12500000
0.20500,-10.25000000,-10.25000000
0.20750,-10.37500000,-10.37500000
0.21000,-10.50000000,-10.50000000
0.21250,-10.62500000,-10.62500000
0.21500,-10.75000000,-10.75000000
0.21750,-10.87500000,-10.87500000
0.22000,-11.00000000,-11.00000000
0.22250,-11.12500000,-11.12500000
0.22500,-11.25000000,-11.25000000
0.22750,-11.37500000,-11.37500000
0.23000,-11.50000000,-11.50000000
0.23250,-11.62500000,-11.62500000
0.23500,-11.75000000,-11.75000000
0.23750,-11.87500000,-11.87500000
0.24000,-12.00000000,-12.00000000
0.24250,-12.12500000,-12.12500000
0.24500,-12.25000000,-12.25000000
0.24750,-12.37500000,-12.37500000
0.25000,-12.50000000,-12.50000000
0.25250,-12.62500000,-12.62500000
0.25500,-12.75000000,-12.75000000
0.25750,-12.87500000,-12.87500000
0.26000,-13.00000000,-13.00000000
0.26250,-13.12500000,-13.12500000
0.26500,-13.25000000,-13.25000000
0.26750,-13.37500000,-13.37500000
0.27000,-13.50000000,-13.50000000
0.27250,-13.62500000,-13.62500000
0.27500,-13.75000000,-13.75000000
0.27750,-13.87500000,-13.87500000
0.28000,-14.00000000,-14.00000000
0.28250,-14.12500000,-14.12500000
0.28500,-14.25000000,-14.25000000
0.28750,-14.37500000,-14.37500000
0.29000,-14.50000000,-14.50000000
0.29250,-14.62500000,-14.62500000
0.29500,-14.75000000,-14.75000000
0.29750,-14.87500000,-14.87500000
0.30000,-15.00000000,-15.00000000
0.30250,-15.12500000,-15.12500000
0.30500,-15.25000000,-15.25000000
0.30750,-15.37500000,-15.37500000
0.31000,-15.50000000,-15.50000000
0.31250,-15.62500000,-15.62500000
0.31500,-15.75000000,-15.75000000
0.31750,-15.87500000,-15.87500000
0.32000,-16.00000000,-16.00000000
0.32250,-16.12500000,-16.12500000
0.32500,-16.25000000,-16.25000000
0.32750,-16.37500000,-16.37500000
0.33000,-16.50000000,-16.50000000
0.33250,-16.62500000,-16.62500000
0.33500,-16.75000000,-16.75000000
0.33750,-16.87500000,-16.87500000
0.34000,-17.00000000,-17.00000000
0.34250,-17.12500000,-17.12500000
0.34500,-17.25000000,-17.25000000
0.34750,-17.37500000,-17.37500000
0.35000,-17.50000000,-17.50000000
0.35250,-17.62500000,-17.62500000
0.35500,-17.75000000,-17.75000000
0.35750,-17.87500000,-17.87500000
0.36000,-18.00000000,-18.00000000
0.36250,-18.12500000,-18.12500000
0.36500,-18.25000000,-18.25000000
0.36750,-18.37500000,-18.37500000
0.37000,-18.50000000,-18.50000000
0.37250,-18.62500000,-18.62500000
0.37500,-18.75000000,-18.75000000
0.37750,-18.87500000,-18.87500000
0.38000,-19.00000000,-19.00000000
0.38250,-19.12500000,-19.12500000
0.38500,-19.25000000,-19.25000000
0.38750,-19.37500000,-19.37500000
0.39000,-19.50000000,-19.50000000
0.39250,-19.62500000,-19.62500000
0.39500,-19.75000000,-19.75000000
0.39750,-19.87500000,-19.87500000
0.40000,-20.00000000,-20.00000000
0.40250,-20.12500000,-20.12500000
0.40500,-20.25000000,-20.25000000
0.40750,-20.37500000,-20.37500000
0.41000,-20.50000000,-20.50000000
0.41250,-20.62500000,-20.62500000
0.41500,-20.75000000,-20.75000000
0.41750,-20.87500000,-20.87500000
0.42000,-21.00000000,-21.00000000
0.42250,-21.12500000,-21.12500000
0.42500,-21.25000000,-21.25000000
0.42750,-21.37500000,-21.37500000
0.43000,-21.50000000,-21.50000000
0.43250,-21.62500000,-21.62500000
0.43500,-21.75000000,-21.75000000
0.43750,-21.87500000,-21.87500000
0.44000,-22.00000000,-22.00000000
0.44250,-22.12500000,-22.12500000
0.44500,-22.25000000,-22.25000000
0.44750,-22.37500000,-22.37500000
0.45000,-22.50000000,-22.50000000
0.45250,-22.62500000,-22.62500000
0.45500,-22.75000000,-22.75000000
0.45750,-22.87500000,-22.87500000
0.46000,-23.00000000,-23.00000000
0.46250,-23.12500000,-23.12500000
0.46500,-23.25000000,-23.25000000
0.46750,-23.37500000,-23.37500000
0.47000,-23.50000000,-23.50000000
0.47250,-23.62500000,-23.62500000
0.47500,-23.75000000,-23.75000000
0.47750,-23.87500000,-23.87500000
0.48000,-24.00000000,-24.00000000
0.48250,-24.12500000,-24.12500000
0.48500,-24.25000000,-24.25000000
0.48750,-24.37500000,-24.37500000
0.49000,-24.50000000,-24.50000000
0.49250,-24.62500000,-24.62500000
0.49500,-24.75000000,-24.75000000
0.49750,-24.87500000,-24.87500000
0.50000,-25.00000000,-25.00000000
0.50250,-25.12500000,-25.12500000
0.50500,-25.25000000,-25.25000000
0.50750,-25.37500000,-25.37500000
0.51000,-25.50000000,-25.50000000
0.51250,-25.62500000,-25.62500000
0.51500,-25.75000000,-25.75000000
0.51750,-25.87500000,-25.87500000
0.52000,-26.00000000,-26.00000000
0.52250,-26.12500000,-26.12500000
0.52500,-26.25000000,-26.25000000
0.52750,-26.37500000,-26.37500000
0.53000,-26.50000000,-26.50000000
0.53250,-26.62500000,-26.62500000
0.53500,-26.75000000,-26.75000000
0.53750,-26.87500000,-26.87500000
0.54000,-27.00000000,-27.00000000
0.54250,-27.12500000,-27.12500000
0.54500,-27.25000000,-27.25000000
0.54750,-27.37500000,-27.37500000
0.55000,-27.50000000,-27.50000000
0.55250,-27.62500000,-27.62500000
0.55500,-27.75000000,-27.75000000
0.55750,-27.87500000,-27.87500000
0.56000,-28.00000000,-28.00000000
0.56250,-28.12500000,-28.12500000
0.56500,-28.25000000,-28.25000000
0.56750,-28.37500000,-28.37500000
0.57000,-28.50000000,-28.50000000
0.57250,-28.62500000,-28.62500000
0.57500,-28.75000000,-28.75000000
0.57750,-28.87500000,-28.87500000
0.58000,-29.00000000,-29.00000000
0.58250,-29.12500000,-29.12500000
0.58500,-29.25000000,-29.25000000
0.58750,-29.37500000,-29.37500000
0.59000,-29.50000000,-29.50000000
0.59250,-29.62500000,-29.62500000
0.59500,-29.75000000,-29.75000000
0.59750,-29.87500000,-29.87500000
0.60000,-30.00000000,-30.00000000
0.60250,-30.12500000,-30.12500000
0.60500,-30.25000000,-30.25000000
0.60750,-30.37500000,-30.37500000
0.61000,-30.50000000,-30.50000000
0.61250,-30.62500000,-30.62500000
0.61500,-30.75000000,-30.75000000
0.61750,-30.87500000,-30.87500000
0.62000,-31.00000000,-31.00000000
0.62250,-31.12500000,-31.12500000
0.62500,-31.25000000,-31.25000000
0.62750,-31.37500000,-31.37500000
0.63000,-31.50000000,-31.50000000
0.63250,-31.62500000,-31.62500000
0.63500,-31.75000000,-31.75000000
0.63750,-31.87500000,-31.87500000
0.64000,-32.00000000,-32.00000000
0.64250,-32.12500000,-32.12500000
0.64500,-32.25000000,-32.25000000
0.64750,-32.37500000,-32.37500000
0.65000,-32.50000000,-32.50000000
0.65250,-32.62500000,-32.62500000
0.65500,-32.75000000,-32.75000000
0.65750,-32.87500000,-32.87500000
0.66000,-33.00000000,-33.00000000
0.66250,-33.12500000,-33.12500000
0.66500,-33.25000000,-33.25000000
0.66750,-33.37500000,-33.37500000
0.67000,-33.50000000,-33.50000000
0.67250,-33.62500000,-33.62500000
0.67500,-33.75000000,-33.75000000
0.67750,-33.87500000,-33.87500000
0.68000,-34.00000000,-34.00000000
0.68250,-34.12500000,-34.12500000
0.68500,-34.25000000,-34.25000000
0.68750,-34.37500000,-34.37500000
0.69000,-34.50000000,-34.50000000
0.69250,-34.62500000,-34.62500000
0.69500,-34.75000000,-34.75000000
0.69750,-34.87500000,-34.87500000
0.70000,-35.00000000,-35.00000000
0.70250,-35.12500000,-35.12500000
0.70500,-35.25000000,-35.25000000
0.70750,-35.37500000,-35.37500000
0.71000,-35.50000000,-35.50000000
0.71250,-35.62500000,-35.62500000
0.71500,-35.75000000,-35.75000000
0.71750,-35.87500000,-35.87500000
0.72000,-36.00000000,-36.00000000
0.72250,-36.12500000,-36.12500000
0.72500,-36.25000000,-36.25000000
0.72750,-36.37500000,-36.37500000
0.73000,-36.50000000,-36.50000000
0.73250,-36.62500000,-36.62500000
0.73500,-36.75000000,-36.75000000
0.73750,-36.87500000,-36.87500000
0.74000,-37.00000000,-37.00000000
0.74250,-37.12500000,-37.12500000
0.74500,-37.25000000,-37.25000000
0.74750,-37.37500000,-37.37500000
0.75000,-37.50000000,-37.50000000
0.75250,-37.62500000,-37.62500000
0.75500,-37.75000000,-37.75000000
0.75750,-37.87500000,-37.87500000
0.76000,-38.00000000,-38.00000000
0.76250,-38.12500000,-38.12500000
0.76500,-38.25000000,-38.25000000
0.76750,-38.37500000,-38.37500000
0.77000,-38.50000000,-38.50000000
0.77250,-38.62500000,-38.62500000
0.77500,-38.75000000,-38.75000000
0.77750,-38.87500000,-38.87500000
0.78000,-39.00000000,-39.00000000
0.78250,-39.12500000,-39.12500000
0.78500,-39.25000000,-39.25000000
0.78750,-39.37500000,-39.37500000
0.79000,-39.50000000,-39.50000000
0.79250,-39.62500000,-39.62500000
0.79500,-39.75000000,-39.75000000
0.79750,-39.87500000,-39.87500000
0.80000,-40.00000000,-40.00000000
0.80250,-40.12500000,-40.12500000
0.80500,-40.25000000,-40.25000000
0.80750,-40.37500000,-40.37500000
0.81000,-40.50000000,-40.50000000
0.81250,-40.62500000,-40.62500000
0.81500,-40.75000000,-40.75000000
0.81750,-40.87500000,-40.87500000
0.82000,-41.00000000,-41.00000000
0.82250,-41.12500000,-41.12500000
0.82500,-41.25000000,-41.25000000
0.82750,-41.37500000,-41.37500000
0.83000,-41.50000000,-41.50000000
0.83250,-41.62500000,-41.62500000
0.83500,-41.75000000,-41.75000000
0.83750,-41.87500000,-41.87500000
0.84000,-42.00000000,-42.00000000
0.84250,-42.12500000,-42.12500000
0.84500,-42.25000000,-42.25000000
0.84750,-42.37500000,-42.37500000
0.85000,-42.50000000,-42.50000000
0.85250,-42.62500000,-42.62500000
0.85500,-42.75000000,-42.75000000
0.85750,-42.87500000,-42.87500000
0.86000,-43.00000000,-43.00000000
0.86250,-43.12500000,-43.12500000
0.86500,-43.25000000,-43.25000000
0.86750,-43.37500000,-43.37500000
0.87000,-43.50000000,-43.50000000
0.87250,-43.62500000,-43.62500000
0.87500,-43.75000000,-43.75000000
0.87750,-43.87500000,-43.87500000
0.88000,-44.00000000,-44.00000000
0.88250,-44.12500000,-44.12500000
0.88500,-44.25000000,-44.25000000
0.88750,-44.37500000,-44.37500000
0.89000,-44.50000000,-44.50000000
0.89250,-44.62500000,-44.62500000
0.89500,-44.75000000,-44.75000000
0.89750,-44.87500000,-44.87500000
0.90000,-45.00000000,-45.00000000
0.90250,-45.12500000,-45.12500000
0.90500,-45.25000000,-45.25000000
0.90750,-45.37500000,-45.37500000
0.91000,-45.50000000,-45.50000000
0.91250,-45.62500000,-45.62500000
0.91500,-45.75000000,-45.75000000
0.91750,-45.87500000,-45.87500000
0.92000,-46.00000000,-46.00000000
0.92250,-46.12500000,-46.12500000
0.92500,-46.25000000,-46.25000000
0.92750,-46.37500000,-46.37500000
0.93000,-46.50000000,-46.50000000
0.93250,-46.62500000,-46.62500000
0.93500,-46.75000000,-46.75000000
0.93750,-46.87500000,-46.87500000
0.94000,-47.00000000,-47.00000000
0.94250,-47.12500000,-47.12500000
0.94500,-47.25000000,-47.25000000
0.94750,-47.37500000,-47.37500000
0.95000,-47.50000000,-47.50000000
0.95250,-47.62500000,-47.62500000
0.95500,-47.75000000,-47.75000000
0.95750,-47.87500000,-47.87500000
0.96000,-48.00000000,-48.00000000
0.96250,-48.12500000,-48.12500000
0.96500,-48.25000000,-48.25000000
0.96750,-48.37500000,-48.37500000
0.97000,-48.50000000,-48.50000000
0.97250,-48.62500000,-48.62500000
0.97500,-48.75000000,-48.75000000
0.97750,-48.87500000,-48.87500000
0.98000,-49.00000000,-49.00000000
0.98250,-49.12500000,-49.12500000
0.98500,-49.25000000,-49.25000000
0.98750,-49.37500000,-49.37500000
0.99000,-49.50000000,-49.50000000
0.99250,-49.62500000,-49.62500000
0.99500,-49.75000000,-49.75000000
0.99750,-49.87500000,-49.87500000
1.00000,-50.00000000,-50.00000000
1.00250,-50.12500000,-50.12500000
1.00500,-50.25000000,-50.25000000
1.00750,-50.37500000,-50.37500000
1.01000,-50.50000000,-50.50000000
1.01250,-50.62500000,-50.62500000
1.01500,-50.75000000,-50.75000000
1.01750,-50.87500000,-50.87500000
1.02000,-51.00000000,-51.00000000
1.02250,-51.12500000,-51.12500000
1.02500,-51.25000000,-51.25000000
1.02750,-51.37500000,-51.37500000
1.03000,-51.50000000,-51.50000000
1.03250,-51.62500000,-51.62500000
1.03500,-51.75000000,-51.75000000
1.03750,-51.87500000,-51.87500000
1.04000,-52.00000000,-52.00000000
1.04250,-52.12500000,-52.12500000
1.04500,-52.25000000,-52.25000000
1.04750,-52.37500000,-52.37500000
1.05000,-52.50000000,-52.50000000
1.05250,-52.62500000,-52.62500000
1.05500,-52.75000000,-52.75000000
1.05750,-52.87500000,-52.87500000
1.06000,-53.00000000,-53.00000000
1.06250,-53.12500000,-53.12500000
1.06500,-53.25000000,-53.25000000
1.06750,-53.37500000,-53.37500000
1.07000,-53.50000000,-53.50000000
1.07250,-53.62500000,-53.62500000
1.07500,-53.75000000,-53.75000000
1.07750,-53.87500000,-53.87500000
1.08000,-54.00000000,-54.00000000
1.08250,-54.12500000,-54.12500000
1.08500,-54.25000000,-54.25000000
1.08750,-54.37500000,-54.37500000
1.09000,-54.50000000,-54.50000000
1.09250,-54.62500000,-54.62500000
1.09500,-54.75000000,-54.75000000
1.09750,-54.87500000,-54.87500000
1.10000,-55.00000000,-55.00000000
1.10250,-55.12500000,-55.12500000
1.10500,-55.25000000,-55.25000000
1.10750,-55.37500000,-55.37500000
1.11000,-55.50000000,-55.50000000
1.11250,-55.62500000,-55.62500000
1.11500,-55.75000000,-55.75000000
1.11750,-55.87500000,-55.87500000
1.12000,-56.00000000,-56.00000000
1.12250,-56.12500000,-56.12500000
1.12500,-56.25000000,-56.25000000
1.12750,-56.37500000,-56.37500000
1.13000,-56.50000000,-56.50000000
1.13250,-56.62500000,-56.62500000
1.13500,-56.75000000,-56.75000000
1.13750,-56.87500000,-56.87500000
1.14000,-57.00000000,-57.00000000
1.14250,-57.12500000,-57.12500000
1.14500,-57.25000000,-57.25000000
1.14750,-57.37500000,-57.37500000
1.15000,-57.50000000,-57.50000000
1.15250,-57.62500000,-57.62500000
1.15500,-57.75000000,-57.75000000
1.15750,-57.87500000,-57.87500000
1.16000,-58.00000000,-58.00000000
1.16250,-58.12500000,-58.12500000
1.16500,-58.25000000,-58.25000000
1.16750,-58.37500000,-58.37500000
1.17000,-58.50000000,-58.50000000
1.17250,-58.62500000,-58.62500000
1.17500,-58.75000000,-58.75000000
1.17750,-58.87500000,-58.87500000
1.18000,-59.00000000,-59.00000000
1.18250,-59.12500000,-59.12500000
1.18500,-59.25000000,-59.25000000
1.18750,-59.37500000,-59.37500000
1.19000,-59.50000000,-59.50000000
1.19250,-59.62500000,-59.62500000
1.19500,-59.75000000,-59.75000000
1.19750,-59.87500000,-59.87500000
1.20000,-60.00000000,-60.00000000
1.20250,-60.12500000,-60.12500000
1.20500,-60.25000000,-60.25000000
1.20750,-60.37500000,-60.37500000
1.21000,-60.50000000,-60.50000000
1.21250,-60.62500000,-60.62500000
1.21500,-60.75000000,-60.75000000
1.21750,-60.87500000,-60.87500000
1.22000,-61.00000000,-61.00000000
1.22250,-61.12500000,-61.12500000
1.22500,-61.25000000,-61.25000000
1.22750,-61.37500000,-61.37500000
1.23000,-61.50000000,-61.50000000
1.23250,-61.62500000,-61.62500000
1.23500,-61.75000000,-61.75000000
1.23750,-61.87500000,-61.87500000
1.24000,-62.00000000,-62.00000000
1.24250,-62.12500000,-62.12500000
1.24500,-62.25000000,-62.25000000
1.24750,-62.37500000,-62.37500000
1.25000,-62.50000000,-62.50000000
1.25250,-62.62500000,-62.62500000
1.25500,-62.75000000,-62.75000000
1.25750,-62.87500000,-62.87500000
1.26000,-63.00000000,-63.00000000
1.26250,-63.12500000,-63.12500000
1.26500,-63.25000000,-63.25000000
1.26750,-63.37500000,-63.37500000
