ratio_r2_r1,delta_Lp_dB
0.25,12.04119983
0.252180972,11.96575371
0.2543809706,11.8903076
0.2566001618,11.81486148
0.2588387129,11.73941537
0.2610967928,11.66396926
0.263374572,11.58852314
0.2656722223,11.51307703
0.2679899171,11.43763091
0.2703278311,11.3621848
0.2726861409,11.28673868
0.2750650243,11.21129257
0.2774646608,11.13584646
0.2798852315,11.06040034
0.2823269189,10.98495423
0.2847899074,10.90950811
0.2872743827,10.834062
0.2897805322,10.75861589
0.2923085452,10.68316977
0.2948586122,10.60772366
0.2974309258,10.53227754
0.3000256799,10.45683143
0.3026430704,10.38138531
0.3052832947,10.3059392
0.307946552,10.23049309
0.3106330432,10.15504697
0.3133429712,10.07960086
0.3160765402,10.00415474
0.3188339566,9.928708629
0.3216154283,9.853262515
0.3244211653,9.777816401
0.3272513793,9.702370286
0.3301062837,9.626924172
0.332986094,9.551478058
0.3358910274,9.476031944
0.3388213032,9.40058583
0.3417771423,9.325139715
0.3447587679,9.249693601
0.3477664048,9.174247487
0.35080028,9.098801373
0.3538606224,9.023355258
0.3569476629,8.947909144
0.3600616344,8.87246303
0.3632027718,8.797016916
0.3663713122,8.721570802
0.3695674945,8.646124687
0.37279156,8.570678573
0.3760437518,8.495232459
0.3793243155,8.419786345
0.3826334984,8.344340231
0.3859715502,8.268894116
0.3893387228,8.193448002
0.3927352703,8.118001888
0.3961614488,8.042555774
0.399617517,7.96710966
0.4031037355,7.891663545
0.4066203674,7.816217431
0.410167678,7.740771317
0.4137459349,7.665325203
0.4173554082,7.589879089
0.4209963701,7.514432974
0.4246690953,7.43898686
0.428373861,7.363540746
0.4321109466,7.288094632
0.4358806342,7.212648518
0.4396832081,7.137202403
0.4435189552,7.061756289
0.447388165,6.986310175
0.4512911293,6.910864061
0.4552281426,6.835417947
0.459199502,6.759971832
0.4632055071,6.684525718
0.4672464601,6.609079604
0.4713226659,6.53363349
0.4754344321,6.458187376
0.4795820689,6.382741261
0.4837658893,6.307295147
0.4879862088,6.231849033
0.4922433459,6.156402919
0.4965376217,6.080956805
0.5008693604,6.00551069
0.5052388887,5.930064576
0.5096465362,5.854618462
0.5140926356,5.779172348
0.5185775222,5.703726234
0.5231015345,5.628280119
0.5276650138,5.552834005
0.5322683043,5.477387891
0.5369117535,5.401941777
0.5415957115,5.326495663
0.5463205319,5.251049548
0.5510865712,5.175603434
0.5558941887,5.10015732
0.5607437475,5.024711206
0.5656356132,4.949265092
0.570570155,4.873818977
0.5755477452,4.798372863
0.5805687593,4.722926749
0.5856335763,4.647480635
0.5907425781,4.572034521
0.5958961502,4.496588406
0.6010946816,4.421142292
0.6063385643,4.345696178
0.6116281941,4.270250064
0.6169639701,4.19480395
0.6223462947,4.119357835
0.6277755742,4.043911721
0.6332522181,3.968465607
0.6387766396,3.893019493
0.6443492555,3.817573379
0.6499704863,3.742127264
0.6556407562,3.66668115
0.6613604928,3.591235036
0.6671301277,3.515788922
0.6729500963,3.440342808
0.6788208377,3.364896693
0.6847427947,3.289450579
0.6907164143,3.214004465
0.696742147,3.138558351
0.7028204475,3.063112237
0.7089517745,2.987666122
0.7151365905,2.912220008
0.7213753621,2.836773894
0.72766856,2.76132778
0.7340166592,2.685881666
0.7404201384,2.610435551
0.7468794808,2.534989437
0.7533951739,2.459543323
0.7599677091,2.384097209
0.7665975824,2.308651095
0.7732852939,2.23320498
0.7800313483,2.157758866
0.7868362545,2.082312752
0.793700526,2.006866638
0.8006246806,1.931420524
0.8076092407,1.855974409
0.8146547334,1.780528295
0.8217616902,1.705082181
0.8289306472,1.629636067
0.8361621454,1.554189953
0.8434567305,1.478743838
0.8508149526,1.403297724
0.8582373671,1.32785161
0.8657245339,1.252405496
0.8732770179,1.176959382
0.8808953889,1.101513267
0.8885802217,1.026067153
0.8963320961,0.9506210389
0.9041515971,0.8751749247
0.9120393145,0.7997288105
0.9199958434,0.7242826963
0.9280217842,0.6488365821
0.9361177425,0.5733904679
0.9442843289,0.4979443537
0.9525221598,0.4224982395
0.9608318565,0.3470521253
0.9692140462,0.2716060111
0.9776693611,0.1961598969
0.9861984392,0.1207137827
0.9948019241,0.04526766852
1.003480465,-0.03017844568
1.012234716,-0.1056245599
1.021065338,-0.1810706741
1.029972998,-0.2565167883
1.038958367,-0.3319629025
1.048022124,-0.4074090167
1.057164952,-0.4828551309
1.066387541,-0.5583012451
1.075690586,-0.6337473593
1.085074791,-0.7091934735
1.094540862,-0.7846395877
1.104089514,-0.8600857019
1.113721467,-0.9355318161
1.123437449,-1.01097793
1.133238191,-1.086424045
1.143124434,-1.161870159
1.153096924,-1.237316273
1.163156413,-1.312762387
1.173303659,-1.388208501
1.183539429,-1.463654616
1.193864495,-1.53910073
1.204279635,-1.614546844
1.214785636,-1.689992958
1.22538329,-1.765439072
1.236073396,-1.840885187
1.246856762,-1.916331301
1.257734201,-1.991777415
1.268706534,-2.067223529
1.279774588,-2.142669643
1.290939198,-2.218115758
1.302201207,-2.293561872
1.313561465,-2.369007986
1.325020828,-2.4444541
1.336580161,-2.519900214
1.348240337,-2.595346329
1.360002235,-2.670792443
1.371866743,-2.746238557
1.383834755,-2.821684671
1.395907174,-2.897130785
1.408084912,-2.9725769
1.420368887,-3.048023014
1.432760027,-3.123469128
1.445259265,-3.198915242
1.457867545,-3.274361356
1.470585818,-3.349807471
1.483415045,-3.425253585
1.496356191,-3.500699699
1.509410235,-3.576145813
1.522578161,-3.651591927
1.535860963,-3.727038042
1.549259642,-3.802484156
1.56277521,-3.87793027
1.576408686,-3.953376384
1.590161099,-4.028822498
1.604033487,-4.104268613
1.618026895,-4.179714727
1.632142381,-4.255160841
1.646381009,-4.330606955
1.660743852,-4.406053069
1.675231996,-4.481499184
1.689846532,-4.556945298
1.704588565,-4.632391412
1.719459205,-4.707837526
1.734459574,-4.78328364
1.749590806,-4.858729755
1.76485404,-4.934175869
1.780250429,-5.009621983
1.795781135,-5.085068097
1.811447329,-5.160514211
1.827250192,-5.235960326
1.843190919,-5.31140644
1.85927071,-5.386852554
1.87549078,-5.462298668
1.891852351,-5.537744782
1.90835666,-5.613190897
1.92500495,-5.688637011
1.941798478,-5.764083125
1.95873851,-5.839529239
1.975826326,-5.914975353
1.993063214,-5.990421468
2.010450474,-6.065867582
2.027989419,-6.141313696
2.045681372,-6.21675981
2.063527668,-6.292205924
2.081529652,-6.367652039
2.099688684,-6.443098153
2.118006133,-6.518544267
2.136483382,-6.593990381
2.155121824,-6.669436495
2.173922865,-6.74488261
2.192887925,-6.820328724
2.212018434,-6.895774838
2.231315836,-6.971220952
2.250781585,-7.046667066
2.270417152,-7.122113181
2.290224017,-7.197559295
2.310203675,-7.273005409
2.330357634,-7.348451523
2.350687413,-7.423897637
2.371194547,-7.499343752
2.391880583,-7.574789866
2.412747082,-7.65023598
2.433795617,-7.725682094
2.455027778,-7.801128208
2.476445166,-7.876574323
2.498049396,-7.952020437
2.5198421,-8.027466551
2.54182492,-8.102912665
2.563999517,-8.178358779
2.586367562,-8.253804894
2.608930743,-8.329251008
2.631690763,-8.404697122
2.654649339,-8.480143236
2.677808202,-8.55558935
2.701169102,-8.631035465
2.724733799,-8.706481579
2.748504072,-8.781927693
2.772481714,-8.857373807
2.796668534,-8.932819921
2.821066357,-9.008266036
2.845677025,-9.08371215
2.870502393,-9.159158264
2.895544334,-9.234604378
2.920804739,-9.310050492
2.946285513,-9.385496607
2.971988578,-9.460942721
2.997915874,-9.536388835
3.024069357,-9.611834949
3.050451,-9.687281063
3.077062793,-9.762727178
3.103906744,-9.838173292
3.13098488,-9.913619406
3.158299242,-9.98906552
3.185851891,-10.06451163
3.213644906,-10.13995775
3.241680385,-10.21540386
3.269960442,-10.29084998
3.298487211,-10.36629609
3.327262844,-10.44174221
3.356289513,-10.51718832
3.385569408,-10.59263443
3.415104736,-10.66808055
3.444897728,-10.74352666
3.47495063,-10.81897278
3.505265711,-10.89441889
3.535845257,-10.969865
3.566691575,-11.04531112
3.597806994,-11.12075723
3.629193859,-11.19620335
3.660854541,-11.27164946
3.692791426,-11.34709558
3.725006925,-11.42254169
3.757503469,-11.4979878
3.790283509,-11.57343392
3.823349518,-11.64888003
3.856703992,-11.72432615
3.890349446,-11.79977226
3.924288419,-11.87521838
3.958523472,-11.95066449
3.993057188,-12.0261106
4.027892173,-12.10155672
4.063031053,-12.17700283
4.098476482,-12.25244895
4.134231132,-12.32789506
4.170297702,-12.40334117
4.206678913,-12.47878729
4.243377509,-12.5542334
4.280396259,-12.62967952
4.317737958,-12.70512563
4.355405421,-12.78057175
4.39340149,-12.85601786
4.431729033,-12.93146397
4.470390942,-13.00691009
4.509390132,-13.0823562
4.548729547,-13.15780232
4.588412155,-13.23324843
4.628440949,-13.30869455
4.66881895,-13.38414066
4.709549204,-13.45958677
4.750634785,-13.53503289
4.792078791,-13.610479
4.833884351,-13.68592512
4.876054617,-13.76137123
4.918592772,-13.83681734
4.961502025,-13.91226346
5.004785614,-13.98770957
5.048446803,-14.06315569
5.092488888,-14.1386018
5.136915192,-14.21404792
5.181729065,-14.28949403
5.22693389,-14.36494014
5.272533077,-14.44038626
5.318530065,-14.51583237
5.364928327,-14.59127849
5.411731361,-14.6667246
5.4589427,-14.74217071
5.506565906,-14.81761683
5.55460457,-14.89306294
5.603062319,-14.96850906
5.651942808,-15.04395517
5.701249725,-15.11940129
5.75098679,-15.1948474
5.801157755,-15.27029351
5.851766406,-15.34573963
5.902816562,-15.42118574
5.954312073,-15.49663186
6.006256826,-15.57207797
6.058654738,-15.64752409
6.111509764,-15.7229702
6.164825892,-15.79841631
6.218607143,-15.87386243
6.272857576,-15.94930854
6.327581284,-16.02475466
6.382782395,-16.10020077
6.438465075,-16.17564688
6.494633524,-16.251093
6.55129198,-16.32653911
6.608444719,-16.40198523
6.666096051,-16.47743134
6.724250327,-16.55287746
6.782911935,-16.62832357
6.8420853,-16.70376968
6.901774887,-16.7792158
6.961985199,-16.85466191
7.022720779,-16.93010803
7.083986209,-17.00555414
7.145786112,-17.08100026
7.208125151,-17.15644637
7.271008028,-17.23189248
7.334439489,-17.3073386
7.398424319,-17.38278471
7.462967345,-17.45823083
7.528073437,-17.53367694
7.593747508,-17.60912305
7.659994511,-17.68456917
7.726819446,-17.76001528
7.794227355,-17.8354614
7.862223322,-17.91090751
7.930812479,-17.98635363
8,-18.06179974
