angle_deg,pattern_1_dB,pattern_2_dB,pattern_3_dB
0,0,0,0
0.5,-7.276135848e-05,-0.0001918267144,-0.001322963187
1,-0.0002910435499,-0.0007673176682,-0.005292171321
1.5,-0.0006548409217,-0.001726505296,-0.0119085806
2,-0.001164144052,-0.003069443664,-0.02117378627
2.5,-0.001818939748,-0.004796208485,-0.03309002507
3,-0.002619211041,-0.006906897133,-0.04766017856
3.5,-0.003564937189,-0.009401628673,-0.06488777755
4,-0.004656093666,-0.01228054388,-0.08477700741
4.5,-0.005892652161,-0.0155438053,-0.1073327145
5,-0.007274580574,-0.01919159725,-0.1325604134
5.5,-0.008801843004,-0.02322412589,-0.160466296
6,-0.01047439975,-0.02764161927,-0.1910572401
6.5,-0.0122922073,-0.03244432739,-0.2243408212
7,-0.01425521831,-0.03763252225,-0.2603253236
7.5,-0.01636338163,-0.04320649794,-0.2990197539
8,-0.01861664226,-0.04916657067,-0.3404338553
8.5,-0.02101494134,-0.05551307889,-0.3845781231
9,-0.02355821617,-0.06224638338,-0.4314638219
9.5,-0.02624640017,-0.06936686729,-0.4811030042
10,-0.02907942286,-0.07687493628,-0.5335085302
10.5,-0.0320572099,-0.0847710186,-0.5886940893
11,-0.035179683,-0.09305556523,-0.6466742235
11.5,-0.03844675997,-0.1017290499,-0.7074643524
12,-0.04185835466,-0.1107919695,-0.7710807999
12.5,-0.04541437697,-0.1202448436,-0.8375408231
13,-0.04911473283,-0.1300882152,-0.9068626431
13.5,-0.05295932417,-0.1403226508,-0.9790654782
14,-0.05694804891,-0.15094874,-1.054169579
14.5,-0.06108080095,-0.1619670962,-1.132196268
15,-0.06535747013,-0.1733783568,-1.213167978
15.5,-0.06977794222,-0.1851831828,-1.297108295
16,-0.07434209889,-0.1973822595,-1.384042009
16.5,-0.07904981772,-0.2099762964,-1.473995159
17,-0.08390097213,-0.2229660276,-1.56699509
17.5,-0.0888954314,-0.2363522118,-1.663070507
18,-0.09403306061,-0.2501356326,-1.762251539
18.5,-0.09931372063,-0.2643170986,-1.864569803
19,-0.1047372681,-0.2788974437,-1.970058473
19.5,-0.1103035554,-0.2938775274,-2.078752359
20,-0.1160124307,-0.3092582348,-2.190687983
20.5,-0.1218637376,-0.325040477,-2.30590367
21,-0.1278573157,-0.3412251914,-2.424439638
21.5,-0.1339929999,-0.3578133418,-2.5463381
22,-0.140270621,-0.3748059186,-2.671643371
22.5,-0.1466900051,-0.3922039393,-2.800401983
23,-0.153250974,-0.4100084486,-2.932662813
23.5,-0.1599533449,-0.428220519,-3.068477212
24,-0.1667969305,-0.4468412504,-3.207899155
24.5,-0.1737815391,-0.465871771,-3.350985397
25,-0.180906974,-0.4853132377,-3.49779564
25.5,-0.1881730343,-0.5051668359,-3.648392721
26,-0.1955795141,-0.5254337801,-3.802842805
26.5,-0.2031262029,-0.5461153144,-3.961215607
27,-0.2108128856,-0.5672127124,-4.123584621
27.5,-0.2186393421,-0.5887272782,-4.29002738
28,-0.2266053475,-0.6106603462,-4.460625726
28.5,-0.2347106722,-0.6330132818,-4.635466121
29,-0.2429550815,-0.6557874815,-4.814639971
29.5,-0.2513383359,-0.6789843737,-4.998243989
30,-0.2598601907,-0.7026054188,-5.186380589
30.5,-0.2685203964,-0.7266521099,-5.379158322
31,-0.2773186984,-0.7511259728,-5.57669235
31.5,-0.2862548367,-0.7760285669,-5.779104968
32,-0.2953285464,-0.8013614855,-5.986526186
32.5,-0.3045395573,-0.8271263561,-6.199094361
33,-0.3138875941,-0.8533248413,-6.416956907
33.5,-0.3233723758,-0.8799586389,-6.640271073
34,-0.3329936165,-0.9070294825,-6.869204816
34.5,-0.3427510245,-0.9345391423,-7.103937762
35,-0.3526443029,-0.9624894254,-7.344662293
35.5,-0.3626731492,-0.9908821762,-7.591584745
36,-0.3728372553,-1.019719278,-7.844926771
36.5,-0.3831363075,-1.049002651,-8.104926856
37,-0.3935699866,-1.078734256,-8.371842038
37.5,-0.4041379673,-1.108916095,-8.645949845
38,-0.414839919,-1.139550208,-8.927550497
38.5,-0.4256755049,-1.170638678,-9.216969413
39,-0.4366443824,-1.202183629,-9.514560065
39.5,-0.4477462031,-1.234187227,-9.82070726
40,-0.4589806124,-1.266651683,-10.1358309
40.5,-0.4703472498,-1.299579252,-10.46039035
41,-0.4818457486,-1.332972233,-10.79488944
41.5,-0.4934757359,-1.36683297,-11.13988242
42,-0.5052368326,-1.401163854,-11.49598074
42.5,-0.5171286533,-1.435967324,-11.86386122
43,-0.5291508061,-1.471245867,-12.24427559
43.5,-0.5413028928,-1.507002017,-12.63806188
44,-0.5535845088,-1.543238361,-13.04615803
44.5,-0.5659952428,-1.579957535,-13.46961837
45,-0.5785346768,-1.617162225,-13.90963353
45.5,-0.5912023863,-1.654855174,-14.06604099
46,-0.6039979399,-1.693039175,-14.21978488
46.5,-0.6169208994,-1.731717077,-14.37063006
47,-0.6299708198,-1.770891786,-14.51834066
47.5,-0.643147249,-1.810566263,-14.66268111
48,-0.6564497279,-1.850743528,-14.80341728
48.5,-0.6698777904,-1.89142666,-14.94031769
49,-0.6834309632,-1.932618799,-15.07315481
49.5,-0.6971087655,-1.974323145,-15.20170634
50,-0.7109107095,-2.016542963,-15.32575665
50.5,-0.7248362998,-2.059281581,-15.44509814
51,-0.7388850337,-2.102542393,-15.55953266
51.5,-0.7530564008,-2.146328859,-15.66887293
52,-0.7673498832,-2.190644508,-15.77294393
52.5,-0.7817649552,-2.23549294,-15.87158423
53,-0.7963010833,-2.280877824,-15.96464729
53.5,-0.8109577263,-2.326802903,-16.05200265
54,-0.8257343349,-2.373271996,-16.13353702
54.5,-0.840630352,-2.420288994,-16.20915527
55,-0.8556452122,-2.467857871,-16.2787813
55.5,-0.870778342,-2.515982678,-16.34235867
56,-0.8860291596,-2.564667546,-16.39985117
56.5,-0.9013970751,-2.613916691,-16.45124318
57,-0.9168814898,-2.663734415,-16.4965398
57.5,-0.9324817969,-2.714125107,-16.53576689
58,-0.9481973807,-2.765093242,-16.56897083
58.5,-0.9640276171,-2.816643391,-16.59621819
59,-0.979971873,-2.868780216,-16.61759515
59.5,-0.9960295065,-2.921508475,-16.63320681
60,-1.012199867,-2.974833026,-16.64317633
60.5,-1.028482295,-3.028758824,-16.64764392
61,-1.044876121,-3.08329093,-16.64676575
61.5,-1.061380668,-3.138434511,-16.64071272
62,-1.077995247,-3.194194839,-16.62966917
62.5,-1.094719163,-3.250577302,-16.61383154
63,-1.11155171,-3.307587397,-16.59340697
63.5,-1.128492171,-3.365230741,-16.56861186
64,-1.145539821,-3.423513071,-16.53967051
64.5,-1.162693927,-3.482440244,-16.50681364
65,-1.179953742,-3.542018247,-16.47027709
65.5,-1.197318512,-3.602253194,-16.43030042
66,-1.214787472,-3.663151333,-16.3871257
66.5,-1.232359849,-3.724719051,-16.34099624
67,-1.250034856,-3.786962872,-16.2921555
67.5,-1.2678117,-3.849889466,-16.24084601
68,-1.285689573,-3.913505653,-16.18730841
68.5,-1.303667662,-3.977818402,-16.13178054
69,-1.321745138,-4.042834843,-16.07449668
69.5,-1.339921165,-4.108562265,-16.01568681
70,-1.358194896,-4.175008122,-15.95557601
70.5,-1.376565472,-4.242180043,-15.89438389
71,-1.395032022,-4.31008583,-15.83232418
71.5,-1.413593668,-4.378733465,-15.76960429
72,-1.432249517,-4.448131119,-15.70642505
72.5,-1.450998667,-4.518287155,-15.64298042
73,-1.469840203,-4.589210133,-15.57945735
73.5,-1.4887732,-4.660908817,-15.51603562
74,-1.507796723,-4.733392182,-15.45288777
74.5,-1.526909821,-4.806669419,-15.3901791
75,-1.546111536,-4.880749944,-15.32806763
75.5,-1.565400895,-4.955643403,-15.26670417
76,-1.584776916,-5.03135968,-15.20623242
76.5,-1.604238603,-5.107908905,-15.14678901
77,-1.623784948,-5.185301464,-15.08850369
77.5,-1.643414933,-5.263548002,-15.03149942
78,-1.663127525,-5.342659437,-14.97589256
78.5,-1.68292168,-5.422646966,-14.92179302
79,-1.702796343,-5.503522078,-14.86930442
79.5,-1.722750446,-5.585296557,-14.81852433
80,-1.742782905,-5.667982502,-14.76954439
80.5,-1.762892629,-5.751592328,-14.72245053
81,-1.78307851,-5.836138785,-14.67732314
81.5,-1.80333943,-5.921634964,-14.63423727
82,-1.823674256,-6.008094315,-14.59326279
82.5,-1.844081844,-6.095530655,-14.55446459
83,-1.864561034,-6.183958182,-14.51790272
83.5,-1.885110658,-6.273391492,-14.48363257
84,-1.905729529,-6.363845592,-14.45170501
84.5,-1.92641645,-6.455335916,-14.42216655
85,-1.947170211,-6.547878339,-14.39505946
85.5,-1.967989588,-6.641489198,-14.37042191
86,-1.988873342,-6.736185306,-14.34828806
86.5,-2.009820223,-6.831983974,-14.32868822
87,-2.030828965,-6.928903028,-14.31164888
87.5,-2.051898291,-7.026960831,-14.29719283
88,-2.073026907,-7.126176304,-14.28533925
88.5,-2.094213507,-7.22656895,-14.27610373
89,-2.115456772,-7.328158878,-14.26949833
89.5,-2.136755368,-7.430966826,-14.26553166
90,-2.158107946,-7.535014192,-14.26420887
90.5,-2.179513145,-7.640323057,-14.26553166
91,-2.200969588,-7.746916218,-14.26949833
91.5,-2.222475885,-7.85481722,-14.27610373
92,-2.244030632,-7.964050384,-14.28533925
92.5,-2.26563241,-8.07464085,-14.29719283
93,-2.287279785,-8.186614606,-14.31164888
93.5,-2.308971311,-8.299998531,-14.32868822
94,-2.330705524,-8.414820437,-14.34828806
94.5,-2.35248095,-8.531109111,-14.37042191
95,-2.374296097,-8.648894359,-14.39505946
95.5,-2.39614946,-8.768207063,-14.42216655
96,-2.418039519,-8.889079224,-14.45170501
96.5,-2.43996474,-9.011544024,-14.48363257
97,-2.461923573,-9.135635881,-14.51790272
97.5,-2.483914455,-9.261390516,-14.55446459
98,-2.505935808,-9.388845014,-14.59326279
98.5,-2.52798604,-9.518037901,-14.63423727
99,-2.550063542,-9.649009214,-14.67732314
99.5,-2.572166692,-9.781800588,-14.72245053
100,-2.594293853,-9.916455337,-14.76954439
100.5,-2.616443375,-10.05301855,-14.81852433
101,-2.638613591,-10.19153719,-14.86930442
101.5,-2.66080282,-10.3320602,-14.92179302
102,-2.683009367,-10.4746386,-14.97589256
102.5,-2.705231522,-10.61932565,-15.03149942
103,-2.72746756,-10.76617694,-15.08850369
103.5,-2.749715742,-10.91525054,-15.14678901
104,-2.771974315,-11.06660717,-15.20623242
104.5,-2.79424151,-11.22031033,-15.26670417
105,-2.816515545,-11.37642654,-15.32806763
105.5,-2.838794622,-11.53502543,-15.3901791
106,-2.861076931,-11.69618004,-15.45288777
106.5,-2.883360646,-11.859967,-15.51603562
107,-2.905643926,-12.02646677,-15.57945735
107.5,-2.927924918,-12.19576391,-15.64298042
108,-2.950201754,-12.36794738,-15.70642505
108.5,-2.972472551,-12.5431108,-15.76960429
109,-2.994735413,-12.72135286,-15.83232418
109.5,-3.016988431,-12.90277765,-15.89438389
110,-3.039229679,-13.08749503,-15.95557601
110.5,-3.061457222,-13.27562117,-16.01568681
111,-3.083669108,-13.46727892,-16.07449668
111.5,-3.105863372,-13.66259845,-16.13178054
112,-3.128038037,-13.86171775,-16.18730841
112.5,-3.150191113,-14.06478335,-16.24084601
113,-3.172320594,-14.271951,-16.2921555
113.5,-3.194424464,-14.48338647,-16.34099624
114,-3.216500694,-14.69926643,-16.3871257
114.5,-3.23854724,-14.91977948,-16.43030042
115,-3.260562049,-15.14512717,-16.47027709
115.5,-3.282543053,-15.37552527,-16.50681364
116,-3.304488173,-15.61120517,-16.53967051
116.5,-3.326395318,-15.85241538,-16.56861186
117,-3.348262385,-16.09942328,-16.59340697
117.5,-3.370087259,-16.35251712,-16.61383154
118,-3.391867814,-16.61200823,-16.62966917
118.5,-3.413601914,-16.87823357,-16.64071272
119,-3.43528741,-17.15155862,-16.64676575
119.5,-3.456922144,-17.43238074,-16.64764392
120,-3.478503946,-17.72113295,-16.64317633
