temperature_C,speed_m_s
-10,325
-9.75,325.15
-9.5,325.3
-9.25,325.45
-9,325.6
-8.75,325.75
-8.5,325.9
-8.25,326.05
-8,326.2
-7.75,326.35
-7.5,326.5
-7.25,326.65
-7,326.8
-6.75,326.95
-6.5,327.1
-6.25,327.25
-6,327.4
-5.75,327.55
-5.5,327.7
-5.25,327.85
-5,328
-4.75,328.15
-4.5,328.3
-4.25,328.45
-4,328.6
-3.75,328.75
-3.5,328.9
-3.25,329.05
-3,329.2
-2.75,329.35
-2.5,329.5
-2.25,329.65
-2,329.8
-1.75,329.95
-1.5,330.1
-1.25,330.25
-1,330.4
-0.75,330.55
-0.5,330.7
-0.25,330.85
0,331
0.25,331.15
0.5,331.3
0.75,331.45
1,331.6
1.25,331.75
1.5,331.9
1.75,332.05
2,332.2
2.25,332.35
2.5,332.5
2.75,332.65
3,332.8
3.25,332.95
3.5,333.1
3.75,333.25
4,333.4
4.25,333.55
4.5,333.7
4.75,333.85
5,334
5.25,334.15
5.5,334.3
5.75,334.45
6,334.6
6.25,334.75
6.5,334.9
6.75,335.05
7,335.2
7.25,335.35
7.5,335.5
7.75,335.65
8,335.8
8.25,335.95
8.5,336.1
8.75,336.25
9,336.4
9.25,336.55
9.5,336.7
9.75,336.85
10,337
10.25,337.15
10.5,337.3
10.75,337.45
11,337.6
11.25,337.75
11.5,337.9
11.75,338.05
12,338.2
12.25,338.35
12.5,338.5
12.75,338.65
13,338.8
13.25,338.95
13.5,339.1
13.75,339.25
14,339.4
14.25,339.55
14.5,339.7
14.75,339.85
15,340
15.25,340.15
15.5,340.3
15.75,340.45
16,340.6
16.25,340.75
16.5,340.9
16.75,341.05
17,341.2
17.25,341.35
17.5,341.5
17.75,341.65
18,341.8
18.25,341.95
18.5,342.1
18.75,342.25
19,342.4
19.25,342.55
19.5,342.7
19.75,342.85
20,343
20.25,343.15
20.5,343.3
20.75,343.45
21,343.6
21.25,343.75
21.5,343.9
21.75,344.05
22,344.2
22.25,344.35
22.5,344.5
22.75,344.65
23,344.8
23.25,344.95
23.5,345.1
23.75,345.25
24,345.4
24.25,345.55
24.5,345.7
24.75,345.85
25,346
25.25,346.15
25.5,346.3
25.75,346.45
26,346.6
26.25,346.75
26.5,346.9
26.75,347.05
27,347.2
27.25,347.35
27.5,347.5
27.75,347.65
28,347.8
28.25,347.95
28.5,348.1
28.75,348.25
29,348.4
29.25,348.55
29.5,348.7
29.75,348.85
30,349
30.25,349.15
30.5,349.3
30.75,349.45
31,349.6
31.25,349.75
31.5,349.9
31.75,350.05
32,350.2
32.25,350.35
32.5,350.5
32.75,350.65
33,350.8
33.25,350.95
33.5,351.1
33.75,351.25
34,351.4
34.25,351.55
34.5,351.7
34.75,351.85
35,352
