time_ms,direct,isolated_reflection,reverberant_tail
0,3.838700349e-155,3.838700349e-155,3.838700349e-155
0.05,7.384172727e-154,7.384172727e-154,7.384172727e-154
0.1,1.403000486e-152,1.403000486e-152,1.403000486e-152
0.15,2.633007739e-151,2.633007739e-151,2.633007739e-151
0.2,4.880730071e-150,4.880730071e-150,4.880730071e-150
0.25,8.936259737e-149,8.936259737e-149,8.936259737e-149
0.3,1.616088414e-147,1.616088414e-147,1.616088414e-147
0.35,2.886774031e-146,2.886774031e-146,2.886774031e-146
0.4,5.093294669e-145,5.093294669e-145,5.093294669e-145
0.45,8.876119802e-144,8.876119802e-144,8.876119802e-144
0.5,1.527868044e-142,1.527868044e-142,1.527868044e-142
0.55,2.597687351e-141,2.597687351e-141,2.597687351e-141
0.6,4.362407702e-140,4.362407702e-140,4.362407702e-140
0.65,7.236090053e-139,7.236090053e-139,7.236090053e-139
0.7,1.185550381e-137,1.185550381e-137,1.185550381e-137
0.75,1.918555669e-136,1.918555669e-136,1.918555669e-136
0.8,3.066670644e-135,3.066670644e-135,3.066670644e-135
0.85,4.84170368e-134,4.84170368e-134,4.84170368e-134
0.9,7.550359258e-133,7.550359258e-133,7.550359258e-133
0.95,1.162988356e-131,1.162988356e-131,1.162988356e-131
1,1.769381394e-130,1.769381394e-130,1.769381394e-130
1.05,2.658923763e-129,2.658923763e-129,2.658923763e-129
1.1,3.946650371e-128,3.946650371e-128,3.946650371e-128
1.15,5.786151002e-127,5.786151002e-127,5.786151002e-127
1.2,8.378942534e-126,8.378942534e-126,8.378942534e-126
1.25,1.198469539e-124,1.198469539e-124,1.198469539e-124
1.3,1.693179993e-123,1.693179993e-123,1.693179993e-123
1.35,2.362749043e-122,2.362749043e-122,2.362749043e-122
1.4,3.256644878e-121,3.256644878e-121,3.256644878e-121
1.45,4.433651474e-120,4.433651474e-120,4.433651474e-120
1.5,5.961987175e-119,5.961987175e-119,5.961987175e-119
1.55,7.918790695e-118,7.918790695e-118,7.918790695e-118
1.6,1.038879151e-116,1.038879151e-116,1.038879151e-116
1.65,1.346199846e-115,1.346199846e-115,1.346199846e-115
1.7,1.723028188e-114,1.723028188e-114,1.723028188e-114
1.75,2.178279318e-113,2.178279318e-113,2.178279318e-113
1.8,2.720026238e-112,2.720026238e-112,2.720026238e-112
1.85,3.354833402e-111,3.354833402e-111,3.354833402e-111
1.9,4.087023766e-110,4.087023766e-110,4.087023766e-110
1.95,4.917922806e-109,4.917922806e-109,4.917922806e-109
2,5.845135614e-108,5.845135614e-108,5.845135614e-108
2.05,6.861922611e-107,6.861922611e-107,6.861922611e-107
2.1,7.956743892e-106,7.956743892e-106,7.956743892e-106
2.15,9.113040132e-105,9.113040132e-105,9.113040132e-105
2.2,1.030930827e-103,1.030930827e-103,1.030930827e-103
2.25,1.151951272e-102,1.151951272e-102,1.151951272e-102
2.3,1.271384848e-101,1.271384848e-101,1.271384848e-101
2.35,1.385984246e-100,1.385984246e-100,1.385984246e-100
2.4,1.492374761e-99,1.492374761e-99,1.492374761e-99
2.45,1.587215287e-98,1.587215287e-98,1.587215287e-98
2.5,1.667370522e-97,1.667370522e-97,1.667370522e-97
2.55,1.73008221e-96,1.73008221e-96,1.73008221e-96
2.6,1.773126421e-95,1.773126421e-95,1.773126421e-95
2.65,1.794944406e-94,1.794944406e-94,1.794944406e-94
2.7,1.794736282e-93,1.794736282e-93,1.794736282e-93
2.75,1.772509708e-92,1.772509708e-92,1.772509708e-92
2.8,1.729079423e-91,1.729079423e-91,1.729079423e-91
2.85,1.666017666e-90,1.666017666e-90,1.666017666e-90
2.9,1.585559709e-89,1.585559709e-89,1.585559709e-89
2.95,1.490472408e-88,1.490472408e-88,1.490472408e-88
3,1.383896527e-87,1.383896527e-87,1.383896527e-87
3.05,1.269175377e-86,1.269175377e-86,1.269175377e-86
3.1,1.1496827e-85,1.1496827e-85,1.1496827e-85
3.15,1.028661994e-84,1.028661994e-84,1.028661994e-84
3.2,9.090875956e-84,9.090875956e-84,9.090875956e-84
3.25,7.935551406e-83,7.935551406e-83,7.935551406e-83
3.3,6.842059184e-82,6.842059184e-82,6.842059184e-82
3.35,5.826864023e-81,5.826864023e-81,5.826864023e-81
3.4,4.901412794e-80,4.901412794e-80,4.901412794e-80
3.45,4.072358626e-79,4.072358626e-79,4.072358626e-79
3.5,3.342020369e-78,3.342020369e-78,3.342020369e-78
3.55,2.709009378e-77,2.709009378e-77,2.709009378e-77
3.6,2.168953613e-76,2.168953613e-76,2.168953613e-76
3.65,1.715253678e-75,1.715253678e-75,1.715253678e-75
3.7,1.339814872e-74,1.339814872e-74,1.339814872e-74
3.75,1.033712027e-73,1.033712027e-73,1.033712027e-73
3.8,7.877577483e-73,7.877577483e-73,7.877577483e-73
3.85,5.929582798e-72,5.929582798e-72,5.929582798e-72
3.9,4.408531331e-71,4.408531331e-71,4.408531331e-71
3.95,3.237442512e-70,3.237442512e-70,3.237442512e-70
4,2.348272752e-69,2.348272752e-69,2.348272752e-69
4.05,1.682415853e-68,1.682415853e-68,1.682415853e-68
4.1,1.190574303e-67,1.190574303e-67,1.190574303e-67
4.15,8.321813859e-67,8.321813859e-67,8.321813859e-67
4.2,5.745367715e-66,5.745367715e-66,5.745367715e-66
4.25,3.91792395e-65,3.91792395e-65,3.91792395e-65
4.3,2.638958214e-64,2.638958214e-64,2.638958214e-64
4.35,1.755688098e-63,1.755688098e-63,1.755688098e-63
4.4,1.153720358e-62,1.153720358e-62,1.153720358e-62
4.45,7.488452635e-62,7.488452635e-62,7.488452635e-62
4.5,4.800892239e-61,4.800892239e-61,4.800892239e-61
4.55,3.040116093e-60,3.040116093e-60,3.040116093e-60
4.6,1.901501702e-59,1.901501702e-59,1.901501702e-59
4.65,1.174739599e-58,1.174739599e-58,1.174739599e-58
4.7,7.168443028e-58,7.168443028e-58,7.168443028e-58
4.75,4.320623339e-57,4.320623339e-57,4.320623339e-57
4.8,2.572209373e-56,2.572209373e-56,2.572209373e-56
4.85,1.512531978e-55,1.512531978e-55,1.512531978e-55
4.9,8.784987618e-55,8.784987618e-55,8.784987618e-55
4.95,5.039832258e-54,5.039832258e-54,5.039832258e-54
5,2.855810263e-53,2.855810263e-53,2.855810263e-53
5.05,1.59838339e-52,1.59838339e-52,1.59838339e-52
5.1,8.836309217e-52,8.836309217e-52,8.836309217e-52
5.15,4.825020827e-51,4.825020827e-51,4.825020827e-51
5.2,2.602350678e-50,2.602350678e-50,2.602350678e-50
5.25,1.386343294e-49,1.386343294e-49,1.386343294e-49
5.3,7.294811805e-49,7.294811805e-49,7.294811805e-49
5.35,3.791366238e-48,3.791366238e-48,3.791366238e-48
5.4,1.946326627e-47,1.946326627e-47,1.946326627e-47
5.45,9.869020469e-47,9.869020469e-47,9.869020469e-47
5.5,4.942773562e-46,4.942773562e-46,4.942773562e-46
5.55,2.445151202e-45,2.445151202e-45,2.445151202e-45
5.6,1.194755572e-44,1.194755572e-44,1.194755572e-44
5.65,5.766213908e-44,5.766213908e-44,5.766213908e-44
5.7,2.748785008e-43,2.748785008e-43,2.748785008e-43
5.75,1.294282674e-42,1.294282674e-42,1.294282674e-42
5.8,6.019436551e-42,6.019436551e-42,6.019436551e-42
5.85,2.765163939e-41,2.765163939e-41,2.765163939e-41
5.9,1.254654844e-40,1.254654844e-40,1.254654844e-40
5.95,5.6229729e-40,5.6229729e-40,5.6229729e-40
6,2.489121253e-39,2.489121253e-39,2.489121253e-39
6.05,1.08833966e-38,1.08833966e-38,1.08833966e-38
6.1,4.70025259e-38,4.70025259e-38,4.70025259e-38
6.15,2.005008782e-37,2.005008782e-37,2.005008782e-37
6.2,8.447918213e-37,8.447918213e-37,8.447918213e-37
6.25,3.515778143e-36,3.515778143e-36,3.515778143e-36
6.3,1.445212013e-35,1.445212013e-35,1.445212013e-35
6.35,5.867863513e-35,5.867863513e-35,5.867863513e-35
6.4,2.353243046e-34,2.353243046e-34,2.353243046e-34
6.45,9.321630933e-34,9.321630933e-34,9.321630933e-34
6.5,3.647164601e-33,3.647164601e-33,3.647164601e-33
6.55,1.409474307e-32,1.409474307e-32,1.409474307e-32
6.6,5.38018616e-32,5.38018616e-32,5.38018616e-32
6.65,2.028503596e-31,2.028503596e-31,2.028503596e-31
6.7,7.554271701e-31,7.554271701e-31,7.554271701e-31
6.75,2.778739018e-30,2.778739018e-30,2.778739018e-30
6.8,1.009581207e-29,1.009581207e-29,1.009581207e-29
6.85,3.623039723e-29,3.623039723e-29,3.623039723e-29
6.9,1.284231367e-28,1.284231367e-28,1.284231367e-28
6.95,4.496263872e-28,4.496263872e-28,4.496263872e-28
7,1.554886339e-27,1.554886339e-27,1.554886339e-27
7.05,5.31109225e-27,5.31109225e-27,5.31109225e-27
7.1,1.791873643e-26,1.791873643e-26,1.791873643e-26
7.15,5.971305046e-26,5.971305046e-26,5.971305046e-26
7.2,1.965483824e-25,1.965483824e-25,1.965483824e-25
7.25,6.390105521e-25,6.390105521e-25,6.390105521e-25
7.3,2.052035763e-24,2.052035763e-24,2.052035763e-24
7.35,6.508788515e-24,6.508788515e-24,6.508788515e-24
7.4,2.03917142e-23,2.03917142e-23,2.03917142e-23
7.45,6.310236703e-23,6.310236703e-23,6.310236703e-23
7.5,1.928749848e-22,1.928749848e-22,1.928749848e-22
7.55,5.822969282e-22,5.822969282e-22,5.822969282e-22
7.6,1.73640662e-21,1.73640662e-21,1.73640662e-21
7.65,5.114423732e-21,5.114423732e-21,5.114423732e-21
7.7,1.487922531e-20,1.487922531e-20,1.487922531e-20
7.75,4.275651241e-20,4.275651241e-20,4.275651241e-20
7.8,1.213563668e-19,1.213563668e-19,1.213563668e-19
7.85,3.402210641e-19,3.402210641e-19,3.402210641e-19
7.9,9.421025317e-19,9.421025317e-19,9.421025317e-19
7.95,2.576757109e-18,2.576757109e-18,2.576757109e-18
8,6.961248458e-18,6.961248458e-18,6.961248458e-18
8.05,1.85754407e-17,1.85754407e-17,1.85754407e-17
8.1,4.895865265e-17,4.895865265e-17,4.895865265e-17
8.15,1.274553672e-16,1.274553672e-16,1.274553672e-16
8.2,3.277367472e-16,3.277367472e-16,3.277367472e-16
8.25,8.323969677e-16,8.323969677e-16,8.323969677e-16
8.3,2.088210041e-15,2.088210041e-15,2.088210041e-15
8.35,5.174354859e-15,5.174354859e-15,5.174354859e-15
8.4,1.266416555e-14,1.266416555e-14,1.266416555e-14
8.45,3.061507223e-14,3.061507223e-14,3.061507223e-14
8.5,7.310251819e-14,7.310251819e-14,7.310251819e-14
8.55,1.724120939e-13,1.724120939e-13,1.724120939e-13
8.6,4.016441583e-13,4.016441583e-13,4.016441583e-13
8.65,9.241735251e-13,9.241735251e-13,9.241735251e-13
8.7,2.100409293e-12,2.100409293e-12,2.100409293e-12
8.75,4.715119226e-12,4.715119226e-12,4.715119226e-12
8.8,1.045489718e-11,1.045489718e-11,1.045489718e-11
8.85,2.289734846e-11,2.289734846e-11,2.289734846e-11
8.9,4.953235311e-11,4.953235311e-11,4.953235311e-11
8.95,1.058354271e-10,1.058354271e-10,1.058354271e-10
9,2.233631436e-10,2.233631436e-10,2.233631436e-10
9.05,4.656185771e-10,4.656185771e-10,4.656185771e-10
9.1,9.587103704e-10,9.587103704e-10,9.587103704e-10
9.15,1.949767786e-09,1.949767786e-09,1.949767786e-09
9.2,3.916667425e-09,3.916667425e-09,3.916667425e-09
9.25,7.771213508e-09,7.771213508e-09,7.771213508e-09
9.3,1.522997974e-08,1.522997974e-08,1.522997974e-08
9.35,2.948140319e-08,2.948140319e-08,2.948140319e-08
9.4,5.636834896e-08,5.636834896e-08,5.636834896e-08
9.45,1.064537141e-07,1.064537141e-07,1.064537141e-07
9.5,1.985750415e-07,1.985750415e-07,1.985750415e-07
9.55,3.658700379e-07,3.658700379e-07,3.658700379e-07
9.6,6.65836147e-07,6.65836147e-07,6.65836147e-07
9.65,1.196867933e-06,1.196867933e-06,1.196867933e-06
9.7,2.125022016e-06,2.125022016e-06,2.125022016e-06
9.75,3.726653172e-06,3.726653172e-06,3.726653172e-06
9.8,6.455246907e-06,6.455246907e-06,6.455246907e-06
9.85,1.104447509e-05,1.104447509e-05,1.104447509e-05
9.9,1.866446911e-05,1.866446911e-05,1.866446911e-05
9.95,3.115476952e-05,3.115476952e-05,3.115476952e-05
10,5.136553119e-05,5.136553119e-05,5.136553119e-05
10.05,8.364834723e-05,8.364834723e-05,8.364834723e-05
10.1,0.0001345492511,0.0001345492511,0.0001345492511
10.15,0.0002137684188,0.0002137684188,0.0002137684188
10.2,0.0003354626279,0.0003354626279,0.0003354626279
10.25,0.0005199757433,0.0005199757433,0.0005199757433
10.3,0.0007960866915,0.0007960866915,0.0007960866915
10.35,0.001203859995,0.001203859995,0.001203859995
10.4,0.001798166662,0.001798166662,0.001798166662
10.45,0.00265290831,0.00265290831,0.00265290831
10.5,0.003865920139,0.003865920139,0.003865920139
10.55,0.005564445028,0.005564445028,0.005564445028
10.6,0.007910959734,0.007910959734,0.007910959734
10.65,0.01110899654,0.01110899654,0.01110899654
10.7,0.01540844557,0.01540844557,0.01540844557
10.75,0.02110965645,0.02110965645,0.02110965645
10.8,0.02856550078,0.02856550078,0.02856550078
10.85,0.0381804338,0.0381804338,0.0381804338
10.9,0.05040553336,0.05040553336,0.05040553336
10.95,0.06572852862,0.06572852862,0.06572852862
11,0.08465798862,0.08465798862,0.08465798862
11.05,0.1077011452,0.1077011452,0.1077011452
11.1,0.1353352832,0.1353352832,0.1353352832
11.15,0.1679732368,0.1679732368,0.1679732368
11.2,0.2059242464,0.2059242464,0.2059242464
11.25,0.2493522088,0.2493522088,0.2493522088
11.3,0.2982340962,0.2982340962,0.2982340962
11.35,0.352321955,0.352321955,0.352321955
11.4,0.4111122905,0.4111122905,0.4111122905
11.45,0.4738267264,0.4738267264,0.4738267264
11.5,0.5394075072,0.5394075072,0.5394075072
11.55,0.6065306597,0.6065306597,0.6065306597
11.6,0.6736384553,0.6736384553,0.6736384553
11.65,0.7389912963,0.7389912963,0.7389912963
11.7,0.8007374029,0.8007374029,0.8007374029
11.75,0.8569968914,0.8569968914,0.8569968914
11.8,0.9059551911,0.9059551911,0.9059551911
11.85,0.9459594689,0.9459594689,0.9459594689
11.9,0.9756109801,0.9756109801,0.9756109801
11.95,0.9938461733,0.9938461733,0.9938461733
12,1,1,1
12.05,0.9938461733,0.9938461733,0.9938461733
12.1,0.9756109801,0.9756109801,0.9756109801
12.15,0.9459594689,0.9459594689,0.9459594689
12.2,0.9059551911,0.9059551911,0.9059551911
12.25,0.8569968914,0.8569968914,0.8569968914
12.3,0.8007374029,0.8007374029,0.8007374029
12.35,0.7389912963,0.7389912963,0.7389912963
12.4,0.6736384553,0.6736384553,0.6736384553
12.45,0.6065306597,0.6065306597,0.6065306597
12.5,0.5394075072,0.5394075072,0.5394075072
12.55,0.4738267264,0.4738267264,0.4738267264
12.6,0.4111122905,0.4111122905,0.4111122905
12.65,0.352321955,0.352321955,0.352321955
12.7,0.2982340962,0.2982340962,0.2982340962
12.75,0.2493522088,0.2493522088,0.2493522088
12.8,0.2059242464,0.2059242464,0.2059242464
12.85,0.1679732368,0.1679732368,0.1679732368
12.9,0.1353352832,0.1353352832,0.1353352832
12.95,0.1077011452,0.1077011452,0.1077011452
13,0.08465798862,0.08465798862,0.08465798862
13.05,0.06572852862,0.06572852862,0.06572852862
13.1,0.05040553336,0.05040553336,0.05040553336
13.15,0.0381804338,0.0381804338,0.0381804338
13.2,0.02856550078,0.02856550078,0.02856550078
13.25,0.02110965645,0.02110965645,0.02110965645
13.3,0.01540844557,0.01540844557,0.01540844557
13.35,0.01110899654,0.01110899654,0.01110899654
13.4,0.007910959734,0.007910959734,0.007910959734
13.45,0.005564445028,0.005564445028,0.005564445028
13.5,0.003865920139,0.003865920139,0.003865920139
13.55,0.00265290831,0.00265290831,0.00265290831
13.6,0.001798166662,0.001798166662,0.001798166662
13.65,0.001203859995,0.001203859995,0.001203859995
13.7,0.0007960866915,0.0007960866915,0.0007960866915
13.75,0.0005199757433,0.0005199757433,0.0005199757433
13.8,0.0003354626279,0.0003354626279,0.0003354626279
13.85,0.0002137684188,0.0002137684188,0.0002137684188
13.9,0.0001345492511,0.0001345492511,0.0001345492511
13.95,8.364834723e-05,8.364834723e-05,8.364834723e-05
14,5.136553119e-05,5.136553119e-05,5.136553119e-05
