frequency_Hz,wavelength_m
63,5.444444444
63.61455305,5.39184799
64.23510094,5.339759648
64.86170216,5.288174509
65.49441576,5.237087712
66.13330136,5.186494443
66.77841917,5.136389934
67.42982998,5.086769463
68.08759517,5.037628354
68.75177675,4.988961976
69.42243728,4.940765744
70.09963999,4.893035115
70.78344868,4.845765591
71.47392779,4.798952718
72.17114239,4.752592084
72.87515819,4.70667932
73.58604153,4.6612101
74.30385941,4.616180138
75.02867946,4.571585192
75.76056999,4.527421059
76.49959997,4.483683576
77.24583906,4.440368623
77.99935756,4.397472117
78.7602265,4.354990015
79.52851756,4.312918316
80.30430316,4.271253052
81.0876564,4.2299903
81.8786511,4.189126169
82.67736181,4.148656809
83.48386379,4.108578406
84.29823304,4.068887183
85.12054631,4.029579401
85.95088109,3.990651354
86.78931562,3.952099375
87.63592893,3.913919829
88.49080079,3.87610912
89.35401176,3.838663684
90.22564319,3.801579993
91.10577722,3.764854551
91.99449679,3.728483898
92.89188566,3.692464606
93.79802838,3.656793282
94.71301035,3.621466562
95.63691779,3.58648112
96.56983778,3.551833656
97.51185822,3.517520907
98.4630679,3.483539639
99.42355644,3.449886649
100.3934144,3.416558767
101.3727331,3.383552851
102.3616049,3.350865791
103.3601229,3.318494506
104.3683813,3.286435947
105.386475,3.254687092
106.4145001,3.223244949
107.4525534,3.192106556
108.5007326,3.161268976
109.5591367,3.130729306
110.6278653,3.100484666
111.7070191,3.070532207
112.7966999,3.040869106
113.8970103,3.011492568
115.008054,2.982399823
116.1299358,2.953588131
117.2627613,2.925054777
118.4066373,2.896797071
119.5616715,2.868812351
120.727973,2.841097979
121.9056514,2.813651344
123.0948179,2.786469859
124.2955845,2.759550963
125.5080644,2.732892119
126.7323717,2.706490815
127.968622,2.680344562
129.2169316,2.654450897
130.4774182,2.62880738
131.7502007,2.603411594
133.0353989,2.578261146
134.333134,2.553353665
135.6435282,2.528686805
136.9667051,2.504258241
138.3027893,2.480065671
139.6519068,2.456106815
141.0141846,2.432379416
142.3897512,2.408881236
143.7787363,2.385610063
145.1812705,2.362563702
146.5974863,2.339739982
148.027517,2.317136753
149.4714973,2.294751884
150.9295634,2.272583265
152.4018527,2.250628808
153.8885038,2.228886444
155.389657,2.207354123
156.9054536,2.186029817
158.4360365,2.164911516
159.98155,2.14399723
161.5421397,2.123284988
163.1179526,2.102772838
164.7091373,2.082458847
166.3158436,2.0623411
167.9382231,2.042417703
169.5764286,2.022686778
171.2306145,2.003146464
172.9009367,1.983794921
174.5875525,1.964630325
176.290621,1.94565087
178.0103025,1.926854767
179.7467593,1.908240245
181.5001548,1.889805551
183.2706544,1.871548946
185.0584248,1.85346871
186.8636346,1.83556314
188.6864539,1.817830548
190.5270545,1.800269263
192.3856098,1.78287763
194.2622949,1.76565401
196.1572867,1.74859678
198.0707638,1.731704333
200.0029065,1.714975077
201.953897,1.698407434
203.9239189,1.681999845
205.913158,1.665750762
207.9218018,1.649658655
209.9500396,1.633722007
211.9980624,1.617939316
214.0660632,1.602309095
216.1542371,1.586829871
218.2627806,1.571500184
220.3918926,1.556318592
222.5417737,1.541283662
224.7126265,1.526393978
226.9046556,1.511648138
229.1180674,1.49704475
231.3530707,1.48258244
233.609876,1.468259844
235.888696,1.454075612
238.1897455,1.440028408
240.5132413,1.426116908
242.8594023,1.412339801
245.2284497,1.398695789
247.6206067,1.385183586
250.0360987,1.371801919
252.4751534,1.358549526
254.9380006,1.345425159
257.4248725,1.332427581
259.9360033,1.319555566
262.4716296,1.306807903
265.0319906,1.29418339
267.6173274,1.281680836
270.2278836,1.269299065
272.8639054,1.257036908
275.525641,1.244893211
278.2133413,1.232866829
280.9272597,1.220956629
283.6676518,1.209161488
286.4347759,1.197480295
289.2288928,1.185911949
292.0502658,1.17445536
294.8991607,1.163109448
297.7758461,1.151873144
300.680593,1.140745389
303.6136751,1.129725135
306.5753689,1.118811342
309.5659535,1.108002983
312.5857106,1.09729904
315.6349249,1.086698502
318.7138837,1.076200371
321.8228772,1.065803659
324.9621983,1.055507385
328.1321428,1.045310578
331.3330096,1.035212279
334.5651003,1.025211535
337.8287194,1.015307404
341.1241744,1.005498952
344.451776,0.9957852561
347.8118377,0.9861653997
351.2046762,0.9766384767
354.6306112,0.9672035892
358.0899655,0.9578598481
361.5830652,0.9486063729
365.1102394,0.9394422916
368.6718205,0.9303667406
372.2681442,0.9213788646
375.8995493,0.9124778166
379.5663781,0.9036627579
383.2689761,0.8949328577
387.0076922,0.8862872933
390.7828788,0.87772525
394.5948917,0.869245921
398.44409,0.8608485071
402.3308364,0.8525322171
406.2554974,0.8442962672
410.2184427,0.8361398813
414.2200458,0.8280622908
418.2606837,0.8200627344
422.3407374,0.8121404583
426.4605911,0.804294716
430.6206333,0.796524768
434.8212558,0.7888298821
439.0628547,0.7812093333
443.3458295,0.7736624034
447.670584,0.7661883811
452.0375256,0.7587865621
456.4470659,0.751456249
460.8996204,0.7441967509
465.3956088,0.7370073837
469.9354546,0.7298874699
474.5195858,0.7228363386
479.1484343,0.7158533252
483.8224364,0.7089377718
488.5420325,0.7020890265
493.3076673,0.6953064441
498.11979,0.6885893853
502.978854,0.6819372171
507.8853173,0.6753493127
512.8396422,0.6688250512
517.8422956,0.6623638179
522.893749,0.6559650037
527.9944783,0.6496280058
533.1449643,0.6433522269
538.3456922,0.6371370756
543.5971523,0.6309819662
548.8998394,0.6248863188
554.2542532,0.6188495587
559.6608983,0.6128711173
565.1202841,0.606950431
570.6329253,0.6010869419
576.1993412,0.5952800975
581.8200564,0.5895293505
587.4956007,0.5838341591
593.2265088,0.5781939865
599.0133209,0.5726083011
604.8565821,0.5670765767
610.7568433,0.5615982919
616.7146605,0.5561729305
622.730595,0.5507999812
628.8052138,0.5454789377
634.9390893,0.5402092985
641.1327997,0.534990567
647.3869285,0.5298222514
653.7020651,0.5247038648
660.0788047,0.5196349247
666.5177482,0.5146149535
673.0195024,0.509643478
679.58468,0.5047200299
686.2138996,0.4998441451
692.907786,0.4950153642
699.66697,0.490233232
706.4920885,0.485497298
713.3837848,0.4808071158
720.3427082,0.4761622434
727.3695147,0.4715622432
734.4648663,0.4670066817
741.6294317,0.4624951294
748.8638861,0.4580271614
756.1689112,0.4536023564
763.5451955,0.4492202977
770.993434,0.4448805721
778.5143287,0.4405827708
786.1085882,0.4363264887
793.7769283,0.4321113247
801.5200717,0.4279368816
809.3387479,0.423802766
817.2336938,0.4197085884
825.2056534,0.4156539628
833.255378,0.4116385073
841.3836261,0.4076618434
849.5911638,0.4037235963
857.8787644,0.3998233949
866.2472089,0.3959608717
874.6972861,0.3921356628
883.2297922,0.3883474075
891.8455312,0.3845957489
900.5453152,0.3808803335
909.3299638,0.3772008112
918.2003051,0.3735568351
927.1571749,0.369948062
936.2014172,0.3663741517
945.3338844,0.3628347673
954.5554371,0.3593295755
963.8669442,0.3558582458
973.2692834,0.3524204512
982.7633406,0.3490158676
992.3500105,0.3456441743
1002.030197,0.3423050534
1011.804811,0.3389981904
1021.674775,0.3357232736
1031.641019,0.3324799943
1041.704481,0.329268047
1051.866111,0.3260871289
1062.126865,0.3229369403
1072.487711,0.3198171844
1082.949625,0.3167275671
1093.513593,0.3136677972
1104.180611,0.3106375865
1114.951683,0.3076366494
1125.827825,0.304664703
1136.810062,0.3017214673
1147.899429,0.298806665
1159.09697,0.2959200213
1170.403741,0.2930612643
1181.820807,0.2902301245
1193.349245,0.2874263351
1204.99014,0.284649632
1216.744591,0.2818997534
1228.613703,0.2791764402
1240.598597,0.2764794357
1252.700401,0.2738084859
1264.920255,0.271163339
1277.259312,0.2685437457
1289.718735,0.2659494592
1302.299696,0.263380235
1315.003383,0.2608358309
1327.830991,0.2583160073
1340.783731,0.2558205266
1353.862821,0.2533491537
1367.069496,0.2509016556
1380.405,0.2484778018
1393.870589,0.2460773638
1407.467532,0.2437001154
1421.197111,0.2413458326
1435.060619,0.2390142935
1449.059363,0.2367052785
1463.194662,0.2344185698
1477.467848,0.232153952
1491.880267,0.2299112118
1506.433276,0.2276901377
1521.128247,0.2254905205
1535.966564,0.2233121528
1550.949626,0.2211548294
1566.078846,0.219018347
1581.355648,0.2169025042
1596.781472,0.2148071017
1612.357772,0.2127319419
1628.086017,0.2106768294
1643.967687,0.2086415705
1660.00428,0.2066259733
1676.197306,0.204629848
1692.548293,0.2026530064
1709.05878,0.2006952622
1725.730325,0.1987564309
1742.564497,0.1968363298
1759.562883,0.1949347781
1776.727085,0.1930515964
1794.05872,0.1911866073
1811.559423,0.1893396351
1829.230841,0.1875105057
1847.074641,0.1856990467
1865.092504,0.1839050875
1883.286127,0.1821284589
1901.657226,0.1803689936
1920.207531,0.1786265257
1938.938791,0.1769008911
1957.852771,0.1751919271
1976.951254,0.1734994727
1996.236038,0.1718233683
2015.708942,0.1701634561
2035.3718,0.1685195795
2055.226466,0.1668915838
2075.27481,0.1652793155
2095.518722,0.1636826225
2115.96011,0.1621013546
2136.600899,0.1605353626
2157.443036,0.1589844989
2178.488483,0.1574486176
2199.739225,0.1559275737
2221.197264,0.1544212239
2242.864621,0.1529294264
2264.74334,0.1514520405
2286.835482,0.1499889269
2309.143128,0.1485399479
2331.668381,0.1471049669
2354.413364,0.1456838486
2377.380219,0.1442764591
2400.571112,0.1428826658
2423.988228,0.1415023374
2447.633773,0.1401353437
2471.509976,0.1387815559
2495.619087,0.1374408465
2519.963378,0.1361130892
2544.545143,0.1347981587
2569.366698,0.1334959312
2594.430382,0.132206284
2619.738559,0.1309290955
2645.293611,0.1296642454
2671.097948,0.1284116145
2697.154002,0.1271710847
2723.464228,0.1259425391
2750.031104,0.124725862
2776.857136,0.1235209387
2803.944851,0.1223276556
2831.296801,0.1211459003
2858.915564,0.1199755615
2886.803743,0.1188165288
2914.963965,0.117668693
2943.398886,0.116531946
2972.111183,0.1154061806
3001.103564,0.1142912907
3030.37876,0.1131871714
3059.93953,0.1120937184
3089.788659,0.1110108288
3119.928961,0.1099384006
3150.363276,0.1088763326
3181.094472,0.1078245249
3212.125445,0.1067828781
3243.45912,0.1057512943
3275.098448,0.1047296762
3307.046412,0.1037179275
3339.306022,0.1027159529
3371.880319,0.1017236579
3404.772372,0.100740949
3437.98528,0.09976773373
3471.522174,0.09880392023
3505.386214,0.09784941773
3539.580592,0.09690413627
3574.108529,0.09596798676
3608.973279,0.095040881
3644.178129,0.09412273161
3679.726395,0.09321345208
3715.621428,0.0923129567
3751.86661,0.09142116062
3788.465357,0.09053797981
3825.421118,0.08966333103
3862.737375,0.08879713185
3900.417645,0.08793930066
3938.465479,0.08708975661
3976.884463,0.08624841964
4015.678216,0.08541521047
4054.850395,0.08459005057
4094.404691,0.0837728622
4134.344832,0.08296356833
4174.674582,0.0821620927
4215.39774,0.08136835979
4256.518145,0.0805822948
4298.039672,0.07980382364
4339.966234,0.07903287296
4382.301781,0.0782693701
4425.050303,0.07751324312
4468.215829,0.07676442076
4511.802427,0.07602283246
4555.814204,0.07528840832
4600.255307,0.07456107914
4645.129925,0.07384077638
4690.442286,0.07312743215
4736.19666,0.07242097924
4782.39736,0.07172135107
4829.048739,0.0710284817
4876.155193,0.07034230586
4923.721162,0.06966275886
4971.751128,0.06898977668
5020.249616,0.06832329589
5069.221199,0.06766325369
5118.67049,0.06700958788
5168.602149,0.06636223685
5219.020883,0.0657211396
5269.931441,0.06508623572
5321.338622,0.06445746537
5373.247271,0.06383476931
5425.662279,0.06321808885
5478.588585,0.06260736587
5532.031177,0.06200254283
5585.995091,0.06140356273
5640.485414,0.06081036912
5695.507279,0.06022290609
5751.065872,0.0596411183
5807.166428,0.05906495091
5863.814235,0.05849434963
5921.01463,0.05792926068
5978.773004,0.05736963082
6037.0948,0.0568154073
6095.985515,0.0562665379
6155.450697,0.05572297089
6215.495951,0.05518465505
6276.126934,0.05465153965
6337.349362,0.05412357445
6399.169002,0.0536007097
6461.591682,0.05308289612
6524.623283,0.05257008491
6588.269745,0.05206222776
6652.537066,0.0515592768
6717.431303,0.05106118463
6782.958571,0.05056790432
6849.125045,0.05007938938
6915.93696,0.04959559377
6983.400613,0.04911647191
7051.522361,0.04864197863
7120.308623,0.04817206924
7189.765883,0.04770669944
7259.900685,0.04724582537
7330.719639,0.04678940362
7402.229418,0.04633739116
7474.436762,0.0458897454
7547.348474,0.04544642416
7620.971426,0.04500738565
7695.312557,0.0445725885
7770.378871,0.04414199175
7846.177442,0.04371555481
7922.715414,0.04329323749
8000,0.042875
