time_s,level_relative_dB,shown
0,-0,1
0.002,-0.2,1
0.004,-0.4,1
0.006,-0.6,1
0.008,-0.8,1
0.01,-1,1
0.012,-1.2,1
0.014,-1.4,1
0.016,-1.6,1
0.018,-1.8,1
0.02,-2,1
0.022,-2.2,1
0.024,-2.4,1
0.026,-2.6,1
0.028,-2.8,1
0.03,-3,1
0.032,-3.2,1
0.034,-3.4,1
0.036,-3.6,1
0.038,-3.8,1
0.04,-4,1
0.042,-4.2,1
0.044,-4.4,1
0.046,-4.6,1
0.048,-4.8,1
0.05,-5,1
0.052,-5.2,1
0.054,-5.4,1
0.056,-5.6,1
0.058,-5.8,1
0.06,-6,1
0.062,-6.2,1
0.064,-6.4,1
0.066,-6.6,1
0.068,-6.8,1
0.07,-7,1
0.072,-7.2,1
0.074,-7.4,1
0.076,-7.6,1
0.078,-7.8,1
0.08,-8,1
0.082,-8.2,1
0.084,-8.4,1
0.086,-8.6,1
0.088,-8.8,1
0.09,-9,1
0.092,-9.2,1
0.094,-9.4,1
0.096,-9.6,1
0.098,-9.8,1
0.1,-10,1
0.102,-10.2,1
0.104,-10.4,1
0.106,-10.6,1
0.108,-10.8,1
0.11,-11,1
0.112,-11.2,1
0.114,-11.4,1
0.116,-11.6,1
0.118,-11.8,1
0.12,-12,1
0.122,-12.2,1
0.124,-12.4,1
0.126,-12.6,1
0.128,-12.8,1
0.13,-13,1
0.132,-13.2,1
0.134,-13.4,1
0.136,-13.6,1
0.138,-13.8,1
0.14,-14,1
0.142,-14.2,1
0.144,-14.4,1
0.146,-14.6,1
0.148,-14.8,1
0.15,-15,1
0.152,-15.2,1
0.154,-15.4,1
0.156,-15.6,1
0.158,-15.8,1
0.16,-16,1
0.162,-16.2,1
0.164,-16.4,1
0.166,-16.6,1
0.168,-16.8,1
0.17,-17,1
0.172,-17.2,1
0.174,-17.4,1
0.176,-17.6,1
0.178,-17.8,1
0.18,-18,1
0.182,-18.2,1
0.184,-18.4,1
0.186,-18.6,1
0.188,-18.8,1
0.19,-19,1
0.192,-19.2,1
0.194,-19.4,1
0.196,-19.6,1
0.198,-19.8,1
0.2,-20,1
0.202,-20.2,1
0.204,-20.4,1
0.206,-20.6,1
0.208,-20.8,1
0.21,-21,1
0.212,-21.2,1
0.214,-21.4,1
0.216,-21.6,1
