tau_E,R_dB
1,0
0.977237221,0.1
0.954992586,0.2
0.9332543008,0.3
0.9120108394,0.4
0.8912509381,0.5
0.87096359,0.6
0.8511380382,0.7
0.8317637711,0.8
0.8128305162,0.9
0.7943282347,1
0.7762471166,1.1
0.758577575,1.2
0.7413102413,1.3
0.7244359601,1.4
0.7079457844,1.5
0.6918309709,1.6
0.6760829754,1.7
0.660693448,1.8
0.645654229,1.9
0.6309573445,2
0.6165950019,2.1
0.6025595861,2.2
0.5888436554,2.3
0.5754399373,2.4
0.5623413252,2.5
0.5495408739,2.6
0.5370317964,2.7
0.5248074602,2.8
0.512861384,2.9
0.5011872336,3
0.4897788194,3.1
0.4786300923,3.2
0.4677351413,3.3
0.4570881896,3.4
0.4466835922,3.5
0.4365158322,3.6
0.4265795188,3.7
0.4168693835,3.8
0.4073802778,3.9
0.3981071706,4
0.389045145,4.1
0.3801893963,4.2
0.3715352291,4.3
0.3630780548,4.4
0.3548133892,4.5
0.3467368505,4.6
0.3388441561,4.7
0.3311311215,4.8
0.3235936569,4.9
0.316227766,5
0.3090295433,5.1
0.301995172,5.2
0.2951209227,5.3
0.2884031503,5.4
0.2818382931,5.5
0.2754228703,5.6
0.2691534804,5.7
0.2630267992,5.8
0.2570395783,5.9
0.2511886432,6
0.2454708916,6.1
0.2398832919,6.2
0.2344228815,6.3
0.2290867653,6.4
0.2238721139,6.5
0.2187761624,6.6
0.213796209,6.7
0.2089296131,6.8
0.2041737945,6.9
0.1995262315,7
0.19498446,7.1
0.1905460718,7.2
0.1862087137,7.3
0.1819700859,7.4
0.177827941,7.5
0.1737800829,7.6
0.1698243652,7.7
0.1659586907,7.8
0.1621810097,7.9
0.1584893192,8
0.1548816619,8.1
0.1513561248,8.2
0.1479108388,8.3
0.1445439771,8.4
0.1412537545,8.5
0.1380384265,8.6
0.1348962883,8.7
0.1318256739,8.8
0.1288249552,8.9
0.1258925412,9
0.1230268771,9.1
0.1202264435,9.2
0.1174897555,9.3
0.1148153621,9.4
0.1122018454,9.5
0.1096478196,9.6
0.1071519305,9.7
0.1047128548,9.8
0.1023292992,9.9
0.1,10
0.0977237221,10.1
0.0954992586,10.2
0.09332543008,10.3
0.09120108394,10.4
0.08912509381,10.5
0.087096359,10.6
0.08511380382,10.7
0.08317637711,10.8
0.08128305162,10.9
0.07943282347,11
0.07762471166,11.1
0.0758577575,11.2
0.07413102413,11.3
0.07244359601,11.4
0.07079457844,11.5
0.06918309709,11.6
0.06760829754,11.7
0.0660693448,11.8
0.0645654229,11.9
0.06309573445,12
0.06165950019,12.1
0.06025595861,12.2
0.05888436554,12.3
0.05754399373,12.4
0.05623413252,12.5
0.05495408739,12.6
0.05370317964,12.7
0.05248074602,12.8
0.0512861384,12.9
0.05011872336,13
0.04897788194,13.1
0.04786300923,13.2
0.04677351413,13.3
0.04570881896,13.4
0.04466835922,13.5
0.04365158322,13.6
0.04265795188,13.7
0.04168693835,13.8
0.04073802778,13.9
0.03981071706,14
0.0389045145,14.1
0.03801893963,14.2
0.03715352291,14.3
0.03630780548,14.4
0.03548133892,14.5
0.03467368505,14.6
0.03388441561,14.7
0.03311311215,14.8
0.03235936569,14.9
0.0316227766,15
0.03090295433,15.1
0.0301995172,15.2
0.02951209227,15.3
0.02884031503,15.4
0.02818382931,15.5
0.02754228703,15.6
0.02691534804,15.7
0.02630267992,15.8
0.02570395783,15.9
0.02511886432,16
0.02454708916,16.1
0.02398832919,16.2
0.02344228815,16.3
0.02290867653,16.4
0.02238721139,16.5
0.02187761624,16.6
0.0213796209,16.7
0.02089296131,16.8
0.02041737945,16.9
0.01995262315,17
0.019498446,17.1
0.01905460718,17.2
0.01862087137,17.3
0.01819700859,17.4
0.0177827941,17.5
0.01737800829,17.6
0.01698243652,17.7
0.01659586907,17.8
0.01621810097,17.9
0.01584893192,18
0.01548816619,18.1
0.01513561248,18.2
0.01479108388,18.3
0.01445439771,18.4
0.01412537545,18.5
0.01380384265,18.6
0.01348962883,18.7
0.01318256739,18.8
0.01288249552,18.9
0.01258925412,19
0.01230268771,19.1
0.01202264435,19.2
0.01174897555,19.3
0.01148153621,19.4
0.01122018454,19.5
0.01096478196,19.6
0.01071519305,19.7
0.01047128548,19.8
0.01023292992,19.9
0.01,20
0.00977237221,20.1
0.00954992586,20.2
0.009332543008,20.3
0.009120108394,20.4
0.008912509381,20.5
0.0087096359,20.6
0.008511380382,20.7
0.008317637711,20.8
0.008128305162,20.9
0.007943282347,21
0.007762471166,21.1
0.00758577575,21.2
0.007413102413,21.3
0.007244359601,21.4
0.007079457844,21.5
0.006918309709,21.6
0.006760829754,21.7
0.00660693448,21.8
0.00645654229,21.9
0.006309573445,22
0.006165950019,22.1
0.006025595861,22.2
0.005888436554,22.3
0.005754399373,22.4
0.005623413252,22.5
0.005495408739,22.6
0.005370317964,22.7
0.005248074602,22.8
0.00512861384,22.9
0.005011872336,23
0.004897788194,23.1
0.004786300923,23.2
0.004677351413,23.3
0.004570881896,23.4
0.004466835922,23.5
0.004365158322,23.6
0.004265795188,23.7
0.004168693835,23.8
0.004073802778,23.9
0.003981071706,24
0.00389045145,24.1
0.003801893963,24.2
0.003715352291,24.3
0.003630780548,24.4
0.003548133892,24.5
0.003467368505,24.6
0.003388441561,24.7
0.003311311215,24.8
0.003235936569,24.9
0.00316227766,25
0.003090295433,25.1
0.00301995172,25.2
