sample,p_A_mPa,p_B_mPa
0,1.25142255439,-1
1,-1.25433263904,1
2,0.407841851502,-1
3,-1.62775535979,1
4,-0.248315533042,-1
5,-0.208706170052,1
6,0.63726805614,-1
7,-0.658981911678,1
8,0.658916080951,-1
9,-0.9474249666,1
10,-0.664366277824,-1
11,-1.1055007785,1
12,1.81281298224,-1
13,-2.51680220918,1
14,0.648276042285,-1
15,-1.72174141067,1
16,0.0307273910773,-1
17,0.181528168686,1
18,1.08024702678,-1
19,0.713780879159,1
20,-1.12916832161,-1
21,0.380588083843,1
22,0.993796903941,-1
23,1.57888070682,1
24,-0.513639200496,-1
25,-0.529043409709,1
26,0.276672591959,-1
27,-1.20325537412,1
28,0.565291719428,-1
29,1.26586476439,1
30,-0.579231377393,-1
31,0.669973706202,1
32,0.740240865546,-1
33,1.32709433093,1
34,-0.631555946464,-1
35,-1.32732199176,1
36,-1.86230137088,-1
37,0.442794357113,1
38,1.11626707334,-1
39,0.435746729407,1
40,0.970567703279,-1
41,-0.817621058876,1
42,0.686907059737,-1
43,-1.50055619034,1
44,-0.757421278347,-1
45,-2.2952818598,1
46,0.241657368979,-1
47,-0.242412711601,1
48,-0.772873330713,-1
49,-0.0266772801808,1
50,-1.1106145483,-1
51,1.93019270382,1
52,-0.875838993482,-1
53,2.11674508892,1
54,0.987336445106,-1
55,0.422850584686,1
56,1.799739745,-1
57,0.33366171767,1
58,0.374107542395,-1
59,1.48313721951,1
60,-0.39959910712,-1
61,0.633282458622,1
62,3.01617774717,-1
63,0.324871806523,1
64,-0.899315494812,-1
65,-0.939736422917,1
66,-0.987951368008,-1
67,0.183846794133,1
68,1.14706144647,-1
69,0.914073048087,1
70,-1.12192783556,-1
71,0.804423844335,1
72,1.82662849321,-1
73,-0.569178045764,1
74,1.24080666012,-1
75,1.39122082238,1
76,1.3532976093,-1
77,-2.37670215842,1
78,0.471156100395,-1
79,-0.0832373707051,1
80,0.120648687769,-1
81,-1.1390914952,1
82,2.47054309218,-1
83,-0.291879283821,1
84,1.03808214536,-1
85,0.876402321187,1
86,-0.144381058854,-1
87,0.182324543223,1
88,1.48256500414,-1
89,-1.28148982747,1
90,-1.22047958438,-1
91,-0.209735172305,1
92,0.961854050501,-1
93,-0.629936578225,1
94,1.03671874591,-1
95,-0.291870868647,1
96,-1.36482933751,-1
97,-0.146070233278,1
98,-0.762248673768,-1
99,0.099616308915,1
100,-1.55382112066,-1
101,0.4643239735,1
102,0.457196254213,-1
103,-0.490440641326,1
104,-1.07539740638,-1
105,-0.714144479938,1
106,-1.63696208329,-1
107,0.376299984072,1
108,-1.55222732501,-1
109,-0.851388139974,1
110,-0.775928652974,-1
111,1.43452489537,1
112,-0.430820753774,-1
113,-0.10012169732,1
114,-0.675509281906,-1
115,1.75865648252,1
116,2.30376569388,-1
117,0.515468381961,1
118,0.176052129862,-1
119,-0.369339846145,1
120,0.799138013462,-1
121,0.334017351487,1
122,-0.470888908978,-1
123,-1.84897716962,1
124,-0.606659130576,-1
125,-0.0454920727259,1
126,0.298754342115,-1
127,0.287682225464,1
128,0.00324072886163,-1
129,-0.115430667836,1
130,-0.636678090625,-1
131,0.360024448193,1
132,-1.1635225653,-1
133,-0.398854871973,1
134,0.641467259502,-1
135,0.684258083825,1
136,-0.191252214592,-1
137,-0.606063047071,1
138,0.310126691398,-1
139,0.478715457909,1
140,-1.1743840631,-1
141,-0.156810757207,1
142,0.779379419428,-1
143,-0.737226560768,1
144,0.155907281972,-1
145,-0.560040590054,1
146,-0.95604653839,-1
147,0.443636914262,1
148,0.877943460324,-1
149,0.279722418496,1
150,0.282502247799,-1
151,-0.061873100022,1
152,0.848438741441,-1
153,1.18386484503,1
154,1.83928739392,-1
155,1.83369958943,1
156,1.143234825,-1
157,-0.248067456783,1
158,-0.532165431196,-1
159,-0.771762940227,1
160,1.14879637674,-1
161,0.0124609832433,1
162,0.321984333082,-1
163,0.689797705567,1
164,0.192500409272,-1
165,-0.824279526317,1
166,-0.554018316284,-1
167,0.794614223439,1
168,0.45716142535,-1
169,-1.16486442553,1
170,0.0822097279203,-1
171,0.106547101882,1
172,1.89607314655,-1
173,0.846166235605,1
174,-0.62240907284,-1
175,0.242195766078,1
176,-1.86916897969,-1
177,-1.33380750765,1
178,0.0596770518828,-1
179,0.0400812746759,1
180,2.02137402607,-1
181,1.95228463426,1
182,-0.837539278927,-1
183,0.526241148801,1
184,1.01310445467,-1
185,0.215643445946,1
186,0.371176647074,-1
187,0.990424599001,1
188,0.33529182193,-1
189,0.523460925645,1
190,-1.57558447689,-1
191,0.0961115928477,1
192,-0.738632459447,-1
193,0.442550140415,1
194,0.608281513758,-1
195,-0.966494671422,1
196,-2.1864187586,-1
197,-0.676227642423,1
198,1.21666910102,-1
199,1.29276301643,1
200,2.24266028718,-1
201,-1.03153069411,1
202,1.21794773432,-1
203,-1.968233737,1
204,-0.809895489568,-1
205,-1.67154480493,1
206,-0.0829031389343,-1
207,-1.67416979497,1
208,1.62142581467,-1
209,-0.434447786423,1
210,-0.276956000057,-1
211,0.0372409990895,1
212,0.194066903883,-1
213,-1.26811603226,1
214,-0.64973090233,-1
215,-1.53521252504,1
216,0.768973397386,-1
217,2.06045167054,1
218,-0.291452654135,-1
219,1.28783277391,1
220,-0.725020297133,-1
221,0.40788464204,1
222,-0.496785351322,-1
223,-0.807928317327,1
224,1.24490716182,-1
225,-2.4705575034,1
226,-0.0913229945703,-1
227,0.643207181897,1
228,-0.615580326145,-1
229,-0.603226895868,1
230,-0.630246093902,-1
231,-0.62845038008,1
232,0.788642691068,-1
233,2.62114116419,1
234,-0.182504342939,-1
235,-0.346813301038,1
236,-0.557444174617,-1
237,0.38126962342,1
238,0.90753168658,-1
239,-0.625179476346,1
240,1.9211459763,-1
241,-1.8504531561,1
242,0.884635079491,-1
243,0.627736688477,1
244,1.20280999951,-1
245,-0.21361904296,1
246,0.0674919250198,-1
247,0.34877625797,1
248,1.19579989328,-1
249,-0.460040084551,1
250,0.789132469665,-1
251,1.35508178875,1
252,0.0652962149772,-1
253,0.0458228471058,1
254,0.304155173691,-1
255,0.435791167066,1
256,-1.1861725154,-1
257,0.268674357436,1
258,0.79656467302,-1
259,2.97771322358,1
260,0.597513282103,-1
261,-0.771279289844,1
262,0.605223895902,-1
263,1.17556786657,1
264,0.0652876971539,-1
265,-1.17369333928,1
266,0.430899187121,-1
267,0.238758719021,1
268,-0.544422507193,-1
269,0.465075195244,1
270,0.530715539185,-1
271,1.96734373695,1
272,0.564070267936,-1
273,-0.170145492703,1
274,-0.81404349738,-1
275,0.743954027492,1
276,0.266514052381,-1
277,-1.42642385433,1
278,0.391395557295,-1
279,0.672777716679,1
280,-0.77922890471,-1
281,-1.02709110128,1
282,-0.678060736708,-1
283,-1.16353820876,1
284,-0.602053617659,-1
285,0.937154838868,1
286,3.31232033976,-1
287,-0.24952491231,1
288,0.035642007339,-1
289,-0.675621265808,1
290,-0.429886461808,-1
291,-0.979342492282,1
292,-1.61132688129,-1
293,-0.139184512946,1
294,-1.67713932258,-1
295,0.185400549127,1
296,0.174196057834,-1
297,0.536778643815,1
298,-0.599106310205,-1
299,-0.368854529955,1
300,-1.61079813179,-1
301,-0.922634796802,1
302,-0.932731779576,-1
303,1.48699763056,1
304,0.127225496873,-1
305,-0.735265013535,1
306,0.328276224439,-1
307,0.88518064191,1
308,-0.41911013558,-1
309,-0.0425357065694,1
310,-0.515281521933,-1
311,0.943398230687,1
312,0.796306521292,-1
313,-1.61498777072,1
314,0.732829243507,-1
315,-0.601309004359,1
316,1.0702659895,-1
317,-0.387234565507,1
318,1.28776946597,-1
319,0.421277619791,1
320,0.60459501484,-1
321,-1.7302544659,1
322,-0.951757657433,-1
323,-1.35082190995,1
324,-0.686127141645,-1
325,-0.428011340329,1
326,-2.06634457755,-1
327,0.0508013048348,1
328,0.739137992384,-1
329,0.361181657215,1
330,-0.755660216357,-1
331,0.410395272032,1
332,1.31643003168,-1
333,0.305788259772,1
334,0.99427839869,-1
335,-0.721056076755,1
336,0.546950461903,-1
337,-2.16827533874,1
338,1.39224484246,-1
339,0.603662922786,1
340,1.44196827933,-1
341,1.05252924864,1
342,0.671738723913,-1
343,-1.19959962914,1
344,1.07298096528,-1
345,-0.366490001644,1
346,-0.0609336956766,-1
347,0.0698156152128,1
348,0.6661491897,-1
349,0.408744839484,1
350,-0.630999889881,-1
351,0.304028812069,1
352,1.36265948531,-1
353,-0.0896310291627,1
354,-0.818312400911,-1
355,-0.373161394006,1
356,-0.209719303553,-1
357,-1.73109012933,1
358,-2.03826700506,-1
359,-0.530733072108,1
360,-2.18162119021,-1
361,-0.0332064039722,1
362,-0.25859425545,-1
363,0.766659763407,1
364,1.25463762596,-1
365,-0.830871015833,1
366,-1.73612813957,-1
367,0.988944325028,1
368,0.892212935768,-1
369,1.6073958551,1
370,2.41932759413,-1
371,-0.212452351702,1
372,0.0328247030988,-1
373,1.29353489361,1
374,-0.679735149995,-1
375,2.07027664904,1
376,2.4275886343,-1
377,-0.283359746138,1
378,0.0575324418297,-1
379,-0.391914619456,1
380,-0.0355757563654,-1
381,0.7258699844,1
382,1.37697261126,-1
383,-1.64535291343,1
384,-1.13253615936,-1
385,-1.21095612669,1
386,-1.42684593597,-1
387,0.734590574755,1
388,-0.676631973599,-1
389,0.374318078757,1
390,0.331086470692,-1
391,1.19929007162,1
392,1.14967043084,-1
393,0.113996383792,1
394,1.56813621293,-1
395,-0.205888595072,1
396,1.40070860458,-1
397,-0.46416342363,1
398,0.188579995453,-1
399,-0.491047469006,1
400,-0.484869284559,-1
401,-0.686612676118,1
402,-1.22388957415,-1
403,0.0338453489765,1
404,-0.325865862453,-1
405,0.706787088799,1
406,0.195668294314,-1
407,-1.18114685,1
408,-1.89431870578,-1
409,0.725458558913,1
410,-0.445373403029,-1
411,0.242149482829,1
412,-0.504345439853,-1
413,0.780295413874,1
414,-0.104168378261,-1
415,-0.984511524309,1
416,-0.313618900462,-1
417,-1.07060158948,1
418,-0.819693978285,-1
419,-1.30265613159,1
420,-1.8628800567,-1
421,-0.0917633058661,1
422,-0.401934194021,-1
423,0.0695997024479,1
424,-0.883002000795,-1
425,1.08306872082,1
426,0.399871719383,-1
427,-1.47693136043,1
428,1.41046897091,-1
429,-0.808999261221,1
430,-0.538386696013,-1
431,-0.970890540993,1
432,-1.25140197454,-1
433,-3.18601691929,1
434,-1.03285709036,-1
435,-0.491930570886,1
436,-1.04099832992,-1
437,-0.0911698330942,1
438,0.257375824008,-1
439,0.519664087399,1
440,-0.0415088609532,-1
441,-1.11836571206,1
442,0.106316422992,-1
443,1.16087048228,1
444,-1.42120060447,-1
445,0.655241423932,1
446,2.28859373453,-1
447,1.08443078708,1
448,-2.50599752355,-1
449,-1.52511592684,1
450,0.636605511411,-1
451,-0.472080019995,1
452,-0.907989562367,-1
453,0.155945169283,1
454,-0.194574614115,-1
455,0.830650744311,1
456,0.828065575657,-1
457,0.16622782595,1
458,0.0871453413108,-1
459,-1.88766944864,1
460,1.60119887795,-1
461,0.702905969375,1
462,0.747050762988,-1
463,0.349487014196,1
464,3.15255406429,-1
465,-0.125091641986,1
466,1.47549828549,-1
467,0.345129003966,1
468,0.277692587988,-1
469,-0.232048268891,1
470,-2.27224619833,-1
471,-1.25652194093,1
472,1.56128140179,-1
473,1.32595129201,1
474,1.65584300857,-1
475,0.0819847380083,1
476,1.36183087919,-1
477,-0.0828332093851,1
478,-0.709659411417,-1
479,0.0982385210598,1
480,-0.0791942627666,-1
481,1.41128749691,1
482,-1.31902277232,-1
483,-0.795682170945,1
484,0.886134332597,-1
485,1.19343239108,1
486,-1.76959398454,-1
487,-0.145771776238,1
488,-1.83839883465,-1
489,0.372617176901,1
490,0.674594305442,-1
491,-0.805394929248,1
492,-0.696257561982,-1
493,1.12790389914,1
494,0.379388380683,-1
495,0.577471072505,1
496,-1.03420903906,-1
497,-0.974977736228,1
498,0.842796088025,-1
499,0.521997212033,1
500,0.0596715652839,-1
501,-0.0709197164309,1
502,-0.447590539734,-1
503,1.81940404796,1
504,0.710376722075,-1
505,-0.651211818471,1
506,1.33126910179,-1
507,1.34269443425,1
508,-0.834042127691,-1
509,0.803656782623,1
510,0.586533960541,-1
511,-1.79720244319,1
512,0.326330605855,-1
513,1.01795018935,1
514,-1.76221760765,-1
515,-0.0386001288468,1
516,-0.422380124465,-1
517,0.301185528098,1
