f_Hz,Spp_Pa2_per_Hz
0,2.389795577e-13
7.8125,1.19209841303e-13
15.625,1.14891860385e-19
23.4375,1.23579069583e-19
31.25,1.36449578628e-19
39.0625,1.542940395e-19
46.875,1.78257856713e-19
54.6875,2.09992228391e-19
62.5,2.5166803883e-19
70.3125,3.06949068429e-19
78.125,3.79011582383e-19
85.9375,4.82515837565e-19
93.75,6.24487096701e-19
101.5625,8.17325341816e-19
109.375,1.3936632219e-18
117.1875,2.96388305518e-18
125,7.23181632062e-18
132.8125,2.75433073991e-17
140.625,1.36601975899e-16
148.4375,5.71523408826e-16
156.25,1.86696579614e-15
164.0625,4.96954345369e-15
171.875,2.05912282162e-14
179.6875,6.92646772268e-14
187.5,1.75605150666e-13
195.3125,5.16554781757e-13
203.125,1.31393839444e-12
210.9375,4.16802957996e-12
218.75,9.45038660005e-12
226.5625,1.57619196203e-11
234.375,3.0893165799e-11
242.1875,5.44367607334e-11
250,7.12563484683e-11
257.8125,1.11955364587e-10
265.625,2.16768025815e-10
273.4375,2.28926355201e-10
281.25,3.07845873158e-10
289.0625,3.20700595909e-10
296.875,2.32903515451e-10
304.6875,2.80719671302e-10
312.5,2.52358507222e-10
320.3125,2.24195746325e-10
328.125,2.62525925631e-10
335.9375,2.5065871752e-10
343.75,2.94054944665e-10
351.5625,3.20632744799e-10
359.375,3.18793727464e-10
367.1875,2.5469038008e-10
375,2.46002253034e-10
382.8125,3.2203480337e-10
390.625,3.74210448628e-10
398.4375,3.21894665132e-10
406.25,3.5819523634e-10
414.0625,3.51206174618e-10
421.875,2.14465493386e-10
429.6875,2.26174675474e-10
437.5,3.70402566734e-10
445.3125,3.9446814627e-10
453.125,2.39888191151e-10
460.9375,2.64709829695e-10
468.75,3.02152184021e-10
476.5625,2.75629971867e-10
484.375,2.76549863273e-10
492.1875,2.97874558398e-10
500,2.97302361228e-10
507.8125,2.92800786941e-10
515.625,3.71330083856e-10
523.4375,3.48042859148e-10
531.25,2.96439740019e-10
539.0625,2.42662642721e-10
546.875,2.91522707637e-10
554.6875,4.11159005939e-10
562.5,3.67864897914e-10
570.3125,2.887738866e-10
578.125,2.30374697842e-10
585.9375,3.16834852264e-10
593.75,3.61959388175e-10
601.5625,2.86107011074e-10
609.375,3.09900912887e-10
617.1875,2.50613079677e-10
625,2.87900531896e-10
632.8125,3.0749199305e-10
640.625,3.49815458161e-10
648.4375,3.51154584737e-10
656.25,3.17230215571e-10
664.0625,2.9516429273e-10
671.875,3.428565339e-10
679.6875,3.37695827157e-10
687.5,2.89869028182e-10
695.3125,2.66074454408e-10
703.125,2.97681786068e-10
710.9375,3.09127119168e-10
718.75,2.50558888027e-10
726.5625,2.81930183143e-10
734.375,3.11044751988e-10
742.1875,2.99394533728e-10
750,3.36380426844e-10
757.8125,2.91707101837e-10
765.625,3.93531121227e-10
773.4375,4.25831254765e-10
781.25,3.12905765783e-10
789.0625,2.30737680572e-10
796.875,2.11068284291e-10
804.6875,2.95711237871e-10
812.5,2.46702220114e-10
820.3125,3.22524010645e-10
828.125,3.65151072777e-10
835.9375,2.63265659532e-10
843.75,3.30671171832e-10
851.5625,4.26589204569e-10
859.375,4.6163059662e-10
867.1875,3.76969350338e-10
875,2.98202163627e-10
882.8125,2.31975337879e-10
890.625,2.66483566042e-10
898.4375,3.61376414452e-10
906.25,3.0676276967e-10
914.0625,2.66876797615e-10
921.875,3.5725846455e-10
929.6875,3.41597616752e-10
937.5,2.68617064453e-10
945.3125,2.91039053732e-10
953.125,3.0721752243e-10
960.9375,2.57204571293e-10
968.75,1.93229458679e-10
976.5625,2.87842431087e-10
984.375,4.35480917673e-10
992.1875,3.71443124216e-10
1000,3.72427362227e-10
1007.8125,3.5535604386e-10
1015.625,3.38800927386e-10
1023.4375,3.35291129353e-10
1031.25,3.52372614887e-10
1039.0625,3.63969635236e-10
1046.875,3.08578389207e-10
1054.6875,3.31736077778e-10
1062.5,3.24510757342e-10
1070.3125,3.05365360175e-10
1078.125,3.09831205395e-10
1085.9375,2.39979799688e-10
1093.75,2.41559536726e-10
1101.5625,3.27065253544e-10
1109.375,3.598118224e-10
1117.1875,3.56117176147e-10
1125,3.62756507764e-10
1132.8125,3.51814754212e-10
1140.625,4.26416771119e-10
1148.4375,4.38993324127e-10
1156.25,3.21271829064e-10
1164.0625,3.44678646309e-10
1171.875,3.25780730998e-10
1179.6875,3.65639640373e-10
1187.5,4.0858197006e-10
1195.3125,2.85780784026e-10
1203.125,2.22780804961e-10
1210.9375,2.75806445393e-10
1218.75,3.15590778997e-10
1226.5625,2.83880999974e-10
1234.375,2.47417737176e-10
1242.1875,2.59468172756e-10
1250,3.864075568e-10
1257.8125,3.317040952e-10
1265.625,3.33806889912e-10
1273.4375,4.07523129861e-10
1281.25,3.84325646568e-10
1289.0625,2.89242923951e-10
1296.875,2.78582567468e-10
1304.6875,3.09212787305e-10
1312.5,4.30611519112e-10
1320.3125,3.42074302096e-10
1328.125,2.09657719464e-10
1335.9375,2.14143653659e-10
1343.75,3.26158188485e-10
1351.5625,2.52228747319e-10
1359.375,2.58770867661e-10
1367.1875,3.00199976327e-10
1375,2.66456450695e-10
1382.8125,3.22490796658e-10
1390.625,3.64856258292e-10
1398.4375,3.75772529779e-10
1406.25,3.39451210578e-10
1414.0625,3.58140031654e-10
1421.875,4.27115688877e-10
1429.6875,3.13871150764e-10
1437.5,3.21428124759e-10
1445.3125,3.38437291379e-10
1453.125,2.63488653897e-10
1460.9375,2.98307978047e-10
1468.75,2.83471790893e-10
1476.5625,3.65522048407e-10
1484.375,3.24264424509e-10
1492.1875,2.65949460588e-10
1500,2.81084105644e-10
1507.8125,3.37624341882e-10
1515.625,3.85102033369e-10
1523.4375,2.98911205198e-10
1531.25,2.36606615149e-10
1539.0625,4.26296033123e-10
1546.875,3.48479350863e-10
1554.6875,2.77346243306e-10
1562.5,3.16529186986e-10
1570.3125,3.54399251289e-10
1578.125,3.00587803577e-10
1585.9375,2.8530210744e-10
1593.75,3.51308402457e-10
1601.5625,3.9097127839e-10
1609.375,3.64370348503e-10
1617.1875,2.70724313914e-10
1625,2.91904044267e-10
1632.8125,3.13764240172e-10
1640.625,3.69700799804e-10
1648.4375,3.64701892105e-10
1656.25,3.63234286702e-10
1664.0625,3.75968325117e-10
1671.875,3.66096023908e-10
1679.6875,3.24159414752e-10
1687.5,3.42949632585e-10
1695.3125,3.12926037345e-10
