t_s,p_Pa,L_fast_dB_SPL
0,3.52244442462e-05,-25.0858882097
0.000125,2.25693737335e-05,-23.5951264884
0.00025,-1.9979915331e-05,-22.7057719393
0.000375,4.44565403679e-05,-19.8731817344
0.0005,5.17484809838e-05,-17.7012777229
0.000625,5.66036022425e-05,-16.0264428789
0.00075,7.89275862967e-05,-13.924639243
0.000875,7.95200229365e-05,-12.4974040928
0.001,5.18533066154e-05,-12.0114178911
0.001125,9.04204060029e-05,-10.7937283495
0.00125,6.31588467131e-05,-10.306729166
0.001375,4.16334275359e-05,-10.1135635693
0.0015,7.68268589122e-05,-9.50509990981
0.001625,4.02389820013e-05,-9.35526787751
0.00175,8.1526035102e-05,-8.77797066503
0.001875,-1.26266910293e-05,-8.76926197503
0.002,4.7523656839e-05,-8.59263456129
0.002125,3.74904682188e-06,-8.59587344918
0.00225,1.61097709593e-05,-8.57986053792
0.002375,-1.84346205599e-05,-8.5576654718
0.0025,-1.40249656733e-05,-8.5467064826
0.002625,-1.85747452876e-05,-8.52431195754
0.00275,-2.49871649196e-06,-8.52817208541
0.002875,-5.98794412168e-05,-8.26348952143
0.003,-1.01302331654e-05,-8.26036529848
0.003125,-4.81372901968e-05,-8.0992673043
0.00325,-6.55386021688e-05,-7.81239089559
0.003375,-7.88353800503e-05,-7.42680908526
0.0035,-9.48218029833e-05,-6.92212715382
0.003625,-7.08536102648e-05,-6.66598154572
0.00375,-5.16826738049e-05,-6.5377127039
0.003875,-4.36195444936e-05,-6.44991320206
0.004,-4.16617700741e-05,-6.37178949103
0.004125,-3.56927786197e-05,-6.31652541843
0.00425,-3.23011704391e-05,-6.27260526962
0.004375,-2.53961328567e-05,-6.24735061607
0.0045,-1.05046405891e-05,-6.24664478051
0.004625,3.35517573996e-05,-6.19976380706
0.00475,-3.88049347311e-06,-6.20342495079
0.004875,3.40235656908e-05,-6.15562037704
0.005,-4.77804115071e-05,-6.05882020703
0.005125,1.94093021147e-05,-6.04668080806
0.00525,2.92761030309e-05,-6.01371854158
0.005375,6.14059040256e-05,-5.85748569499
0.0055,2.27388562727e-05,-5.84024386102
0.005625,7.97357557139e-05,-5.58734213858
0.00575,6.40743238107e-05,-5.43316164589
0.005875,5.22309609194e-05,-5.33517827903
0.006,5.25443509345e-05,-5.23826108184
0.006125,8.33346315761e-05,-4.99763421435
0.00625,4.98372997001e-05,-4.91753006373
0.006375,6.17673308435e-05,-4.79514852516
0.0065,1.32595195465e-05,-4.79373410167
0.006625,6.29508868716e-05,-4.67016620317
0.00675,4.02034042352e-05,-4.623350001
0.006875,9.46316943524e-06,-4.62487320804
0.007,3.80955760816e-05,-4.58372766634
0.007125,-1.3360520311e-05,-4.58250282463
0.00725,5.21144194365e-05,-4.50291823956
0.007375,2.70772179854e-06,-4.50703657382
0.0075,-6.36801269602e-07,-4.51136708345
0.007625,-1.80824505588e-05,-4.50568486598
0.00775,-2.12381554359e-05,-4.49622228022
0.007875,-3.85904353483e-05,-4.45524883775
0.008,-7.30246160584e-05,-4.30093883778
0.008125,-4.71771435981e-05,-4.24067703823
0.00825,-8.23554559366e-05,-4.05368599694
0.008375,-3.22422170195e-05,-4.02940510143
0.0085,-7.59809612736e-05,-3.87797946825
0.008625,-6.38980320653e-05,-3.77532980236
0.00875,-5.81738845406e-05,-3.69286015293
0.008875,-4.53259809721e-05,-3.64528444598
0.009,-4.92608831066e-05,-3.5890318014
0.009125,-1.34484310678e-05,-3.58888766909
0.00925,-3.04909078329e-05,-3.57021515274
0.009375,-2.44063406327e-05,-3.55986094264
0.0095,-2.25979732912e-05,-3.55163092086
0.009625,1.12475616175e-05,-3.55286167842
0.00975,7.27190463994e-06,-3.55590307903
0.009875,4.36891855216e-05,-3.51347905278
0.01,4.97427953994e-05,-3.45787753167
0.010125,1.9735499215e-06,-3.46212667261
0.01025,2.89041568453e-05,-3.44637546613
0.010375,1.43711396361e-05,-3.44576033103
0.0105,5.8850718989e-05,-3.36770941413
0.010625,6.82101686467e-05,-3.26366465483
0.01075,6.2512816115e-05,-3.17892673542
0.010875,7.29828433141e-05,-3.06460297856
0.011,6.50013278651e-05,-2.97697729821
0.011125,9.94904065856e-05,-2.77299414281
0.01125,2.24273509713e-05,-2.76700281196
0.011375,3.32811337582e-05,-2.74865218691
0.0115,4.96846289048e-06,-2.75249020826
0.011625,1.52183604042e-05,-2.7520941252
0.01175,5.74817050244e-05,-2.68931739036
0.011875,3.61521808147e-05,-2.66736813369
0.012,-3.52043975299e-05,-2.64690083488
0.012125,4.76363077676e-05,-2.60613610727
0.01225,-1.50392658215e-05,-2.60600413902
0.012375,-3.17567658603e-05,-2.59043034559
0.0125,-8.20679022636e-05,-2.46392372629
0.012625,-0.00010561929008,-2.2596505873
0.01275,-6.11351010159e-05,-2.19621464086
0.012875,-6.68201791679e-05,-2.12087053084
0.013,-7.67955424802e-05,-2.02204854138
0.013125,-4.05868087665e-05,-1.99797994464
0.01325,-0.000124657986192,-1.7428213083
0.013375,-7.23944845032e-05,-1.66294395851
0.0135,-6.72261387249e-05,-1.59588052525
0.013625,-3.98992445367e-05,-1.57532267303
0.01375,-2.26211017356e-05,-1.5716837946
0.013875,-3.69382097962e-05,-1.55479431932
0.014,-1.74092724471e-05,-1.55443023607
0.014125,2.47943991308e-05,-1.54923172768
0.01425,4.25237914252e-05,-1.52560230357
0.014375,-7.18009311796e-06,-1.52914959835
0.0145,1.02056429602e-05,-1.53188391099
0.014625,5.10388267697e-05,-1.49614704066
0.01475,3.20795278986e-05,-1.48474201871
0.014875,7.4458137297e-05,-1.40513208032
0.015,1.54455416181e-06,-1.40943921062
0.015125,5.72915281733e-05,-1.36473525504
0.01525,5.33910486607e-05,-1.32688518543
0.015375,8.64737531533e-05,-1.22234933464
0.0155,5.66176906086e-05,-1.18079532675
0.015625,2.91375681345e-05,-1.17305114345
0.01575,4.69403034059e-05,-1.14614947044
0.015875,5.40283208107e-05,-1.10940174562
0.016,5.70820215496e-05,-1.06828719613
0.016125,8.95195571667e-05,-0.962704706564
0.01625,5.98762362039e-05,-0.918708198864
0.016375,8.37307561701e-06,-0.922110261408
0.0165,-8.46268714818e-06,-0.92549132602
0.016625,-2.70820305407e-05,-0.919985986983
0.01675,-4.7257348424e-05,-0.894448703182
0.016875,-5.49736646248e-05,-0.858641543399
0.017,-1.58335905278e-05,-0.859667082585
0.017125,-6.90990507579e-05,-0.801246061397
0.01725,-6.21043090501e-06,-0.805085175816
0.017375,-8.83672060568e-05,-0.708508295775
0.0175,-8.93958877676e-05,-0.611840611092
0.017625,-0.000113318546395,-0.458488197632
0.01775,-4.82053425785e-05,-0.434868271494
0.017875,-3.40616842292e-05,-0.425303207302
0.018,-8.29246416259e-05,-0.348034524147
0.018125,-2.15600586729e-05,-0.346910187639
0.01825,-5.97116745944e-05,-0.309502620231
0.018375,-4.67483588894e-05,-0.28842688863
0.0185,-3.16337919441e-05,-0.281168537971
0.018625,-6.98941803217e-05,-0.22926118567
0.01875,-3.86622934447e-06,-0.23343295788
0.018875,-3.46728970376e-05,-0.224017217782
0.019,-8.52050877922e-06,-0.227529866979
0.019125,1.26926183227e-05,-0.230029050383
0.01925,2.48606088214e-05,-0.22729882345
0.019375,2.33296620586e-05,-0.225416229396
0.0195,8.48492742958e-05,-0.148158648258
0.019625,5.98830569827e-05,-0.112381886708
0.01975,4.94713392916e-05,-0.0895274913805
0.019875,4.85233990842e-05,-0.0678392202462
0.02,0.000117770483584,0.0782208255357
0.020125,5.53362548169e-05,0.106424850675
0.02025,8.667505019e-05,0.180992569627
0.020375,8.07130551007e-05,0.24400275623
0.0205,7.03588197006e-05,0.290201386345
0.020625,8.29358663306e-05,0.355190628038
0.02075,7.23890465439e-05,0.402986191545
0.020875,4.54421184629e-05,0.41903900322
0.021,6.54113761151e-05,0.456695401445
0.021125,-5.03106236845e-05,0.477033114407
0.02125,4.6088718249e-05,0.493315255779
0.021375,-2.11952637132e-05,0.493326125243
0.0215,1.26861113963e-05,0.490543407823
0.021625,-2.47218789928e-06,0.486259761972
0.02175,-1.91347655445e-05,0.485471362509
0.021875,-2.73778951611e-05,0.488403378572
0.022,-7.5529382999e-05,0.539087802656
0.022125,-3.97470132214e-05,0.549876459633
0.02225,-5.89186358242e-05,0.578631628875
0.022375,-4.51163104071e-05,0.593598566177
0.0225,-6.83414318138e-05,0.633285392393
0.022625,-2.24103245609e-05,0.633655188657
0.02275,-7.70509257008e-05,0.684693104708
0.022875,-7.94944916123e-05,0.73859144227
0.023,-3.18660622213e-05,0.743544030112
0.023125,-2.30449740423e-05,0.744059522391
0.02325,-4.1842326106e-05,0.755710950166
0.023375,-0.000109972641673,0.860380847277
0.0235,1.29740843942e-05,0.857537524636
0.023625,-2.85179595426e-05,0.860439978864
0.02375,6.42249784313e-06,0.85646455918
0.023875,-2.87130839453e-05,0.859468230155
0.024,1.82475176919e-05,0.858091850635
0.024125,5.69363548035e-06,0.854037905367
0.02425,2.51937185248e-05,0.855355257229
0.024375,2.14798964431e-05,0.855126315463
0.0245,1.49611228106e-05,0.852779815889
0.024625,7.2362436879e-05,0.89492727051
0.02475,7.13188507312e-05,0.935316386613
0.024875,9.81495311015e-05,1.0145340468
0.025,5.5194429955e-05,1.03631102751
0.025125,9.29763860858e-05,1.10531522319
0.02525,8.40987086744e-05,1.16013215585
0.025375,5.64162339688e-05,1.18217781133
0.0255,6.15822919252e-05,1.20910078323
0.025625,4.5790246618e-05,1.22196529629
0.02575,3.0343381003e-05,1.22516451134
0.025875,-5.65594026472e-06,1.22108363908
0.026,5.2332762828e-05,1.23914130895
0.026125,-1.30357153947e-05,1.23618584728
0.02625,7.8600538537e-06,1.23234773659
0.026375,-9.81265796941e-06,1.22879227381
0.0265,-5.61662337333e-05,1.25019622524
0.026625,-1.45810458551e-05,1.24758474112
0.02675,-7.54326666848e-05,1.28937284624
0.026875,-7.54629291367e-05,1.33075799616
0.027,-8.17086046567e-05,1.37947241963
0.027125,-6.03999333438e-05,1.40387888231
0.02725,-7.62953148069e-05,1.44506314228
0.027375,-7.39928135282e-05,1.48315194701
0.0275,-6.79882252079e-05,1.5143488444
0.027625,-0.000119816755596,1.61867274027
0.02775,-4.38479963259e-05,1.62869313251
0.027875,-6.6593548146e-05,1.65733289516
0.028,-4.6080312973e-05,1.66870995964
0.028125,7.71938404943e-06,1.66480778656
0.02825,-3.6015318413e-05,1.67005786472
