t_s,traffic_relative_dB,hvac_relative_dB,door_relative_dB
0,56.2806161164,48.2802761396,42.2134593595
0.05,56.3900121396,48.5304286038,42.3479236954
0.1,54.2827992609,48.3310011007,42.1142589639
0.15,53.5808237125,48.1817919659,41.4248045076
0.2,55.9540240281,47.5337765033,41.8405141448
0.25,55.2088659995,48.0710915603,41.7844482046
0.3,56.4364138253,47.8167734424,42.3774901855
0.35,55.2681436558,48.547178774,41.8625594818
0.4,55.0067974416,47.8885973721,41.9899915394
0.45,56.4210202845,47.6021183851,41.7452231422
0.5,55.6925508434,48.0389877625,41.6911149785
0.55,56.1525565194,48.324768907,42.0166727857
0.6,54.2416065508,48.2965632769,41.8492848206
0.65,56.6916646131,47.4745080685,41.3378786726
0.7,55.4459434593,47.7710925066,42.3283257407
0.75,55.4715959538,48.0443455355,42.1453626391
0.8,54.6776341462,47.5342269292,42.6489571888
0.85,55.9143304532,48.4001376361,41.6907618774
0.9,55.8212209099,48.2701598576,41.9902536956
0.95,56.0722045376,47.8083288959,42.2403532114
1,55.9193775867,47.0462394802,41.9950606628
1.05,55.274990322,48.3579680422,42.1403038817
1.1,55.6101241074,48.4313705427,41.1174605809
1.15,56.0305464397,47.5001959586,41.8794576948
1.2,55.5370855913,48.9230288217,42.0989196225
1.25,56.7848472509,47.2582807052,41.9369203843
1.3,54.7264402992,47.5183747029,42.1709182224
1.35,55.3111744351,48.587916998,42.2258994539
1.4,54.6512724247,48.1976311465,42.1572243904
1.45,54.4751456867,47.9336666655,42.261448439
1.5,56.7962678064,48.5426521715,41.3874094789
1.55,54.1800198125,47.116684045,42.3302561084
1.6,54.1763638178,48.1788919526,42.0714270611
1.65,55.4311893808,47.9272410996,42.0898621975
1.7,57.3360379146,48.0143780828,42.0368405847
1.75,56.8003996368,47.7739168081,41.8206002825
1.8,56.4182783898,48.3796941633,41.7025022818
1.85,58.0549266407,48.4583679545,42.3908810562
1.9,54.5052491648,48.1314008516,41.6926797937
1.95,60.548194889,48.228028471,42.081010521
2,56.9064484914,48.3557583608,41.6243019377
2.05,54.0658469859,48.1245583729,42.0818922848
2.1,54.7670141488,47.6754906086,41.9968835065
2.15,56.9754380587,47.6671177506,42.18930244
2.2,55.0452644663,47.333726939,41.8425565111
2.25,54.9981126164,48.5714813301,42.1267477335
2.3,54.7883637265,47.7799454729,42.5115906229
2.35,56.184360983,48.2635718154,41.7732990532
2.4,57.0165142709,47.5652980497,41.7948539696
2.45,57.6278912189,47.6608861204,42.3784311282
2.5,57.9030027162,48.0587465701,42.1191940938
2.55,56.1110066769,47.9606234985,42.7733393028
2.6,57.3272113253,48.2671556,42.1102513552
2.65,55.485618046,48.5560026859,41.327441525
2.7,56.7522260842,48.2294262689,42.239378395
2.75,56.4141626464,47.7994627755,41.9196480304
2.8,59.1466106857,48.687465179,41.6040053912
2.85,57.8403262615,47.7331496286,42.4007789214
2.9,55.3488933108,47.8518607526,42.2212988773
2.95,56.5793589699,49.0439108271,42.2673817867
3,57.0895398176,48.2057908037,42.1736891107
3.05,57.7234407675,48.1335557102,41.3396525136
3.1,57.6105649273,48.8742087993,41.8127850272
3.15,57.8830373169,48.4944501812,41.9842094979
3.2,57.3779557073,48.0314471137,41.8375970894
3.25,58.4683626194,48.4451831147,41.4686896485
3.3,57.7061619301,47.3834260082,41.9293492084
3.35,55.4609118869,47.3656802703,41.503039092
3.4,57.7919131221,47.8859941543,41.6391320783
3.45,55.4932838858,48.3375402472,41.3746276788
3.5,57.1448003888,47.073498725,42.176172047
3.55,56.577762897,48.5796653174,42.4831778585
3.6,58.2101183631,48.0727429283,42.2577309298
3.65,55.6505132846,46.9659094889,41.4488196951
3.7,54.5659252055,47.9674925396,41.8101906505
3.75,55.9975581048,47.9723546024,42.0516368336
3.8,58.3837219577,47.5472198964,42.0429079985
3.85,58.2783560648,48.1849251743,41.4421849589
3.9,58.4106328109,48.0927477504,42.1979814696
3.95,57.7801002779,47.6536738474,42.0309746243
4,57.4318759406,47.9203972571,42.0207251929
4.05,56.2611814824,48.4068961269,42.2950432629
4.1,56.5871137298,47.819048191,42.0871025482
4.15,57.1429773738,48.2238922249,42.204420441
4.2,58.9569280015,48.1244135331,41.8912753785
4.25,58.1782379503,47.6631962816,42.0030229144
4.3,57.5034148335,48.6265037795,42.0633394431
4.35,57.1187962338,47.5168731021,41.6726200402
4.4,57.3254183023,48.495357555,41.8667574519
4.45,59.0969161466,48.0269930431,41.7370422896
4.5,58.2393844441,47.8698164524,42.2379257105
4.55,58.2969100523,47.912084446,41.8954609148
4.6,57.034704421,48.0261436286,41.8771060022
4.65,55.8385872962,48.00694912,42.2134801376
4.7,58.8248661263,48.3325904798,42.5185624801
4.75,59.6277888547,48.3661919108,42.2594675033
4.8,57.4882959428,48.7709613909,42.1356779494
4.85,58.7542683007,47.8556184685,41.636618345
4.9,57.7514788927,47.068843832,42.467466322
4.95,57.5328316522,47.9499218109,41.4826113595
5,62.0675293805,47.8849334122,41.6706112859
5.05,58.835304198,47.8440458769,41.7711263619
5.1,56.0342862967,48.8198855898,41.9097383745
5.15,58.3469323391,47.5322989878,41.5693400976
5.2,58.0653560451,48.1104047838,42.3624817932
5.25,57.479467178,48.2323643035,41.7739553727
5.3,54.6439205259,48.2427817262,41.7367307413
5.35,58.2214167034,48.0484120801,41.6830691288
5.4,58.7300582189,48.0688033821,41.88958182
5.45,58.2516395724,48.0877689702,41.357440852
5.5,58.2960370598,48.418495093,41.5334624768
5.55,57.8747529327,47.9415711598,42.1537699412
5.6,56.8959811047,48.2887895194,41.9891956294
5.65,60.0819285443,47.295608822,42.2609164829
5.7,59.4742447857,48.8365655946,41.7983973909
5.75,58.607792489,47.4884339872,41.9751281543
5.8,57.6799600513,48.1866046737,42.0606669934
5.85,57.2355049333,47.9472398789,42.0531129733
5.9,58.3950360391,48.2809576014,42.0496140458
5.95,57.974808684,48.2455447832,41.9772450808
6,58.3801574865,48.0539559046,42.0116721949
6.05,56.9218099378,48.1459824464,42.4810701154
6.1,59.1198763603,47.8830202627,41.7326035347
6.15,61.8071157902,47.9738503966,42.48647645
6.2,57.9123701285,47.8203266474,41.6611330366
6.25,56.6785784515,48.2325911028,41.672026999
6.3,58.2214488289,48.2765650699,42.5186140065
6.35,60.6415329653,47.4463850612,41.7677977039
6.4,58.3454642101,48.3226825648,41.4619998197
6.45,56.0670958781,47.9614611671,41.8984741816
6.5,58.4476798069,48.4227647823,42.4691749929
6.55,58.3220559372,47.9182084467,42.2392392118
6.6,61.2562009776,47.3757853729,42.1500558542
6.65,60.0370076033,48.0019033416,42.3035071559
6.7,58.8706563107,48.4318057502,41.5171551142
6.75,59.350991856,47.4546631611,41.7599834735
6.8,58.6242415346,47.9561421896,41.9357399777
6.85,59.8800834243,47.718691313,42.3124039569
6.9,56.1292410542,47.9160959,41.4317693511
6.95,60.7187353607,47.4078041662,42.1835294933
7,59.2248855454,47.9772963634,41.8537595977
7.05,56.8896578599,47.4529394361,42.1728139754
7.1,57.4190179201,47.8722143306,42.1594498797
7.15,59.049239156,47.3847635043,41.4856006046
7.2,57.4283216488,48.1475960609,42.0114221414
7.25,57.43606809,47.4756233459,41.7335327265
7.3,58.8792799453,47.8317324932,42.0695488895
7.35,57.2031318955,47.0174240101,42.0851070316
7.4,60.6544845374,48.3790356685,42.4979797067
7.45,60.7963727331,48.0040132113,42.1251995555
7.5,58.6881291698,48.6447227934,42.0672027563
7.55,60.3625568537,47.7469381981,41.9711538784
7.6,59.4539029394,47.2142873821,41.4473118613
7.65,56.0728994094,47.7451118528,41.1964989966
7.7,59.1942064587,48.1889103156,42.4408409657
7.75,62.5916357667,48.1505498103,42.1038870054
7.8,59.9190915668,48.389956241,41.7525533947
7.85,56.6321107891,48.077680655,42.2096005689
7.9,59.7140903437,48.3508105676,41.8332009521
7.95,59.7950258008,48.0237687146,42.4833358646
8,57.1010375309,48.5336166797,42.0743003708
8.05,59.0535589879,48.7807208853,41.9915857508
8.1,59.6559335616,48.3710978823,42.2379017628
8.15,60.5815654252,47.4529787618,42.0495977401
8.2,60.9981444668,47.6877022885,42.1475527523
8.25,61.9259315238,47.6234034812,41.3377448617
8.3,57.7279478534,48.5581049995,42.1311693099
8.35,56.6011382959,49.1188345695,41.467763932
8.4,57.90269288,48.0589303254,41.9673795129
8.45,58.3335862948,47.3913726872,41.1161181866
8.5,61.0145625568,47.8248105592,42.2497162765
8.55,58.6804599087,47.2504076336,41.2826196315
8.6,58.9524275405,48.0593704395,41.498926135
8.65,57.8990167749,48.3923198087,42.3618319179
8.7,57.5649217107,47.3448660286,42.4491107182
8.75,60.904674514,48.2376723427,43.3125789185
8.8,57.1697064252,47.6225465073,44.7963571428
8.85,59.4112140111,48.4318574316,48.4634221391
8.9,59.8329627974,47.8631237461,53.8675052836
8.95,60.4624461401,48.1851111424,57.9477067334
9,58.6675713926,48.2869058381,59.896914323
9.05,59.8797219867,47.8867599245,57.1049666386
9.1,60.4271579382,48.0857724398,53.614764587
9.15,61.6513602469,47.3820507084,48.8291984489
